"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","ADICELLA REDUCTA","AESHNIDAE GEN. SP.","AGAPETUS SP.","AGRAYLEA MULTIPUNCTATA","AGRAYLEA SEXMACULATA","AGRYPNIA SP.","ALBOGLOSSIPHONIA HYALINA","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","ANISUS VORTEX","ANODONTA SP.","APHELOCHEIRUS AESTIVALIS","APLEXA HYPNORUM","ASELLIDAE GEN. SP.","ATHERIX IBIS","ATHRIPSODES SP.","ATRICHOPS CRASSIPES","BAETIDAE GEN. SP.","BATHYOMPHALUS CONTORTUS","BERAEODES MINUTUS","BITHYNIA LEACHII SSP.","BITHYNIA TENTACULATA","BRACHYCENTRUS SUBNUBILUS","BRACHYCERCUS HARRISELLA","BRACHYPTERA RISI","BRACHYPTERA SETICORNIS","BRYCHIUS ELEVATUS","BRYOZOA GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERACLEA SP.","CERATOPOGONIDAE GEN. SP.","CHALCOLESTES VIRIDIS","CHAOBORIDAE GEN. SP.","CHELICOROPHIUM CURVISPINUM","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULA FLUMINEA","CORDULEGASTER BOLTONII","CORIXIDAE GEN. SP.","CRUNOECIA IRRORATA SSP.","CULICIDAE GEN. SP.","DENDROCOELUM LACTEUM","DICRANOTA SP.","DIKEROGAMMARUS HAEMOBAPHES","DIKEROGAMMARUS HAEMOBAPHES/VILLOSUS","DIKEROGAMMARUS VILLOSUS","DINOCRAS CEPHALOTES","DIXA SP.","DREISSENA POLYMORPHA","DUGESIA SP.","DYTISCIDAE GEN. SP.","ECNOMUS TENELLUS","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","EPHEMERELLA SP.","ERIOCHEIR SINENSIS","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","FREDERICELLA SULTANA","GALBA TRUNCATULA","GAMMAROIDEA GEN. SP.","GAMMARUS SP.","GERRIDAE GEN. SP.","GLOSSIPHONIA SP.","GLOSSOSOMA CONFORMIS","GOERIDAE GEN. SP.","GOMPHUS SP.","GYRAULUS SP.","GYRINUS SP.","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HELOBDELLA STAGNALIS","HELOPHORUS SP.","HEMICLEPSIS MARGINATA","HEMIMYSIS ANOMALA","HEPTAGENIIDAE GEN. SP.","HETEROPTERA GEN. SP.","HYDRA SP.","HYDRAENA SP.","HYDROMETRA STAGNORUM","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","HYDROPTILA SPARSA","IBISIA MARGINATA","ILYOCORIS CIMICOIDES SSP.","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","JAERA SARSI","LEPIDOPTERA GEN. SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERUS SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTES SPONSA","LEUCTRA SP.","LIBELLULA FULVA","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","LIPONEURA SP.","LYMNAEA STAGNALIS","LYPE SP.","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MOLANNA ANGUSTATA","MUSCULIUM LACUSTRE","MYSTACIDES SP.","NEMOURA SP.","NEMURELLA PICTETII","NEPA CINEREA","NOTERUS CLAVICORNIS","NOTIDOBIA CILIARIS","NOTONECTA SP.","ODONTOCERUM ALBICORNE","OECETIS SP.","OECISMUS MONEDULA SSP.","OLIGOCHAETA GEN. SP.","OLIGOSTOMIS RETICULATA","OPHIOGOMPHUS CECILIA","OPLODONTHA VIRIDULA","ORCHESTIA CAVIMANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","ORTHETRUM CANCELLATUM","ORTHOTRICHIA SP.","OSMYLUS FULVICEPHALUS","OULIMNIUS SP.","OXYCERA SP.","OXYETHIRA SP.","PEDICIA SP.","PERLA ABDOMINALIS","PERLA MARGINATA","PERLODES DISPAR","PERLODES MICROCEPHALUS","PHRYGANEA SP.","PHYSA FONTINALIS","PHYSELLA ACUTA","PISCICOLIDAE GEN. SP.","PISIDIUM SP.","PLANORBIS CARINATUS","PLANORBIS PLANORBIS","PLATYCNEMIS PENNIPES","PLEA MINUTISSIMA SSP.","PLUMATELLA SP.","POLYCELIS NIGRA/TENUIS","POLYCENTROPODIDAE GEN. SP.","PONTOGAMMARUS ROBUSTOIDES","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERA SP.","RADIX SP.","RANATRA LINEARIS","RHYACOPHILA SP.","SCIRTES SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SETODES PUNCTATUS","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS AESTIVALIS","SIPHLONURUS ALTERNATUS","SIPHONOPERLA TORRENTIUM SSP.","SISYRA SP.","SOMATOCHLORA METALLICA","SPHAERIUM SP.","SPONGILLIDAE GEN. SP.","STAGNICOLA SP.","SYMPETRUM SP.","TABANIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","THAUMALEIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","THEROMYZON TESSULATUM","TINODES ROSTOCKI","TINODES WAENERI SSP.","TIPULIDAE GEN. SP.","TRIAENODES BICOLOR","UNIO PICTORUM SSP.","UNIO TUMIDUS SSP.","VALVATA SP.","VELIA CAPRAI SSP.","VELIA SAULII","VIVIPARUS SP.","YLODES SIMULANS","ZWICKNIA SP."
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-11.02.2008","11.02.2008",2008,2,11,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,5.6,0,3.2,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-02.04.2009","02.04.2009",2009,4,2,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,17.6,0,4.8,0,0,0,0,0,0,0,0,10.4,3.2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-17.03.2010","17.03.2010",2010,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,8.8,0,0.8,0,0,0.8,0,0,0,0,0,22.4,7.2,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-29.02.2012","29.02.2012",2012,2,29,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,4,0,0,0,0,2.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,4.8,0,0.8,0,0,0,0,0,0,0,0,32,52,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-15.04.2013","15.04.2013",2013,4,15,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,8,0,1.6,0,0,0,0,0,0,0,0,16.8,6.4,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-22.04.2014","22.04.2014",2014,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,5.6,0,0,0,0,2.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.2,0,8,0,0,0,0,0,0,0,0,0,0,55.2,8,0,0,0,0,1.6,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
"GER_073_MZB_LO_10","GER_073_MZB_LO_10-12.04.2018","12.04.2018",2018,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,2.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,2.4,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,9.6,0,0.8,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0.8,16,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
"GER_073_MZB_LO_106","GER_073_MZB_LO_106-30.05.2008","30.05.2008",2008,5,30,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,16,0,3.2,0,34.4,0,0,0,16,0,0,0,0,0,0,20.8,52,52,3.2,5.6,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,0,4.8,0,0,0,0,1.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,16,0,0,0,2.4,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0.8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.8,0,0,0.8,0,0,3.2,0,0,0,32,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,32,52,0,0,0,0,0,0,0,0,0,0,0.8,0,4,0,0,0,0,0,0
"GER_073_MZB_LO_106","GER_073_MZB_LO_106-02.06.2009","02.06.2009",2009,6,2,0,0,0.8,0,0.8,0,0,0,0,1.6,0,0,0,0,0,16,0,3.2,0,24,0,0,0,52,0,0,0,0,0,0,20.8,16,16,2.4,0,0,0,0,0,8.8,2.4,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.6,0,0,0,0,16,1.6,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,2.4,3.2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,2.4,16,0,4,0,0,0,2.4,0,0,0,0,0,0,6.4,0,0,2.4,0,0,16,0,0,0,167.2,0,0,6.4,0,0,0,0,0,0.8,0,0,0,0,0,0,169.6,0,0,0,2.4,0,56,16,0,0,0,0,0,0,0,0,0,5.6,4,2.4,0,0.8,0,0,0,0,0
"GER_073_MZB_LO_106","GER_073_MZB_LO_106-23.05.2011","23.05.2011",2011,5,23,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,4,0,19.2,0,32,0,0,0,8,0.8,0,0,0,0,0,11.2,16,16,0,0,0,0,0,0,20,0.8,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0.8,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,2.4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,4,0,0,0,28.8,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,5.6,4,0,0,0.8,0,0,0,0,0,0,0,0,7.2,8,0,0,0,0,0,0
