"Unique.ID","Samp.ID","Sampling.date","year","month","day","ALLOTRICHIA SP.","AMPHINEMURA SULCICOLLIS","ANISOPTERA GEN. SP.","ASELLUS AQUATICUS","ATHERICIDAE GEN. SP.","BAETIS SP.","BERAEIDAE GEN. SP.","BRACHYPTERA RISI","CAENIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","COLEOPTERA GEN. SP.","CORIXIDAE GEN. SP.","CULICIDAE GEN. SP.","DIPTERA GEN. SP.","DRYOPIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECNOMUS SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMEROPTERA GEN. SP.","EPHYDRIDAE GEN. SP.","GAMMARUS SP.","GASTROPODA GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HIRUDINEA GEN. SP.","HYDRACHNIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILA SP.","HYGROBIIDAE GEN. SP.","LEBERTIA SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIA SP.","LEUCTRA FUSCA SSP.","LEUCTRA GENICULATA","LEUCTRA HIPPOPUS","LEUCTRA INERMIS","LIMNEPHILIDAE GEN. SP.","MOLLUSCA GEN. SP.","MUSCIDAE GEN. SP.","NEMOURA CINEREA SSP.","NOTERIDAE GEN. SP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","ORTHOTRICHIA SP.","PEDICIIDAE GEN. SP.","PEREGRIANA PEREGRA","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSA FONTINALIS","PISIDIUM SP.","PLANORBIDAE GEN. SP.","PLATYHELMINTHES GEN. SP.","PLECOPTERA GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PROTONEMURA MEYERI","PROTONEMURA PRAECOX SSP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURIDAE GEN. SP.","TABANIDAE GEN. SP.","TRICHOPTERA GEN. SP.","VELIIDAE GEN. SP."
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-04.06.2003","04.06.2003",2003,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-25.05.2004","25.05.2004",2004,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,6,0,6,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-30.05.2005","30.05.2005",2005,5,30,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-29.05.2006","29.05.2006",2006,5,29,0,0,0,0,0,9,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-30.05.2007","30.05.2007",2007,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-28.05.2008","28.05.2008",2008,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-29.05.2009","29.05.2009",2009,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,1,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-27.05.2010","27.05.2010",2010,5,27,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-31.05.2011","31.05.2011",2011,5,31,0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0
"IRL_023_MZB_LO_1","IRL_023_MZB_LO_1-02.05.2012","02.05.2012",2012,5,2,0,1,0,0,0,3,0,0,0,0,0,0,0,107,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,193,0,0,0,0
