Site ID,Sampling date,eqr,eqc
BEVL_VMM_1000,5.9.1989,0.75,2
BEVL_VMM_1000,4.7.1991,0.8,2
BEVL_VMM_1000,28.6.1995,0.55,3
BEVL_VMM_1000,20.5.2003,0.75,2
BEVL_VMM_1000,25.7.1997,0.7,2
BEVL_VMM_1000,8.9.2010,0.7,2
BEVL_VMM_1000,29.6.2006,0.75,2
BEVL_VMM_1000,9.6.2000,0.75,2
BEVL_VMM_1000,16.5.2019,0.75,2
BEVL_VMM_1000,30.6.1999,0.7,2
BEVL_VMM_1000,13.11.2002,0.85,2
BEVL_VMM_1000,1.6.2004,0.9,2
BEVL_VMM_1000,30.4.1996,0.7,2
BEVL_VMM_1000,20.6.2013,0.8,2
BEVL_VMM_1000,27.7.2007,0.7,2
BEVL_VMM_1000,15.9.2005,0.65,2
BEVL_VMM_1000,29.11.2001,0.8,2
BEVL_VMM_1000,17.7.1992,0.8,2
BEVL_VMM_100000,26.7.2002,0.5,3
BEVL_VMM_100000,23.7.1991,0.45,4
BEVL_VMM_100000,22.10.1997,0.65,3
BEVL_VMM_100000,23.9.1998,0.55,3
BEVL_VMM_100000,13.9.1994,0.45,4
BEVL_VMM_100000,13.10.1989,0.3,4
BEVL_VMM_100000,10.7.2003,0.45,4
BEVL_VMM_100000,13.4.2001,0.5,3
BEVL_VMM_100000,13.5.2005,0.45,4
BEVL_VMM_100000,20.10.1989,0.2,5
BEVL_VMM_100000,30.6.2000,0.75,2
BEVL_VMM_100000,10.10.1990,0.35,4
BEVL_VMM_100000,19.10.2001,0.55,3
BEVL_VMM_100000,2.9.2004,0.45,4
BEVL_VMM_100000,23.7.1996,0.4,4
BEVL_VMM_100000,18.5.2004,0.4,4
BEVL_VMM_100000,9.10.1992,0.35,4
BEVL_VMM_100000,2.7.1993,0.4,4
BEVL_VMM_100000,14.9.2005,0.45,4
BEVL_VMM_100000,10.9.1999,0.65,3
BEVL_VMM_100000,17.7.1995,0.35,4
BEVL_VMM_100000,10.5.2010,0.45,4
BEVL_VMM_100400,14.6.2023,0.8,2
BEVL_VMM_100400,17.7.1995,0.6,3
BEVL_VMM_100400,14.7.2009,0.55,3
BEVL_VMM_100400,12.6.2013,0.7,2
BEVL_VMM_100400,13.5.2004,0.45,4
BEVL_VMM_100400,19.10.2001,0.65,3
BEVL_VMM_100400,23.7.1996,0.5,3
BEVL_VMM_100400,13.9.1994,0.75,2
BEVL_VMM_100400,13.5.2005,0.5,3
BEVL_VMM_100400,1.4.2010,0.5,3
BEVL_VMM_100400,11.6.2020,0.85,2
BEVL_VMM_100400,13.4.2001,0.45,4
BEVL_VMM_100400,20.10.2016,0.75,2
BEVL_VMM_100400,13.10.1989,0.45,4
BEVL_VMM_100400,7.5.2018,0.9,1
BEVL_VMM_103000,22.10.1997,0.6,3
BEVL_VMM_103000,12.10.1989,0.55,3
BEVL_VMM_103000,16.8.1994,0.55,3
BEVL_VMM_103000,22.10.1992,0.4,4
BEVL_VMM_103000,13.5.2005,0.55,3
BEVL_VMM_103000,7.10.1994,0.6,3
BEVL_VMM_103000,15.10.1992,0.4,4
BEVL_VMM_103000,26.7.1995,0.55,3
BEVL_VMM_103000,4.7.2000,0.55,3
BEVL_VMM_106000,20.10.1989,0.75,2
BEVL_VMM_106000,23.7.1991,0.5,3
BEVL_VMM_106000,13.7.2000,0.5,3
BEVL_VMM_106000,2.7.1993,0.35,4
BEVL_VMM_106000,24.7.1996,0.6,3
BEVL_VMM_106000,13.10.1992,0.45,4
BEVL_VMM_106000,13.10.1989,0.45,4
BEVL_VMM_106000,25.7.1995,0.6,3
BEVL_VMM_106000,21.10.1997,0.7,2
BEVL_VMM_106000,6.10.1994,0.55,3
BEVL_VMM_106000,18.5.2004,0.85,2
BEVL_VMM_106000,3.10.2002,0.85,2
BEVL_VMM_106000,21.9.1999,0.7,2
BEVL_VMM_106000,23.9.1998,0.75,2
BEVL_VMM_112000,6.7.2004,0.6,3
BEVL_VMM_112000,29.6.2000,0.5,3
BEVL_VMM_112000,6.8.1999,0.7,2
BEVL_VMM_112000,28.5.2010,0.7,2
BEVL_VMM_112000,22.9.1994,0.5,3
BEVL_VMM_112000,12.7.1993,0.55,3
BEVL_VMM_112000,30.7.2019,0.75,2
BEVL_VMM_112000,26.8.2005,0.5,3
BEVL_VMM_112000,6.8.1998,0.55,3
BEVL_VMM_112000,22.9.2016,0.7,2
BEVL_VMM_112000,30.5.2002,0.5,3
BEVL_VMM_112000,18.9.1991,0.6,3
BEVL_VMM_112000,4.9.1996,0.55,3
BEVL_VMM_112000,16.9.2003,0.75,2
BEVL_VMM_112000,12.10.2022,0.7,2
BEVL_VMM_112000,22.6.2006,0.55,3
BEVL_VMM_112000,12.10.1990,0.6,3
BEVL_VMM_112000,18.10.1989,0.65,3
BEVL_VMM_112000,15.5.2007,0.7,2
BEVL_VMM_112000,14.10.1992,0.65,3
BEVL_VMM_112000,1.9.1995,0.75,2
BEVL_VMM_112000,14.8.1997,0.6,3
BEVL_VMM_114000,5.8.1999,0.5,3
BEVL_VMM_114000,29.6.2000,0.55,3
BEVL_VMM_114000,30.4.2003,0.55,3
BEVL_VMM_114000,19.10.1989,0.55,3
BEVL_VMM_114000,22.9.1994,0.5,3
BEVL_VMM_114000,11.8.2016,0.8,2
BEVL_VMM_114000,4.3.1996,0.4,4
BEVL_VMM_114000,18.9.2002,0.4,4
BEVL_VMM_114000,28.5.2010,0.7,2
BEVL_VMM_114000,18.9.1991,0.5,3
BEVL_VMM_114000,26.4.2022,0.75,2
BEVL_VMM_114000,4.7.2019,0.8,2
BEVL_VMM_114000,12.5.2005,0.6,3
BEVL_VMM_114000,12.10.1990,0.2,5
BEVL_VMM_114000,25.7.1997,0.4,4
BEVL_VMM_114000,11.5.2004,0.75,2
BEVL_VMM_114000,16.10.2013,0.7,2
BEVL_VMM_114000,6.8.1998,0.45,4
BEVL_VMM_114000,14.10.1992,0.6,3
BEVL_VMM_114000,12.7.1993,0.55,3
BEVL_VMM_114000,4.9.1995,0.75,2
BEVL_VMM_114000,18.10.1989,0.25,5
BEVL_VMM_114000,27.4.2007,0.75,2
BEVL_VMM_114500,27.8.1993,0.5,3
BEVL_VMM_114500,15.6.2005,0.55,3
BEVL_VMM_114500,18.5.2007,0.65,3
BEVL_VMM_114500,16.10.2013,0.65,3
BEVL_VMM_114500,1.9.1995,0.65,3
BEVL_VMM_114500,28.7.1997,0.6,3
BEVL_VMM_114500,26.11.2004,0.6,3
BEVL_VMM_114500,28.5.2010,0.6,3
BEVL_VMM_114500,30.4.2003,0.75,2
BEVL_VMM_114500,12.10.2022,0.7,2
BEVL_VMM_114500,22.9.2016,0.7,2
BEVL_VMM_114500,19.4.2001,0.5,3
BEVL_VMM_114500,4.7.2019,0.8,2
BEVL_VMM_114500,18.9.2002,0.7,2
BEVL_VMM_115000,7.8.1998,0.4,4
BEVL_VMM_115000,26.6.2013,0.55,3
BEVL_VMM_115000,21.4.2017,0.7,2
