Site ID,Sampling date,eqr,eqc
1,1.7.1986,0.87,1
1,1.7.1987,0.87,1
1,1.8.1997,1,1
1,1.7.2005,1,1
1,1.6.2006,0.87,1
1,1.8.2009,1,1
1,1.7.2010,1,1
1,1.7.2011,0.67,2
2,1.6.1979,1,1
2,1.7.1980,0.87,1
2,1.8.1981,0.87,1
2,1.7.1986,0.86,2
2,1.7.1987,0.66,3
2,1.8.1991,0.66,3
2,1.8.1997,0.67,2
2,1.7.2005,0.87,1
2,1.6.2010,0.86,2
3,1.6.1979,1,1
3,1.7.1980,0.87,1
3,1.8.1981,0.67,2
3,1.7.1986,0.67,2
3,1.7.1987,0.87,1
3,1.8.1991,0.87,1
3,1.6.1993,0.66,3
3,1.7.2005,0.86,2
3,1.8.2009,0.66,3
3,1.6.2010,1,1
3,1.7.2011,0.86,2
