Site ID,Sampling date,eqr,eqc
ST9509329728,01.10.2008,1.17,1
ST9509329728,27.10.2009,1.14,1
ST9509329728,14.10.2010,1.12,1
ST9509329728,13.10.2011,1.13,1
ST9509329728,16.10.2013,1.21,1
ST9509329728,20.10.2014,1.21,1
ST9509329728,23.10.2015,1.21,1
ST9509329728,05.10.2016,1.23,1
ST9509329728,23.10.2017,1.21,1
ST9509329728,11.10.2018,1.21,1
ST9509329728,15.10.2019,1.18,1
SU1643132137,07.11.2006,1.13,1
SU1643132137,03.10.2007,1.1,1
SU1643132137,21.10.2008,1.16,1
SU1643132137,28.10.2009,1.13,1
SU1643132137,15.10.2010,1.12,1
SU1643132137,08.10.2013,1.14,1
SU1643132137,09.10.2014,1.09,1
SU1643132137,16.10.2015,1.08,1
SU1643132137,14.10.2016,1.06,1
SU1643132137,24.10.2017,1.04,1
SU1643132137,24.10.2018,1.03,1
SU1643132137,08.10.2019,1.1,1
SU1709534465,08.11.2006,1.11,1
SU1709534465,03.10.2007,1.08,1
SU1709534465,21.10.2008,1.1,1
SU1709534465,28.10.2009,1.14,1
SU1709534465,15.10.2010,1,1
SU1709534465,26.10.2011,1.05,1
SU1709534465,07.11.2012,1.06,1
SU1709534465,10.10.2013,1.11,1
SU1709534465,09.10.2014,1.15,1
SU1709534465,12.10.2015,1.07,1
SU1709534465,14.10.2016,1.05,1
SU1709534465,24.10.2017,1.04,1
SU1709534465,24.10.2018,1.1,1
SU1709534465,27.09.2019,1.08,1
SU0938326375,08.11.2006,1.17,1
SU0938326375,03.10.2007,1.25,1
SU0938326375,21.10.2008,1.21,1
SU0938326375,22.10.2009,1.26,1
SU0938326375,21.10.2010,1.18,1
SU0938326375,16.10.2012,1.13,1
SU0938326375,30.10.2013,1.19,1
SU0938326375,20.10.2014,1.24,1
SU0938326375,23.10.2015,1.2,1
SU0938326375,10.10.2016,1.18,1
SU0938326375,23.10.2017,1.17,1
SU0938326375,18.10.2018,1.22,1
SU0938326375,15.10.2019,1.23,1
SU0403525455,09.11.2006,0.97,1
SU0403525455,03.10.2007,1.13,1
SU0403525455,21.10.2008,1.07,1
SU0403525455,22.10.2009,1.08,1
SU0403525455,17.09.2010,1.03,1
SU0403525455,13.10.2011,1.07,1
SU0403525455,01.11.2012,0.97,1
