Site ID,Sampling date,eqr,eqc
BC100,10.10.2000,0.16,5
BC100,7.9.2001,0.53,3
BC100,2.9.2002,0.59,3
BC100,22.9.2003,0.56,3
BC100,1.9.2004,0.78,2
BC100,27.9.2005,0.63,3
BC100,3.10.2006,0.67,3
BC100,14.5.2007,0.56,3
BC100,26.9.2007,0.26,4
BC100,19.5.2008,0.45,3
BC100,8.10.2008,0.34,4
BC100,11.5.2009,0.37,4
BC100,22.9.2009,0.17,5
BC100,25.5.2010,0.55,3
BC100,6.10.2010,0.24,4
BC100,26.5.2011,0.49,3
BC100,28.9.2011,0.27,4
BC100,23.5.2012,0.54,3
BC100,26.9.2012,0.4,4
BC100,4.6.2013,0.47,3
BC100,8.10.2013,0.36,4
BC100,22.5.2014,0.71,2
BC100,30.9.2014,0.7,2
BC100,25.5.2015,0.64,3
BC100,1.10.2015,0.68,2
BC100,6.6.2016,0.7,2
BC100,22.9.2016,0.54,3
BC100,8.5.2017,0.65,3
BC100,11.9.2017,0.62,3
BC100,24.5.2018,0.58,3
BC100,3.9.2018,0.54,3
BC100,16.5.2019,0.63,3
BC100,16.9.2019,0.64,3
BC100,1.9.2020,0.51,3
BC100,18.5.2021,0.76,2
BC100,6.9.2021,0.62,3
BC100,16.5.2022,0.66,3
BC101,26.5.1994,0.55,3
BC101,20.9.1994,0.47,3
BC101,17.5.1995,0.49,3
BC101,21.9.1995,0.41,4
BC101,22.5.1996,0.53,3
BC101,25.9.1996,0.18,5
BC101,12.9.1997,0.61,3
BC101,4.9.1998,0.58,3
BC101,17.9.1999,0.43,4
BC101,4.10.2000,0.51,3
BC101,17.9.2001,0.67,3
BC101,13.9.2002,0.84,2
BC101,18.9.2003,0.6,3
BC101,21.9.2004,0.08,5
BC101,19.9.2005,0.26,4
BC101,18.9.2006,0.39,4
BC101,8.5.2007,0.35,4
BC101,13.9.2007,0.42,4
BC101,15.5.2008,0.36,4
BC101,11.9.2008,0.67,3
BC101,7.5.2009,0.77,2
BC101,15.9.2009,0.02,5
BC101,20.5.2010,0.44,4
BC101,6.9.2010,0.33,4
BC101,1.9.2011,0.49,3
BC101,8.5.2012,0.76,2
BC101,5.9.2012,0.76,2
BC101,6.5.2013,0.68,2
BC101,3.9.2013,0.82,2
BC101,8.5.2014,0.91,1
BC101,9.9.2014,0.63,3
BC101,7.5.2015,0.94,1
BC101,10.9.2015,0.62,3
BC101,2.5.2016,0.63,3
BC101,13.9.2016,0.68,2
BC101,7.9.2017,0.5,3
BC101,28.5.2018,0.63,3
BC101,19.9.2018,0.32,4
BC101,2.9.2019,0.64,3
BC101,25.5.2020,0.96,1
BC101,16.9.2020,0.94,1
BC101,21.9.2021,0.52,3
BC101,25.5.2022,0.83,2
BC102,26.9.2007,0.5,3
BC102,8.10.2008,0.48,3
BC102,22.9.2009,0.32,4
BC102,25.5.2010,0.73,2
BC102,6.10.2010,0.48,3
BC102,25.5.2011,0.72,2
BC102,28.9.2011,0.21,5
BC102,23.5.2012,0.7,2
BC102,26.9.2012,0.34,4
BC102,5.6.2013,0.7,2
BC102,8.10.2013,0.38,4
BC102,22.5.2014,0.8,2
BC102,30.9.2014,0.11,5
BC102,25.5.2015,0.79,2
BC102,1.10.2015,0.52,3
BC102,6.5.2016,0.78,2
BC102,22.9.2016,0.29,4
BC102,8.5.2017,0.9,1
BC102,14.9.2017,0.32,4
BC102,24.5.2018,0.73,2
BC102,3.9.2018,0.71,2
BC102,16.5.2019,0.78,2
BC102,11.9.2019,0.46,3
BC102,18.5.2020,0.63,3
BC102,1.9.2020,0.43,4
BC102,19.5.2021,0.78,2
BC102,6.9.2021,0.59,3
BC103,2.10.2007,0.52,3
BC103,23.9.2008,0.26,4
BC103,8.10.2009,0.93,1
BC103,20.9.2010,0.56,3
BC103,23.5.2011,0.59,3
BC103,13.9.2011,0.93,1
BC103,15.5.2012,0.77,2
BC103,14.9.2012,0.81,2
BC103,14.5.2013,0.96,1
BC103,19.9.2013,0.92,1
BC103,15.5.2014,1.01,1
BC103,23.9.2014,0.9,1
BC103,14.5.2015,0.9,1
BC103,16.9.2015,1,1
BC103,28.9.2016,0.83,2
BC103,18.9.2017,0.68,2
BC103,22.5.2018,1.01,1
BC103,6.9.2018,1.13,1
BC103,17.9.2019,0.87,1
BC103,26.5.2020,1.01,1
BC103,9.9.2020,0.77,2
BC103,24.5.2021,0.75,2
BC103,13.9.2021,0.62,3
BC103,17.5.2022,0.76,2
BC105,23.8.2001,0.41,4
BC105,16.10.2007,0.09,5
BC105,9.10.2008,0.35,4
BC105,24.9.2009,0.06,5
BC105,13.10.2010,0.04,5
BC105,27.9.2011,0.01,5
BC105,27.9.2012,0.45,3
BC105,7.10.2013,0.1,5
BC105,29.9.2014,0.24,4
BC105,6.10.2015,0.06,5
BC105,21.9.2016,0.04,5
BC105,15.9.2017,0.07,5
BC105,3.9.2018,0.3,4
BC105,18.9.2019,0.07,5
BC105,31.8.2020,0.46,3
