Site ID,Sampling date,eqr,eqc
S001,24.9.2009,0.993890459,1
S001,31.10.2010,0.847490453,1
S001,23.11.2011,0.568529059,3
S001,4.11.2012,0.850554695,1
S001,2.10.2013,0.823764959,1
S001,30.9.2014,0.874251822,1
S001,30.8.2015,0.902817297,1
S001,22.9.2016,0.92612946,1
S001,4.10.2018,0.825072001,1
S001,9.10.2019,0.883803024,1
S001,21.9.2020,0.73716377,2
S001,28.9.2021,0.873270407,1
S002,6.9.2007,0.344421504,4
S002,28.9.2008,0.8143574,1
S002,12.10.2010,0.745908475,2
S002,18.9.2013,0.471686387,3
S002,5.10.2016,0.728463369,2
S002,1.11.2019,0.841994675,1
S003,13.9.2007,0.985235813,1
S003,29.9.2009,1.00001,1
S003,6.9.2010,0.919468803,1
S003,8.9.2011,1.00001,1
S003,26.9.2012,0.904143536,1
S003,24.9.2013,1.00001,1
S003,3.10.2014,1.00001,1
S003,12.10.2015,0.834022249,1
S003,27.10.2016,0.966496432,1
S003,26.9.2017,0.886853486,1
S003,25.9.2018,1.00001,1
S003,18.10.2020,1.00001,1
S004,5.9.2006,0.807906947,1
S004,29.9.2008,0.796702294,2
S004,3.10.2010,0.787410921,2
S004,24.9.2013,0.64901356,2
S004,23.9.2014,0.661163242,2
S004,28.9.2015,0.647825035,2
S004,26.10.2016,0.553020874,3
S004,11.10.2018,0.529709743,3
S004,19.9.2019,0.812279821,1
S004,22.10.2020,0.828392488,1
S005,22.10.2007,0.650099858,2
S005,22.9.2009,0.710429093,2
S005,1.9.2010,0.852185842,1
S005,20.9.2011,0.77989238,2
S005,28.9.2014,0.600256476,2
S005,18.10.2016,0.960115981,1
S005,25.10.2017,0.97302254,1
S005,25.9.2018,0.745035241,2
S005,23.9.2019,0.463993688,3
S005,21.9.2020,0.780062396,2
S006,5.9.2007,0.985191852,1
S006,30.8.2010,0.908676803,1
S006,3.11.2011,0.946739905,1
S006,27.9.2012,0.690222629,2
S006,17.9.2013,0.805225757,1
S006,18.9.2014,0.679037647,2
S006,7.10.2015,0.853506639,1
S006,20.10.2016,0.79172824,2
S006,26.9.2017,0.872981428,1
S006,26.9.2018,0.726654485,2
S006,30.10.2019,0.759021065,2
S008,5.10.2009,0.907486943,1
S008,21.11.2012,0.544279921,3
S008,18.9.2014,0.686251016,2
S008,20.9.2017,0.699524864,2
S008,2.10.2020,0.865804199,1
S009,17.10.2007,0.776411026,2
S009,24.9.2008,0.731202548,2
S009,9.9.2009,0.716935619,2
S009,13.10.2010,0.811066539,1
S009,9.11.2011,0.703552386,2
S009,24.9.2013,0.558026677,3
S009,30.9.2014,0.447195016,3
S009,19.10.2015,0.635586817,2
S009,26.9.2016,0.696715226,2
S009,19.9.2017,0.628981911,2
S009,17.10.2018,0.748836866,2
S009,26.10.2020,0.831368808,1
S010,11.10.2006,0.688514358,2
S010,23.9.2009,0.455783869,3
S010,1.9.2010,0.693530058,2
S010,28.9.2011,0.7703971,2
S010,27.9.2012,0.805613341,1
S010,10.10.2013,0.795733063,2
S010,6.10.2014,0.73126598,2
S010,4.10.2015,0.764367744,2
S010,27.10.2016,0.709748144,2
S010,29.10.2017,0.843076786,1
S010,26.9.2018,0.757934655,2
S011,16.9.2008,0.943211719,1
S011,21.9.2009,0.875966096,1
S011,20.9.2010,0.838024805,1
S011,8.11.2011,0.882394584,1
S011,8.10.2012,0.738523877,2
S011,23.10.2013,0.846940569,1
S011,3.10.2017,0.820077447,1
S011,8.10.2019,0.81338944,1
S012,28.8.2007,0.604901391,2
S012,17.9.2009,0.764058949,2
S012,20.9.2010,0.853690093,1
S012,19.9.2011,0.805376889,1
S012,25.9.2012,0.832235592,1
S012,25.9.2013,0.931043886,1
S012,23.9.2014,0.889163901,1
S012,28.9.2015,0.95980393,1
S012,26.9.2016,0.885041299,1
S012,19.9.2017,0.88933742,1
S012,11.10.2018,0.266368473,4
S012,7.10.2019,0.611143435,2
S012,7.9.2020,0.773021769,2
S013,28.9.2009,1.00001,1
S013,21.9.2010,0.9572998,1
S013,22.9.2011,0.818185152,1
S013,24.9.2012,0.976350753,1
S013,25.9.2013,0.716593408,2
S013,24.9.2014,0.540324899,3
S013,19.10.2015,0.804150064,1
S013,28.9.2016,0.78423396,2
S013,24.10.2017,0.952289979,1
S013,6.9.2018,0.481560475,3
S013,1.10.2019,0.858692202,1
S013,7.9.2020,0.776079888,2
S014,28.9.2009,0.94640771,1
S014,10.9.2013,0.926079502,1
S014,29.9.2015,1.00001,1
S014,26.10.2016,1.00001,1
S014,19.9.2017,0.937484365,1
S014,19.9.2018,1.00001,1
S014,23.10.2019,0.893378227,1
S014,10.11.2020,0.983367545,1
S015,3.10.2006,0.868165893,1
S015,6.9.2010,0.931426481,1
S015,7.9.2011,0.889057563,1
S015,20.9.2012,0.950460272,1
S015,6.9.2013,0.815641261,1
S015,10.10.2014,0.910154159,1
S015,1.10.2015,0.974516471,1
S015,19.10.2016,1.00001,1
S015,18.9.2017,0.906044064,1
S015,19.9.2018,0.954699914,1
S015,20.11.2019,0.847105564,1
S016,9.9.2007,0.457607283,3
S016,14.9.2009,0.792595926,2
S016,29.9.2010,0.570275237,3
S016,8.9.2011,0.667444554,2
S016,16.9.2012,0.844052209,1
S016,23.9.2013,0.866664751,1
S016,7.9.2015,0.697046074,2
S016,20.9.2016,0.58544178,3
S016,25.9.2017,0.686979348,2
S016,5.9.2018,0.51653313,3
S016,18.9.2019,0.717901582,2
S016,10.9.2020,0.567084164,3
S017,7.9.2007,0.772252137,2
S017,28.9.2009,0.879837231,1
S017,6.9.2012,0.780975179,2
S017,17.9.2014,0.806777239,1
S017,30.9.2015,0.657280804,2
S017,5.10.2016,0.834736472,1
S017,17.10.2018,0.667455602,2
S017,18.9.2019,0.980959048,1
S018,23.9.2009,0.978012041,1
S018,10.10.2010,1.00001,1
S018,19.9.2012,1.00001,1
S018,9.9.2013,1.00001,1
S018,16.9.2015,0.973706973,1
S018,6.9.2016,1.00001,1
S018,4.9.2017,1.00001,1
S018,5.9.2018,1.00001,1
S018,23.9.2019,1.00001,1
S018,28.9.2020,1.00001,1
S019,25.9.2006,1.00001,1
S019,21.9.2009,1.00001,1
S019,10.10.2010,1.00001,1
S019,13.9.2012,1.00001,1
S019,9.9.2013,1.00001,1
S019,6.9.2016,1.00001,1
S019,4.9.2017,0.966496432,1
S019,5.9.2018,0.886853486,1
S019,23.9.2019,1.00001,1
S019,28.9.2020,1.00001,1
S021,11.9.2007,0.919664868,1
S021,2.9.2008,0.747209783,2
S021,11.6.2009,0.501341541,3
S021,6.10.2009,0.88481475,1
S021,25.10.2010,0.888895556,1
S021,12.10.2011,0.880664217,1
S021,24.9.2012,0.901362595,1
S021,23.9.2013,0.974087248,1
S021,29.10.2014,1.00001,1
S021,6.10.2015,0.879721025,1
S021,29.9.2016,0.845730427,1
S021,1.10.2017,0.953523486,1
S021,27.9.2018,1.00001,1
S021,16.10.2019,1.00001,1
S021,1.9.2020,1.00001,1
S021,21.9.2021,0.993890459,1
S022,3.9.2007,0.859496866,1
S022,21.9.2010,0.990830571,1
S022,1.10.2013,0.980432997,1
S022,27.9.2016,0.804599826,1
S022,16.10.2019,0.725024044,2
S023,9.9.2007,0.304357816,4
S023,12.6.2009,0.337947608,4
S023,18.10.2010,0.489195274,3
S023,7.9.2011,0.615843609,2
S023,16.9.2012,0.450481388,3
S023,22.9.2013,0.707701422,2
S023,14.9.2015,0.423772057,3
S023,20.9.2016,0.546113699,3
S023,25.9.2017,0.787810774,2
S023,17.9.2018,0.696997599,2
S023,20.9.2019,0.861760933,1
S024,17.9.2007,0.99279946,1
S024,14.10.2008,0.99279946,1
S024,26.9.2012,0.456091245,3
S024,25.9.2013,0.764784398,2
S024,8.9.2016,0.851363751,1
S024,15.10.2019,0.986679918,1
S025,1.10.2008,0.874498558,1
S025,7.10.2009,0.790347404,2
S025,27.9.2010,0.950121065,1
S025,21.9.2011,1.00001,1
S025,25.9.2012,0.760655348,2
S025,25.9.2013,0.966496432,1
S025,1.9.2014,0.953523486,1
S025,4.10.2016,0.845054297,1
S025,8.10.2019,0.84383229,1
S026,16.9.2007,0.879176404,1
S026,5.11.2008,0.66049072,2
S026,8.9.2009,0.801315635,1
S026,3.10.2011,0.998045882,1
S026,19.11.2013,0.764829879,2
S026,14.9.2017,0.804788381,1
S026,29.9.2020,0.52169998,3
S027,9.9.2007,0.882776645,1
S027,15.11.2010,0.754909504,2
S027,1.10.2013,0.918396443,1
S027,4.10.2016,0.821663941,1
S027,15.9.2019,0.535887131,3
S028,24.9.2009,0.822749048,1
S028,8.10.2010,0.813807628,1
S028,23.9.2013,0.858308862,1
S028,22.9.2015,0.931744475,1
S028,8.10.2018,0.856385285,1
S029,10.10.2007,0.631403447,2
S029,22.9.2008,0.489570641,3
S029,8.9.2009,0.63224606,2
S029,11.10.2010,0.696794525,2
S029,2.10.2013,0.7534733,2
S029,29.9.2014,0.802454185,1
S029,4.10.2016,0.670355723,2
S029,17.10.2018,0.589027701,3
S030,10.9.2007,0.925003333,1
S030,22.9.2009,0.93334,1
S030,20.9.2010,0.854199959,1
S030,20.9.2011,0.850606013,1
S030,30.10.2012,0.927364966,1
S030,25.9.2013,0.87993432,1
S030,29.9.2014,0.957465076,1
S030,27.8.2015,0.749388123,2
S030,22.9.2016,0.901767956,1
S030,17.10.2017,1.00001,1
S030,19.9.2018,0.956496653,1
S030,17.9.2019,0.978211795,1
S030,14.9.2020,0.938224245,1
S031,29.9.2008,0.769700303,2
S031,24.9.2009,0.976350753,1
S031,30.9.2010,0.78103624,2
S031,11.9.2013,0.651040016,2
S031,16.9.2014,0.684298655,2
S031,29.9.2015,0.914289048,1
S031,5.10.2016,0.787885585,2
S031,7.11.2017,0.860960554,1
S031,18.9.2018,0.696797165,2
S031,24.9.2019,0.929715731,1
S031,24.9.2020,0.976350753,1
S032,18.9.2007,0.432616286,3
S032,12.10.2009,0.458518458,3
S032,27.9.2010,0.374497759,4
S032,12.9.2013,0.337856765,4
S032,15.9.2014,0.334814191,4
S032,28.9.2015,0.551326161,3
S032,18.9.2016,0.550600146,3
S032,18.9.2018,0.485721487,3
S032,23.9.2019,0.321828096,4
S032,27.9.2020,0.409202194,3
S033,20.9.2006,1.00001,1
S033,19.10.2009,0.972936864,1
S033,30.8.2010,0.897574124,1
S033,12.9.2012,0.844858565,1
S033,29.10.2013,0.982289182,1
S033,26.9.2018,0.93878777,1
S034,17.9.2007,0.712391711,2
