Site ID,Sampling date,eqr,eqc
NI_48212401,10.04.2002,0.047,5
NI_48212401,10.05.1991,0.069,5
NI_48212401,11.05.1998,0.141,5
NI_48212401,12.05.1997,0.164,5
NI_48212401,20.05.1986,0.106,5
NI_48212401,22.05.1989,0.14,5
NI_48212401,22.05.2000,0.105,5
NI_48212401,27.05.1999,0.145,5
NI_48212401,29.04.1987,0.284,4
NI_48212401,30.06.1993,0.063,5
NI_48212401,31.05.2006,0.001,5
NI_48892950,03.06.1992,0.642,2
NI_48892950,05.06.1991,0.76,2
NI_48892950,07.06.1996,0.807,2
NI_48892950,14.05.1993,0.664,2
NI_48892950,21.05.1986,0.68,2
NI_48892950,21.05.1987,0.74,2
NI_48892950,21.05.2008,0.85,2
NI_48892950,23.05.1990,0.741,2
NI_48892950,24.05.1995,0.822,2
NI_48892950,25.05.1988,0.616,2
NI_48892950,25.05.1994,0.53,3
NI_48892950,28.05.1997,0.65,2
NI_48892950,31.05.1989,0.689,2
NW_92009,03.11.2004,0.949,2
NW_92009,03.12.1998,0.917,3
NW_92009,06.10.1994,0.822,2
NW_92009,06.11.2001,0.942,2
NW_92009,06.12.1995,0.811,2
NW_92009,08.12.1989,1,2
NW_92009,09.11.2009,0.734,2
NW_92009,11.11.2003,0.922,2
NW_92009,14.12.2006,0.888,2
NW_92009,16.12.1993,0.862,2
NW_92009,19.10.2005,0.81,2
NW_92009,21.10.1999,0.811,2
NW_92009,21.11.2000,1,2
NW_92009,23.10.1988,0.955,3
NW_92009,23.10.2008,0.556,3
NW_92009,23.11.1997,0.778,2
NW_92009,24.10.2007,0.908,2
NW_92009,27.11.1996,0.651,2
NW_92009,29.10.2002,0.908,2
NW_92083,03.11.2004,0.911,3
NW_92083,03.12.1998,0.677,5
NW_92083,06.10.1994,0.926,2
NW_92083,06.11.2001,1,3
NW_92083,06.12.1995,0.922,4
NW_92083,08.12.1989,1,4
NW_92083,11.11.2003,0.996,3
NW_92083,14.12.2006,0.907,3
NW_92083,16.12.1993,0.92,4
NW_92083,19.10.2005,0.748,4
NW_92083,21.10.1999,0.96,3
NW_92083,22.11.2000,0.875,3
NW_92083,23.10.1988,1,3
NW_92083,23.11.1997,0.943,3
NW_92083,27.11.1996,0.984,5
NW_92083,29.10.2002,0.991,4
NW_13249,03.08.2005,NA,4
NW_13249,03.09.1992,NA,4
NW_13249,05.08.1989,NA,3
NW_13249,06.10.1998,NA,5
NW_13249,07.08.1990,NA,3
NW_13249,08.08.1994,NA,3
NW_13249,08.08.2007,NA,5
NW_13249,09.09.1979,NA,4
NW_13249,10.08.1995,NA,4
NW_13249,12.09.1982,NA,3
NW_13249,15.08.1986,NA,3
NW_13249,15.09.1999,NA,4
NW_13249,16.09.1976,NA,4
NW_13249,16.09.1988,NA,3
NW_13249,17.09.1980,NA,3
NW_13249,18.09.2002,NA,4
NW_13249,19.09.1996,NA,3
NW_13249,19.10.2001,NA,3
NW_13249,22.08.1984,NA,3
NW_13249,23.08.1983,NA,3
NW_13249,23.09.1987,NA,3
NW_13249,23.09.2004,NA,4
NW_13249,26.10.1971,NA,4
NW_13249,26.10.1978,NA,4
NW_13249,27.08.1985,NA,3
NW_13249,30.09.2003,NA,4
NW_13262,02.08.2005,NA,4
NW_13262,02.09.1998,NA,3
NW_13262,04.09.1969,NA,4
NW_13262,07.08.1990,NA,3
