Site ID,Sampling date,eqr,eqc
FRDE1,2.7.2002,0.473,3
FRDE1,21.6.2006,0.335,4
FRDE1,20.7.2007,0.206,4
FRDE1,11.6.2008,0.427,3
FRDE1,23.6.2009,0.204,4
FRDE1,28.6.2010,0.286,4
FRDE1,21.7.2011,0.168,5
FRDE1,12.7.2012,0.231,4
FRDE1,1.7.2013,0.408,3
FRDE1,12.6.2014,0.28,4
FRDE1,1.7.2015,0.2,5
FRDE1,6.7.2016,0.335,4
FRDE2,26.4.2001,0.732,2
FRDE2,11.3.2003,0.807,2
FRDE2,5.4.2004,0.717,2
FRDE2,10.4.2006,0.789,2
FRDE2,22.3.2007,0.731,2
FRDE2,24.4.2008,0.626,2
FRDE2,8.4.2009,0.622,2
FRDE2,16.3.2010,0.73,2
FRDE2,24.3.2011,0.782,2
FRDE2,19.3.2012,0.753,2
FRDE2,19.3.2013,0.764,2
FRDE2,11.3.2014,0.683,2
FRDE2,25.3.2015,0.641,2
FRDE2,11.4.2016,0.648,2
FRDE3,23.4.2001,0.826,1
FRDE3,17.3.2003,0.887,1
FRDE3,6.4.2004,0.804,1
FRDE3,24.3.2005,0.76,2
FRDE3,10.4.2006,0.759,2
FRDE3,11.3.2007,0.842,2
FRDE3,23.4.2008,0.846,1
FRDE3,8.4.2009,0.79,2
FRDE3,16.3.2010,0.885,1
FRDE3,24.3.2011,0.833,1
FRDE3,19.3.2012,0.824,1
FRDE3,20.3.2013,0.813,1
FRDE3,11.3.2014,0.802,1
FRDE3,10.3.2015,0.915,1
