"Site ID","Sampling date","eqr","eqc"
"SN_OBF00080","15.7.2014",NA,3
"SN_OBF00080","16.6.2015",NA,4
"SN_OBF00080","17.6.2009",NA,4
"SN_OBF00080","19.6.2018",NA,5
"SN_OBF00080","20.6.2012",NA,4
"SN_OBF00080","20.6.2017",NA,4
"SN_OBF00080","21.6.2011",NA,4
"SN_OBF00080","22.6.2010",NA,3
"SN_OBF00080","25.7.2019",NA,5
"SN_OBF00080","29.8.2013",NA,5
"SN_OBF00080","30.5.2016",NA,4
"SN_OBF00090","15.7.2014",NA,4
"SN_OBF00090","16.6.2015",NA,3
"SN_OBF00090","17.6.2009",NA,3
"SN_OBF00090","19.6.2018",NA,5
"SN_OBF00090","20.6.2012",NA,3
"SN_OBF00090","20.6.2017",NA,5
"SN_OBF00090","21.6.2011",NA,4
"SN_OBF00090","22.6.2010",NA,3
"SN_OBF00090","25.6.2014",NA,3
"SN_OBF00090","25.7.2019",NA,5
"SN_OBF00090","29.8.2013",NA,4
"SN_OBF00090","30.5.2016",NA,4
"SN_OBF00100","15.7.2014",NA,3
"SN_OBF00100","16.6.2015",NA,3
"SN_OBF00100","17.6.2009",NA,2
"SN_OBF00100","19.6.2018",NA,5
"SN_OBF00100","20.6.2012",NA,2
"SN_OBF00100","20.6.2017",NA,4
"SN_OBF00100","21.6.2011",NA,3
"SN_OBF00100","22.6.2010",NA,3
"SN_OBF00100","25.7.2019",NA,4
"SN_OBF00100","29.8.2013",NA,4
"SN_OBF00100","30.5.2016",NA,3
"SN_OBF00200","15.7.2014",NA,4
"SN_OBF00200","16.6.2015",NA,4
"SN_OBF00200","18.6.2009",NA,3
"SN_OBF00200","20.6.2012",NA,3
"SN_OBF00200","20.6.2017",NA,3
"SN_OBF00200","21.6.2011",NA,3
"SN_OBF00200","23.8.2018",NA,3
"SN_OBF00200","25.7.2019",NA,3
"SN_OBF00200","29.8.2013",NA,4
"SN_OBF00200","30.5.2016",NA,4
"SN_OBF00200","30.6.2010",NA,2
"SN_OBF00250","15.7.2014",NA,3
"SN_OBF00250","16.6.2015",NA,3
"SN_OBF00250","17.6.2009",NA,2
"SN_OBF00250","19.6.2018",NA,5
"SN_OBF00250","20.6.2012",NA,3
"SN_OBF00250","20.6.2017",NA,4
"SN_OBF00250","21.6.2011",NA,2
"SN_OBF00250","21.7.2015",NA,3
"SN_OBF00250","22.6.2010",NA,2
"SN_OBF00250","25.7.2019",NA,5
"SN_OBF00250","29.8.2013",NA,3
"SN_OBF00250","30.5.2016",NA,4
"SN_OBF00300","15.7.2014",NA,4
"SN_OBF00300","16.6.2015",NA,5
"SN_OBF00300","18.6.2009",NA,4
"SN_OBF00300","19.6.2018",NA,3
"SN_OBF00300","20.6.2012",NA,4
"SN_OBF00300","20.6.2017",NA,3
"SN_OBF00300","21.6.2011",NA,3
"SN_OBF00300","25.7.2019",NA,3
"SN_OBF00300","29.8.2013",NA,4
"SN_OBF00300","30.5.2016",NA,4
"SN_OBF00300","30.6.2010",NA,2
"SN_OBF00400","1.6.2016",NA,5
"SN_OBF00400","1.8.2012",NA,3
"SN_OBF00400","15.7.2010",NA,2
"SN_OBF00400","18.7.2019",NA,5
"SN_OBF00400","19.8.2013",NA,2
"SN_OBF00400","19.9.2012",NA,2
"SN_OBF00400","21.7.2014",NA,3
"SN_OBF00400","22.6.2017",NA,3
"SN_OBF00400","25.7.2018",NA,5
"SN_OBF00400","25.8.2009",NA,2
"SN_OBF00400","30.6.2011",NA,2
"SN_OBF00400","4.6.2015",NA,3
"SN_OBF00500","1.6.2016",NA,4
"SN_OBF00500","1.8.2012",NA,4
"SN_OBF00500","15.7.2010",NA,2
"SN_OBF00500","18.7.2019",NA,4
"SN_OBF00500","19.8.2013",NA,3
"SN_OBF00500","19.9.2012",NA,3
"SN_OBF00500","21.7.2014",NA,4
"SN_OBF00500","22.6.2017",NA,3
"SN_OBF00500","25.7.2018",NA,4
"SN_OBF00500","25.8.2009",NA,3
"SN_OBF00500","30.6.2011",NA,2
"SN_OBF00500","4.6.2015",NA,3
"SN_OBF01200","1.6.2016",NA,4
"SN_OBF01200","15.7.2010",NA,3
"SN_OBF01200","18.7.2019",NA,4
"SN_OBF01200","19.8.2013",NA,3
"SN_OBF01200","19.9.2012",NA,4
"SN_OBF01200","20.6.2018",NA,4
"SN_OBF01200","21.7.2014",NA,3
"SN_OBF01200","25.8.2009",NA,2
"SN_OBF01200","28.6.2017",NA,4
"SN_OBF01200","30.6.2011",NA,3
"SN_OBF01200","4.6.2015",NA,4
"SN_OBF01200","7.8.2012",NA,3
"SN_OBF01300","15.7.2010",NA,3
"SN_OBF01300","18.8.2016",NA,3
"SN_OBF01300","19.8.2013",NA,3
"SN_OBF01300","19.9.2012",NA,4
"SN_OBF01300","20.6.2018",NA,4
"SN_OBF01300","20.8.2009",NA,2
"SN_OBF01300","21.7.2014",NA,4
"SN_OBF01300","28.6.2017",NA,4
"SN_OBF01300","30.6.2011",NA,4
"SN_OBF01300","4.6.2015",NA,3
"SN_OBF01300","7.8.2012",NA,4
"SN_OBF01300","9.7.2019",NA,4
"SN_OBF01500","15.7.2010",NA,4
"SN_OBF01500","18.8.2016",NA,4
"SN_OBF01500","19.8.2013",NA,3
"SN_OBF01500","19.9.2012",NA,3
"SN_OBF01500","20.6.2018",NA,4
"SN_OBF01500","20.8.2009",NA,2
"SN_OBF01500","21.7.2014",NA,4
"SN_OBF01500","28.6.2017",NA,4
"SN_OBF01500","30.6.2011",NA,3
"SN_OBF01500","4.6.2015",NA,3
"SN_OBF01500","7.8.2012",NA,3
"SN_OBF01500","9.7.2019",NA,4
"SN_OBF01800","15.7.2010",NA,2
"SN_OBF01800","18.8.2016",NA,3
"SN_OBF01800","19.8.2013",NA,2
"SN_OBF01800","19.9.2012",NA,3
"SN_OBF01800","20.6.2018",NA,4
"SN_OBF01800","20.8.2009",NA,2
"SN_OBF01800","21.7.2014",NA,3
"SN_OBF01800","28.6.2017",NA,3
"SN_OBF01800","30.6.2011",NA,3
"SN_OBF01800","30.7.2015",NA,4
"SN_OBF01800","4.6.2015",NA,3
"SN_OBF01800","7.8.2012",NA,4
"SN_OBF01800","9.7.2019",NA,3
"SN_OBF01900","15.7.2010",NA,2
"SN_OBF01900","18.8.2016",NA,3
"SN_OBF01900","19.8.2013",NA,2
"SN_OBF01900","19.9.2012",NA,3
"SN_OBF01900","20.6.2018",NA,4
"SN_OBF01900","20.8.2009",NA,2
"SN_OBF01900","21.7.2014",NA,3
"SN_OBF01900","28.6.2017",NA,4
"SN_OBF01900","30.6.2011",NA,3
"SN_OBF01900","4.6.2015",NA,3
"SN_OBF01900","7.8.2012",NA,3
"SN_OBF01900","9.7.2019",NA,4
"SN_OBF02100","1.6.2015",NA,3
"SN_OBF02100","14.6.2016",NA,3
"SN_OBF02100","19.6.2017",NA,3
"SN_OBF02100","21.6.2018",NA,4
"SN_OBF02100","22.8.2012",NA,3
"SN_OBF02100","22.8.2013",NA,3
"SN_OBF02100","24.6.2019",NA,4
"SN_OBF02100","25.5.2011",NA,2
"SN_OBF02100","26.6.2014",NA,3
"SN_OBF02100","3.8.2010",NA,2
"SN_OBF02100","4.8.2009",NA,2
"SN_OBF02200","1.6.2015",NA,3
"SN_OBF02200","14.6.2016",NA,3
"SN_OBF02200","19.6.2017",NA,4
"SN_OBF02200","21.6.2018",NA,4
"SN_OBF02200","22.8.2012",NA,3
"SN_OBF02200","22.8.2013",NA,3
"SN_OBF02200","24.6.2019",NA,3
"SN_OBF02200","25.5.2011",NA,3
"SN_OBF02200","26.6.2014",NA,2
"SN_OBF02200","3.8.2010",NA,2
"SN_OBF02200","4.8.2009",NA,2
"SN_OBF02550","1.6.2015",NA,3
"SN_OBF02550","14.6.2016",NA,3
"SN_OBF02550","19.6.2017",NA,3
"SN_OBF02550","21.6.2018",NA,4
"SN_OBF02550","22.8.2012",NA,2
"SN_OBF02550","22.8.2013",NA,2
"SN_OBF02550","24.6.2019",NA,3
"SN_OBF02550","25.5.2011",NA,2
"SN_OBF02550","26.6.2014",NA,3
"SN_OBF02550","3.8.2010",NA,2
"SN_OBF02550","4.8.2009",NA,3
"SN_OBF02560","1.6.2015",NA,4
"SN_OBF02560","14.6.2016",NA,4
"SN_OBF02560","19.6.2017",NA,3
"SN_OBF02560","21.6.2018",NA,4
"SN_OBF02560","22.8.2012",NA,3
"SN_OBF02560","22.8.2013",NA,2
"SN_OBF02560","24.6.2019",NA,4
"SN_OBF02560","25.5.2011",NA,3
"SN_OBF02560","26.6.2014",NA,3
"SN_OBF02560","3.8.2010",NA,2
"SN_OBF02560","4.8.2009",NA,2
"SN_OBF02600","12.7.2016",NA,3
"SN_OBF02600","2.6.2015",NA,3
"SN_OBF02600","21.6.2017",NA,4
"SN_OBF02600","21.6.2018",NA,4
"SN_OBF02600","22.8.2012",NA,3
"SN_OBF02600","22.8.2013",NA,2
"SN_OBF02600","26.5.2011",NA,2
"SN_OBF02600","26.6.2014",NA,3
"SN_OBF02600","26.6.2019",NA,4
"SN_OBF02600","3.8.2009",NA,2
"SN_OBF02600","4.8.2010",NA,2
"SN_OBF02700","12.7.2016",NA,3
"SN_OBF02700","2.6.2015",NA,2
"SN_OBF02700","21.6.2017",NA,3
"SN_OBF02700","21.6.2018",NA,5
"SN_OBF02700","22.8.2012",NA,2
"SN_OBF02700","22.8.2013",NA,2
"SN_OBF02700","26.5.2011",NA,2
"SN_OBF02700","26.6.2014",NA,2
"SN_OBF02700","26.6.2019",NA,5
"SN_OBF02700","3.8.2009",NA,2
"SN_OBF02700","4.8.2010",NA,1
"SN_OBF02810","12.7.2016",NA,3
"SN_OBF02810","2.6.2015",NA,3
"SN_OBF02810","21.6.2017",NA,3
"SN_OBF02810","21.6.2018",NA,4
"SN_OBF02810","22.8.2012",NA,2
"SN_OBF02810","22.8.2013",NA,2
"SN_OBF02810","26.5.2011",NA,2
"SN_OBF02810","26.6.2019",NA,3
"SN_OBF02810","27.6.2014",NA,2
"SN_OBF02810","3.8.2009",NA,2
"SN_OBF02810","4.8.2010",NA,2
"SN_OBF02820","12.7.2016",NA,4
"SN_OBF02820","2.6.2015",NA,4
"SN_OBF02820","21.6.2017",NA,3
"SN_OBF02820","21.6.2018",NA,4
"SN_OBF02820","22.8.2012",NA,3
"SN_OBF02820","22.8.2013",NA,2
"SN_OBF02820","26.5.2011",NA,2
"SN_OBF02820","26.6.2019",NA,4
"SN_OBF02820","27.6.2014",NA,4
"SN_OBF02820","3.8.2009",NA,2
"SN_OBF02820","4.8.2010",NA,2
"SN_OBF02951","14.1.2014",0.78,2
"SN_OBF02951","14.4.2009",0.756,2
"SN_OBF02951","17.4.2013",0.68,2
"SN_OBF02951","19.4.2010",0.749,2
"SN_OBF02951","19.5.2011",0.573,3
"SN_OBF02951","2.6.2020",0.652,2
