Site ID,Sampling date,eqr,eqc
IR0001,28.7.2011,0.6,4
IR0001,2.8.2013,0.6,4
IR0001,31.8.2016,0.8,2
IR0001,25.6.2019,0.7,3
IR0001,2.6.2022,0.6,4
IR0002,27.7.2011,0.5,4
IR0002,2.8.2013,0.5,4
IR0002,31.8.2016,0.5,4
IR0002,25.6.2019,0.6,4
IR0002,2.6.2022,0.6,4
IR0003,19.7.2011,0.7,3
IR0003,8.8.2013,0.6,4
IR0003,24.8.2016,0.8,2
IR0003,25.7.2019,0.8,2
IR0003,27.9.2022,0.8,2
IR0004,19.7.2011,0.6,4
IR0004,8.8.2013,0.6,4
IR0004,24.8.2016,0.6,4
IR0004,25.7.2019,0.7,3
IR0004,27.9.2022,0.8,2
IR0005,28.7.2011,0.6,4
IR0005,7.8.2013,0.8,2
IR0005,29.8.2016,0.8,2
IR0005,5.9.2019,0.8,2
IR0005,14.9.2022,0.8,2
IR0006,28.7.2011,0.6,4
IR0006,8.8.2013,0.6,4
IR0006,29.8.2016,0.6,4
IR0006,25.7.2019,0.7,3
IR0006,28.9.2022,0.7,3
IR0007,28.7.2011,0.6,4
IR0007,29.7.2013,0.7,3
IR0007,29.8.2016,0.6,4
IR0007,25.7.2019,0.7,3
IR0007,28.9.2022,0.8,2
IR0008,30.7.2007,0.6,4
IR0008,26.7.2011,0.6,4
IR0008,31.7.2013,0.6,4
IR0008,23.8.2016,0.5,4
IR0008,5.9.2019,0.8,2
IR0008,7.9.2021,0.8,2
IR0008,6.9.2022,0.8,2
IR0009,19.7.2011,0.7,3
IR0009,7.8.2013,0.8,2
IR0009,26.8.2016,0.6,4
IR0009,6.9.2019,0.7,3
IR0009,21.9.2020,0.7,3
IR0009,14.9.2022,0.7,3
IR0010,19.7.2011,0.7,3
IR0010,8.8.2013,0.6,4
IR0010,24.8.2016,0.7,3
IR0010,26.7.2019,0.7,3
IR0010,15.9.2022,0.7,3
IR0011,19.7.2011,0.7,3
IR0011,8.8.2013,0.6,4
IR0011,24.8.2016,0.8,2
IR0011,25.7.2019,0.8,2
IR0011,22.7.2020,0.7,3
IR0011,15.9.2022,0.8,2
IR0012,4.7.2007,0.8,2
IR0012,6.7.2010,0.8,2
IR0012,28.6.2013,0.8,2
IR0012,31.8.2017,0.8,2
IR0012,11.7.2019,0.8,2
IR0012,8.6.2022,0.8,2
IR0013,4.7.2007,0.7,3
IR0013,6.7.2010,0.7,3
IR0013,19.6.2013,0.8,2
IR0013,31.8.2017,0.8,2
IR0013,11.7.2019,0.8,2
IR0013,8.6.2022,0.8,2
IR0014,3.7.2007,0.6,4
IR0014,1.7.2010,0.5,4
IR0014,18.6.2013,0.6,4
IR0014,30.8.2017,0.6,4
IR0014,17.6.2019,0.7,3
IR0014,7.6.2022,0.7,3
IR0015,1.7.2010,0.6,4
IR0015,18.6.2013,0.6,4
IR0015,30.8.2017,0.5,4
IR0015,17.6.2019,0.6,4
IR0015,7.6.2022,0.7,3
IR0016,3.7.2007,0.6,4
IR0016,1.7.2010,0.6,4
IR0016,18.6.2013,0.6,4
IR0016,30.8.2017,0.6,4
IR0016,17.6.2019,0.6,4
IR0016,7.6.2022,0.7,3
IR0017,6.7.2010,0.6,4
IR0017,1.7.2013,0.6,4
IR0017,31.8.2017,0.6,4
IR0017,9.7.2019,0.5,4
IR0017,8.6.2022,0.6,4
IR0018,5.7.2007,0.8,2
IR0018,5.7.2010,0.8,2
IR0018,27.6.2013,0.9,1
IR0018,30.8.2017,0.8,2
IR0018,18.6.2019,0.9,1
IR0018,9.6.2022,0.9,1
IR0019,5.7.2007,0.7,3
IR0019,5.7.2010,0.7,3
IR0019,27.6.2013,0.8,2
IR0019,30.8.2017,0.9,1
IR0019,18.6.2019,1,1
IR0019,21.7.2020,0.9,1
IR0019,30.7.2021,0.9,1
IR0019,9.6.2022,0.9,1
IR0020,5.7.2007,0.6,4
IR0020,5.7.2010,0.6,4
IR0020,27.6.2013,0.6,4
IR0020,30.8.2017,0.6,4
IR0020,18.6.2019,0.8,2
IR0020,9.6.2022,0.8,2
IR0021,5.7.2010,0.7,3
IR0021,27.6.2013,0.6,4
IR0021,30.8.2017,0.7,3
IR0021,18.6.2019,0.8,2
IR0021,13.6.2022,0.7,3
IR0022,4.7.2007,0.9,1
IR0022,5.7.2010,0.9,1
IR0022,1.7.2013,0.9,1
IR0022,31.8.2017,0.8,2
IR0022,18.6.2018,0.9,1
IR0022,9.7.2019,0.9,1
IR0022,13.6.2022,0.9,1
IR0023,5.7.2010,0.8,2
IR0023,1.7.2013,0.9,1
IR0023,31.8.2017,0.9,1
IR0023,9.7.2019,0.9,1
IR0023,13.6.2022,0.9,1
IR0024,4.7.2007,0.8,2
IR0024,5.7.2010,0.8,2
IR0024,1.7.2013,0.9,1
IR0024,31.8.2017,0.9,1
IR0024,9.7.2019,0.9,1
IR0024,13.6.2022,0.9,1
IR0025,30.9.2009,0.8,2
IR0025,31.8.2012,0.7,3
IR0025,11.8.2015,0.7,3
IR0025,18.7.2018,0.7,3
IR0025,3.7.2020,0.9,1
IR0026,17.6.2009,0.8,2
IR0026,29.8.2012,0.8,2
IR0026,9.6.2015,0.8,2
IR0026,26.7.2018,0.7,3
IR0026,23.7.2020,0.7,3
IR0027,24.7.2009,0.7,3
IR0027,29.8.2012,0.7,3
IR0027,10.6.2015,0.7,3
IR0027,26.7.2018,0.7,3
IR0027,23.7.2020,0.8,2
IR0028,8.7.2009,0.8,2
IR0028,26.6.2012,0.8,2
IR0028,2.6.2015,0.8,2
IR0028,14.8.2018,0.8,2
IR0028,14.7.2020,0.9,1
IR0029,8.7.2009,0.6,4
IR0029,26.6.2012,0.7,3
IR0029,16.6.2015,0.7,3
IR0029,14.8.2018,0.5,4
IR0029,14.7.2020,0.5,4
IR0030,8.7.2009,0.7,3
IR0030,27.6.2012,0.7,3
IR0030,2.6.2015,0.7,3
IR0030,14.8.2018,0.7,3
IR0030,14.7.2020,0.7,3
IR0031,8.7.2009,0.8,2
IR0031,27.6.2012,0.8,2
IR0031,2.6.2015,0.8,2
IR0031,14.8.2018,0.8,2
IR0031,14.7.2020,0.8,2
IR0032,8.7.2009,0.8,2
IR0032,27.6.2012,0.8,2
IR0032,4.6.2015,0.8,2
IR0032,14.8.2018,0.7,3
IR0032,14.7.2020,0.7,3
IR0033,9.7.2009,0.8,2
IR0033,29.8.2012,0.8,2
IR0033,16.6.2015,0.8,2
IR0033,14.8.2018,0.7,3
IR0033,17.7.2020,0.8,2
IR0034,17.6.2009,0.7,3
IR0034,14.8.2012,0.7,3
IR0034,31.8.2015,0.7,3
IR0034,25.7.2018,0.7,3
IR0034,8.7.2020,0.6,4
IR0035,15.6.2009,0.7,3
IR0035,22.8.2012,0.7,3
IR0035,18.6.2015,0.7,3
IR0035,25.7.2018,0.7,3
IR0035,8.7.2020,0.7,3
IR0036,15.6.2009,0.9,1
IR0036,22.8.2012,0.8,2
IR0036,17.6.2015,0.9,1
IR0036,1.8.2018,0.8,2
IR0036,15.7.2020,0.8,2
IR0037,15.6.2009,0.8,2
IR0037,22.8.2012,0.8,2
IR0037,17.6.2015,0.8,2
IR0037,1.8.2018,0.7,3
IR0037,22.7.2020,0.7,3
IR0038,23.7.2009,0.6,4
IR0038,12.6.2012,0.6,4
IR0038,18.8.2015,0.6,4
IR0038,8.8.2018,0.6,4
IR0038,30.7.2020,0.6,4
