Site ID,Sampling date,eqr,eqc
Saldur_1,1.7.2010,1.07,1
Saldur_1,1.7.2011,1.103,1
Saldur_1,1.7.2012,1.146,1
Saldur_1,1.7.2013,1.187,1
Saldur_1,1.7.2014,1.047,1
Saldur_1,1.7.2015,1.013,1
Saldur_1,1.7.2016,1.075,1
Saldur_1,1.7.2017,0.97,1
Saldur_2,1.7.2010,1.119,1
Saldur_2,1.7.2011,1.175,1
Saldur_2,1.7.2012,1.203,1
Saldur_2,1.7.2013,1.045,1
Saldur_2,1.7.2014,0.974,1
Saldur_2,1.7.2015,1.221,1
Saldur_2,1.7.2016,1.045,1
Saldur_2,1.7.2017,0.809,2
Saldur_3,1.7.2010,1.194,1
Saldur_3,1.7.2011,1.224,1
Saldur_3,1.7.2012,1.236,1
Saldur_3,1.7.2013,1.223,1
Saldur_3,1.7.2014,1.169,1
Saldur_3,1.7.2015,1.216,1
Saldur_3,1.7.2016,1.175,1
Saldur_3,1.7.2017,1.096,1
