Site ID,Sampling date,eqr,eqc
LTR1,4.10.2010,0.7,2
LTR1,1.10.2012,0.6,2
LTR1,7.10.2013,0.72,2
LTR1,6.10.2014,0.54,3
LTR1,5.10.2015,0.81,1
LTR1,3.10.2016,0.51,3
LTR1,2.10.2017,0.63,2
LTR1,5.10.2020,0.54,3
LTR105,27.9.2010,0.44,3
LTR105,26.9.2012,0.72,2
LTR105,16.9.2013,0.62,2
LTR105,23.9.2014,0.68,2
LTR105,21.9.2015,0.7,2
LTR105,26.9.2016,0.67,2
LTR105,25.10.2017,0.59,3
LTR105,22.9.2020,0.58,3
LTR11,6.10.2010,0.42,3
LTR11,3.10.2012,0.42,3
LTR11,9.10.2013,0.41,3
LTR11,8.10.2014,0.44,3
LTR11,7.10.2015,0.398,3
LTR11,5.10.2016,0.39,3
LTR11,4.10.2017,0.51,2
LTR11,7.10.2020,0.45,3
LTR127,13.10.2010,0.38,4
LTR127,14.9.2011,0.32,4
LTR127,12.9.2012,0.33,4
LTR127,30.9.2013,0.43,3
LTR127,15.10.2014,0.33,4
LTR127,12.10.2015,0.31,4
LTR127,12.9.2016,0.41,3
LTR127,4.10.2017,0.36,4
LTR127,14.9.2020,0.48,3
LTR1282,6.10.2010,0.76,2
LTR1282,17.10.2012,0.94,1
LTR1282,26.9.2013,0.95,1
LTR1282,22.9.2014,0.83,1
LTR1282,19.10.2015,0.98,1
LTR1282,28.11.2016,0.95,1
LTR1282,2.10.2017,0.8,1
LTR1282,20.10.2020,0.44,3
LTR13,11.10.2010,0.46,3
LTR13,12.9.2011,0.46,3
LTR13,8.10.2012,0.42,3
LTR13,30.9.2013,0.34,3
LTR13,13.10.2014,0.29,4
LTR13,12.10.2015,0.399,3
LTR13,12.9.2016,0.48,3
LTR13,4.10.2017,0.4,3
LTR13,14.9.2020,0.5,2
LTR1301,4.10.2010,0.87,1
LTR1301,10.10.2012,0.72,2
LTR1301,7.10.2013,0.86,1
LTR1301,6.10.2014,0.76,2
LTR1301,12.10.2015,0.95,1
LTR1301,17.10.2016,0.78,2
LTR1301,16.10.2017,0.94,1
LTR1301,13.10.2020,0.59,3
LTR1319,28.9.2010,0.57,3
LTR1319,24.9.2012,0.91,1
LTR1319,18.9.2013,0.9,1
LTR1319,15.9.2014,0.7,2
LTR1319,23.9.2015,0.88,1
LTR1319,27.9.2016,0.69,2
LTR1319,26.10.2017,0.77,2
LTR1319,21.9.2020,0.74,2
LTR133,5.10.2010,0.56,3
LTR133,2.10.2012,0.49,3
LTR133,8.10.2013,0.6,2
LTR133,7.10.2014,0.69,2
LTR133,6.10.2015,0.91,1
LTR133,4.10.2016,0.52,3
LTR133,3.10.2017,0.59,3
LTR133,6.10.2020,0.54,3
LTR1348,7.10.2010,0.91,1
LTR1348,3.10.2012,0.76,2
LTR1348,10.10.2013,0.76,2
LTR1348,9.10.2014,0.79,2
LTR1348,1.10.2015,0.92,1
LTR1348,11.10.2016,0.57,3
LTR1348,3.10.2017,0.76,2
LTR1348,7.10.2020,0.67,2
LTR137,27.9.2010,0.63,2
LTR137,25.9.2012,0.6,2
LTR137,10.10.2013,0.78,2
LTR137,30.9.2014,0.59,3
LTR137,5.10.2015,0.63,2
LTR137,10.10.2016,0.86,1
LTR137,2.10.2017,0.71,2
LTR137,8.10.2020,0.59,3
LTR1438,7.10.2010,0.85,1
LTR1438,3.10.2012,0.78,2
LTR1438,10.10.2013,0.83,1
LTR1438,9.10.2014,0.95,1
LTR1438,1.10.2015,0.99,1
LTR1438,11.10.2016,0.92,1
LTR1438,3.10.2017,0.78,2
LTR1438,7.10.2020,0.91,1
LTR1462,11.10.2010,0.63,2
LTR1462,12.9.2011,0.36,4
LTR1462,18.10.2012,0.52,3
LTR1462,25.9.2013,0.76,2
LTR1462,13.10.2014,0.74,2
LTR1462,12.10.2015,0.77,2
LTR1462,12.9.2016,0.56,3
LTR1462,4.10.2017,0.57,3
LTR1462,14.9.2020,0.62,2
LTR161,5.10.2010,0.77,2
LTR161,4.10.2012,0.62,2
LTR161,8.10.2013,0.81,1
LTR161,13.10.2014,0.61,2
LTR161,1.10.2015,0.84,1
LTR161,18.10.2016,0.71,2
LTR161,6.10.2017,0.94,1
LTR161,15.10.2020,0.56,3
LTR175,7.10.2010,0.92,1
LTR175,3.10.2012,0.69,2
LTR175,10.10.2013,0.67,2
LTR175,13.10.2014,0.9,1
LTR175,1.10.2015,0.86,1
LTR175,12.10.2016,0.72,2
LTR175,3.10.2017,0.75,2
LTR175,7.10.2020,0.9,1
LTR192,5.10.2010,0.96,1
LTR192,8.10.2012,0.89,1
LTR192,14.10.2013,0.86,1
LTR192,1.10.2014,0.92,1
LTR192,7.10.2015,0.99,1
LTR192,10.10.2016,0.85,1
LTR192,4.10.2017,0.69,2
LTR192,1.10.2020,0.49,3
LTR231,6.10.2010,0.59,3
LTR231,3.10.2012,0.61,2
LTR231,9.10.2013,0.77,2
LTR231,9.10.2014,0.76,2
LTR231,7.10.2015,0.41,3
LTR231,5.10.2016,0.68,2
LTR231,4.10.2017,0.56,3
LTR231,7.10.2020,0.64,2
LTR245,4.10.2010,0.47,3
LTR245,1.10.2012,0.47,3
LTR245,7.10.2013,0.62,2
LTR245,6.10.2014,0.7,2
LTR245,5.10.2015,0.6,2
LTR245,3.10.2016,0.54,3
LTR245,2.10.2017,0.46,3
LTR245,5.10.2020,0.46,3
LTR26,14.9.2010,0.77,1
LTR26,25.9.2012,0.65,2
LTR26,11.10.2013,0.77,1
LTR26,1.10.2014,0.73,1
LTR26,5.10.2015,0.79,1
LTR26,4.10.2016,1,1
LTR26,9.10.2017,0.68,2
LTR26,7.10.2020,0.77,1
LTR268,11.10.2010,0.49,3
LTR268,28.9.2011,0.47,3
LTR268,8.10.2012,0.49,3
LTR268,26.9.2013,0.49,3
LTR268,13.10.2014,0.56,3
LTR268,12.10.2015,0.63,2
LTR268,12.9.2016,0.57,2
LTR268,4.10.2017,0.55,2
LTR268,14.9.2020,0.69,2
LTR325,27.9.2010,0.73,2
LTR325,26.9.2012,0.81,1
LTR325,16.9.2013,0.64,2
LTR325,23.9.2014,0.77,2
LTR325,21.9.2015,0.69,2
LTR325,26.9.2016,0.58,3
LTR325,25.10.2017,0.58,3
LTR325,22.9.2020,0.77,2
LTR327,27.9.2010,0.66,2
LTR327,24.9.2012,0.78,2
LTR327,18.9.2013,0.67,2
LTR327,15.9.2014,0.71,2
LTR327,22.9.2015,0.66,2
LTR327,27.9.2016,0.7,2
LTR327,26.10.2017,0.81,1
LTR327,21.9.2020,0.69,2
LTR33,6.10.2010,0.35,4
LTR33,3.10.2012,0.62,2
LTR33,9.10.2013,0.76,2
LTR33,8.10.2014,0.67,2
LTR33,7.10.2015,0.73,2
LTR33,5.10.2016,0.67,2
LTR33,4.10.2017,0.86,1
LTR33,7.10.2020,0.56,3
LTR387,27.9.2010,0.74,2
LTR387,24.9.2012,0.65,2
LTR387,23.9.2013,0.57,3
LTR387,24.9.2014,0.62,2
LTR387,28.9.2015,0.57,3
LTR387,26.9.2016,0.51,3
LTR387,16.10.2017,0.57,3
LTR387,22.9.2020,0.61,2
LTR40,4.10.2010,0.27,4
LTR40,1.10.2012,0.5,3
LTR40,7.10.2013,0.58,3
LTR40,6.10.2014,0.51,3
LTR40,5.10.2015,0.45,3
LTR40,3.10.2016,0.57,3
LTR40,2.10.2017,0.51,3
LTR40,5.10.2020,0.48,3
LTR401,7.9.2010,0.56,3
LTR401,25.9.2012,0.73,2
LTR401,10.10.2013,0.43,3
LTR401,2.10.2014,0.57,3
LTR401,5.10.2015,0.58,3
LTR401,11.10.2016,0.83,1
LTR401,11.10.2017,0.48,3
LTR401,5.10.2020,0.5,3
LTR41,4.10.2010,0.77,2
LTR41,1.10.2012,0.68,2
LTR41,7.10.2013,0.59,3
LTR41,6.10.2014,1,1
LTR41,5.10.2015,0.86,1
LTR41,3.10.2016,0.62,2
LTR41,2.10.2017,0.46,3
LTR41,5.10.2020,0.6,2
LTR43,4.10.2010,0.77,2
LTR43,1.10.2012,0.43,3
LTR43,7.10.2013,0.48,3
LTR43,6.10.2014,0.49,3
LTR43,5.10.2015,0.57,3
LTR43,3.10.2016,0.71,2
LTR43,2.10.2017,0.59,3
LTR43,5.10.2020,0.38,4
LTR450,7.10.2010,0.61,2
LTR450,29.9.2012,0.41,3
LTR450,3.10.2013,0.54,3
LTR450,7.10.2014,0.53,3
LTR450,8.10.2015,0.38,4
LTR450,26.9.2016,0.52,3
LTR450,4.10.2017,0.52,3
LTR450,12.10.2020,0.38,4
LTR50,5.10.2010,0.52,3
LTR50,2.10.2012,0.49,3
LTR50,8.10.2013,0.39,4
LTR50,7.10.2014,0.56,3
LTR50,6.10.2015,0.47,3
LTR50,4.10.2016,0.37,4
LTR50,3.10.2017,0.58,3
LTR50,6.10.2020,0.4,3
LTR612,11.10.2010,0.33,3
LTR612,12.9.2011,0.5,2
LTR612,8.10.2012,0.32,3
LTR612,25.9.2013,0.45,3
