Site ID,Sampling date,eqr,eqc
Salaca1,5.8.1986,0.24,5
Salaca1,14.7.1987,0.14,5
Salaca1,28.7.1988,0.2,5
Salaca1,27.7.1989,0.15,5
Salaca1,18.7.1990,0.04,5
Salaca1,23.7.1997,0.17,5
Salaca1,30.7.1998,0.28,5
Salaca1,22.7.1999,0.11,5
Salaca1,25.7.2000,0.37,4
Salaca1,27.7.2001,0.44,3
Salaca1,23.7.2002,0.28,5
Salaca1,2.8.2004,0.14,5
Salaca1,2.8.2005,0.17,5
Salaca1,24.7.2006,0.42,3
Salaca1,31.7.2007,0.44,3
Salaca1,24.7.2008,0.27,5
Salaca1,28.7.2009,0.57,3
Salaca1,27.7.2010,0.47,3
Salaca1,27.7.2011,0.45,3
Salaca1,24.7.2012,0.31,4
Salaca1,23.7.2013,0.37,4
Salaca1,29.7.2014,0.45,3
Salaca1,28.7.2015,0.33,4
Salaca2,23.7.1996,0.4,4
Salaca2,25.7.1997,0.45,4
Salaca2,30.7.1998,0.41,3
Salaca2,22.7.1999,0.62,3
Salaca2,25.7.2000,0.62,3
Salaca2,27.7.2001,0.59,3
Salaca2,23.7.2002,0.82,2
Salaca2,11.8.2003,0.31,4
Salaca2,2.8.2004,0.56,3
Salaca2,2.8.2005,0.37,4
Salaca2,24.7.2006,0.3,4
Salaca2,31.7.2007,0.59,3
Salaca2,24.7.2008,0.73,2
Salaca2,28.7.2009,0.53,3
Salaca2,27.7.2010,0.38,4
Salaca2,27.7.2011,0.4,4
Salaca2,24.7.2012,0.35,4
Salaca2,23.7.2013,0.46,3
Salaca2,29.7.2014,0.33,4
Salaca2,28.7.2015,0.04,5
Salaca3,26.7.1996,0.49,3
Salaca3,26.7.1997,0.76,2
Salaca3,27.7.1998,0.65,3
Salaca3,20.7.1999,0.58,3
Salaca3,24.7.2000,0.85,2
Salaca3,26.7.2001,0.62,3
Salaca3,22.7.2002,0.8,2
Salaca3,3.8.2004,0.73,2
Salaca3,3.8.2005,0.97,1
Salaca3,27.7.2006,0.9,2
Salaca3,30.7.2007,0.69,3
Salaca3,23.7.2008,1.09,1
Salaca3,27.7.2009,0.94,1
Salaca3,26.7.2010,1.07,1
Salaca3,26.7.2011,1,1
Salaca3,23.7.2012,0.83,2
Salaca3,22.7.2013,0.77,2
Salaca3,28.7.2014,0.77,2
Salaca3,27.7.2015,0.82,2
