Site ID,Sampling date,eqr,eqc
AAS03,27.4.1990,0.520475235,3
AAS03,17.4.1991,0.541765873,3
AAS03,26.5.1992,0.506544358,3
AAS03,9.6.1993,0.491767441,3
AAS03,11.5.1994,0.529628506,3
AAS03,29.5.1995,0.508141923,3
AAS03,24.6.1996,0.48016602,3
AAS03,11.6.2003,0.699198524,2
AAS03,17.5.2004,0.644706912,2
AAS03,15.6.2005,0.63191358,2
AAS03,31.5.2006,0.609221995,2
AAS03,13.5.2009,0.668960573,2
AAS03,14.4.2010,0.688400551,2
AAS03,3.5.2012,0.670407939,2
AAS03,20.4.2015,0.539294395,3
AAS03,13.5.2019,0.313551996,4
BER00,30.5.1989,0.559458383,3
BER00,14.5.1990,0.648492955,2
BER00,24.6.1991,0.585439086,3
BER00,11.5.1992,0.62346075,2
BER00,3.6.1993,0.548227099,3
BER00,17.5.1994,0.60515873,2
BER00,7.5.1995,0.673801561,2
BER00,26.5.1997,0.753390313,2
BER00,14.5.1998,0.71029207,2
BER00,17.5.1999,0.72292769,2
BER00,11.5.2000,0.813809326,1
BER00,17.5.2001,0.852768634,1
BER00,22.5.2002,0.770585317,2
BER00,27.5.2003,0.816774549,1
BER00,14.5.2004,0.821041454,1
BER00,16.6.2005,0.734342694,2
BER00,15.5.2006,0.73760314,2
BER00,15.5.2008,0.73968254,2
BER00,8.5.2009,0.748290598,2
BER00,12.4.2010,0.791819425,2
BER00,7.5.2012,0.805963591,1
BER00,17.4.2015,0.803777376,1
BER00,19.4.2018,0.780849589,2
BER00,9.5.2019,0.691194255,2
BOS42,17.4.1989,0.358922559,4
BOS42,19.4.1990,0.28346395,4
BOS42,2.5.1991,0.365422248,4
BOS42,7.5.1992,0.391044301,4
BOS42,14.4.1993,0.41168398,3
BOS42,2.5.1994,0.566234484,3
BOS42,18.4.1995,0.641310299,2
BOS42,8.4.1997,0.658501021,2
BOS42,16.4.1998,0.666304839,2
BOS42,20.4.1999,0.810275882,1
BOS42,3.4.2000,0.752077519,2
BOS42,3.5.2001,0.756343092,2
BOS42,18.4.2002,0.73819756,2
BOS42,14.4.2003,0.80016835,1
BOS42,22.4.2004,0.526012662,3
BOS42,2.5.2005,0.500946772,3
BOS42,21.3.2006,0.705443242,2
BOS42,19.4.2007,0.684661517,2
BOS42,6.4.2008,0.851162791,1
BOS42,20.4.2009,0.645083853,2
BOS42,7.4.2010,0.666245817,2
BOS42,9.4.2013,0.864583333,1
BOS42,13.4.2016,0.802146667,1
BOS42,27.3.2019,0.485805423,3
BUB03,14.4.1997,0.566164659,3
BUB03,18.5.1998,0.685460898,2
BUB03,8.5.2000,0.6436249,2
BUB03,3.5.2001,0.675692165,2
BUB03,12.5.2004,0.716660108,2
BUB03,16.6.2005,0.823210832,1
BUB03,1.5.2007,0.673733094,2
BUB03,7.5.2009,0.697088376,2
BUB03,10.5.2012,0.845045045,1
BUB03,17.4.2013,0.716691952,2
BUB03,22.4.2015,0.69602138,2
BUB03,25.4.2016,0.539575883,3
BUB03,5.4.2017,0.504194656,3
BUB03,11.4.2018,0.478772708,3
BUB03,17.4.2019,0.472785852,3
BZB08,20.5.1988,0.692424242,2
BZB08,24.4.1989,0.620982939,2
BZB08,10.5.1990,0.510133594,3
BZB08,20.5.1992,0.497051047,3
BZB08,6.6.1995,0.461242635,3
BZB08,6.5.1999,0.407644628,3
BZB08,4.5.2000,0.422644628,3
BZB08,17.4.2001,0.536130536,3
BZB08,17.4.2002,0.446082306,3
BZB08,26.4.2004,0.44984731,3
BZB08,11.5.2005,0.424775225,3
BZB08,27.4.2006,0.357067808,4
BZB08,12.4.2007,0.481142621,3
BZB08,6.4.2010,0.503800164,3
BZB08,9.4.2013,0.649688138,2
BZB08,1.4.2016,0.844444444,1
BZB08,3.4.2019,0.327119527,4
GRK12,25.5.1988,0.222641509,4
GRK12,13.6.1994,0.283637261,4
GRK12,11.5.1995,0.302848029,4
GRK12,5.6.1997,0.284759545,4
GRK12,18.5.1998,0.265454545,4
GRK12,28.6.1999,0.293580294,4
GRK12,29.6.2000,0.286537506,4
GRK12,13.6.2001,0.306791655,4
GRK12,12.6.2002,0.330844913,4
GRK12,18.5.2004,0.29007659,4
GRK12,7.6.2006,0.208333333,4
GRK12,5.6.2007,0.208333333,4
GRK12,2.5.2011,0.272727273,4
GRK12,26.4.2014,0.271304348,4
GRK12,10.4.2017,0.308070891,4
OIJ00,1.5.1990,0.439372549,3
OIJ00,13.5.1991,0.400169499,3
OIJ00,13.5.1992,0.480310419,3
OIJ00,9.6.1993,0.455447938,3
OIJ00,30.5.1994,0.619865823,2
OIJ00,17.5.1995,0.566371681,3
OIJ00,3.7.1996,0.486330381,3
OIJ00,1.5.2000,0.547905655,3
OIJ00,22.6.2001,0.664079148,2
OIJ00,24.6.2002,0.66802168,2
OIJ00,5.6.2003,0.566913491,3
OIJ00,17.5.2004,0.508199112,3
OIJ00,15.6.2005,0.545826933,3
OIJ00,17.5.2006,0.553239307,3
oASTEAA860,22.5.2000,0.268055556,4
oASTEAA860,3.5.2001,0.320686071,4
oASTEAA860,7.5.2002,0.272900205,4
oASTEAA860,28.4.2003,0.351708976,4
oASTEAA860,3.5.2004,0.213963964,4
oASTEAA860,11.5.2005,0.230266777,4
oASTEAA860,19.6.2006,0.282782783,4
oASTEAA860,16.5.2009,0.13362069,5
oASTEAA860,21.5.2012,0.268775407,4
oASTEAA860,21.5.2014,0.331439394,4
oASTEAA860,7.5.2015,0.263595085,4
oASTEAA860,30.5.2016,0.208138239,4
oASTEAA860,16.5.2017,0.259446576,4
oASTEAA860,14.5.2018,0.214978111,4
oASTEAA860,8.5.2019,0.237446541,4
oDE_AA_100,21.6.2000,0.096153846,5
oDE_AA_100,1.5.2001,0.107142857,5
oDE_AA_100,6.5.2002,0.118421053,5
oDE_AA_100,20.4.2003,0.105769231,5
oDE_AA_100,3.5.2004,0.116935484,5
oDE_AA_100,12.5.2005,0.130769231,5
oDE_AA_100,10.5.2006,0.12962963,5
oDE_AA_100,11.6.2007,0.12406015,5
oDE_AA_100,15.5.2008,0.116161616,5
oDE_AA_100,15.6.2009,0.155913978,5
oDE_AA_100,10.6.2010,0.132575758,5
oDE_AA_100,20.6.2011,0.125,5
oDE_AA_100,21.5.2012,0.144230769,5
oDE_AA_100,11.4.2013,0.111570248,5
oDE_AA_100,19.5.2015,0.122916667,5
oDE_AA_100,14.5.2018,0.098214286,5
oDE_AA_330,28.8.2000,0.203389831,4
oDE_AA_330,20.8.2001,0.304955178,4
oDE_AA_330,19.8.2002,0.353636364,4
oDE_AA_330,29.8.2003,0.256521739,4
oDE_AA_330,24.8.2004,0.266723595,4
oDE_AA_330,5.9.2005,0.205405405,4
oDE_AA_330,17.9.2014,0.183673469,5
oDE_AA_330,18.9.2015,0.219130435,4
oDE_AA_330,14.9.2016,0.247253281,4
oDE_AA_330,20.9.2017,0.287691475,4
oDE_AA_330,5.9.2018,0.367805093,4
oDE_AA_330,4.9.2019,0.525598086,3
oDE_AA_331,24.8.2006,0.206666667,4
oDE_AA_331,23.8.2007,0.276592979,4
oDE_AA_331,30.9.2008,0.194339623,5
oDE_AA_331,25.8.2009,0.195604396,5
oDE_AA_331,4.8.2010,0.195180723,5
oDE_AA_331,12.9.2011,0.280063796,4
oDE_AA_331,14.8.2012,0.291212121,4
oDE_AA_331,5.8.2013,0.246715316,4
