Site ID,Sampling date,eqr,eqc
Station 11,19.10.2004,0.894476684,2
Station 11,2.11.2005,0.928985507,2
Station 11,20.10.2006,0.931884058,2
Station 11,5.11.2007,0.944927536,2
Station 11,3.11.2008,0.892924984,2
Station 11,13.10.2009,0.923890019,2
Station 11,22.10.2010,0.955072464,2
Station 11,25.10.2011,0.944927536,2
Station 11,5.11.2012,0.936231884,2
Station 11,16.10.2013,0.944927536,2
Station 11,19.11.2014,0.972463768,2
Station 11,28.10.2015,0.841314987,2
Station 11,6.10.2016,0.834565857,2
Station 11,18.10.2018,0.867589972,1
Station 11,23.10.2019,0.753462483,4
Station 11,1.10.2020,0.811290013,3
St. 1 Innløp Gjærvollstadvatn,30.10.2003,0.732152903,4
St. 1 Innløp Gjærvollstadvatn,16.9.2004,0.70378947,5
St. 1 Innløp Gjærvollstadvatn,28.9.2005,0.699512314,5
St. 1 Innløp Gjærvollstadvatn,16.10.2006,0.791246528,3
St. 1 Innløp Gjærvollstadvatn,30.10.2007,0.946376812,2
St. 1 Innløp Gjærvollstadvatn,14.10.2008,0.829482569,2
St. 1 Innløp Gjærvollstadvatn,25.9.2009,0.769189819,3
St. 1 Innløp Gjærvollstadvatn,13.10.2010,0.848247091,2
St. 1 Innløp Gjærvollstadvatn,29.9.2011,0.911594203,2
St. 1 Innløp Gjærvollstadvatn,23.10.2012,0.891304348,2
St. 1 Innløp Gjærvollstadvatn,25.9.2013,0.740438866,4
St. 1 Innløp Gjærvollstadvatn,17.9.2014,0.873594139,2
St. 1 Innløp Gjærvollstadvatn,29.9.2015,0.84057971,3
St. 1 Innløp Gjærvollstadvatn,27.9.2016,0.924637681,2
St. 1 Innløp Gjærvollstadvatn,18.10.2017,0.759390727,3
St. 1 Innløp Gjærvollstadvatn,18.10.2018,0.858396575,2
St. 1 Innløp Gjærvollstadvatn,6.11.2019,0.889855072,2
St. 1 Innløp Gjærvollstadvatn,14.10.2020,0.998550725,1
St. 2 Innl. Gjærvollstadvatn ca 75 m,30.10.2003,0.709694714,5
St. 2 Innl. Gjærvollstadvatn ca 75 m,16.9.2004,0.766665355,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,28.9.2005,0.832446317,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,16.10.2006,0.777075549,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,30.10.2007,0.942028986,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,14.10.2008,0.846075646,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,25.9.2009,0.75103169,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,13.10.2010,1.002898551,1
St. 2 Innl. Gjærvollstadvatn ca 75 m,29.9.2011,0.80653017,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,23.10.2012,0.838840454,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,25.9.2013,0.78954017,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,17.9.2014,0.869565217,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,29.9.2015,0.810607009,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,27.9.2016,0.840409366,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,18.10.2017,0.942028986,2
St. 2 Innl. Gjærvollstadvatn ca 75 m,18.10.2018,0.745409176,4
St. 2 Innl. Gjærvollstadvatn ca 75 m,6.11.2019,0.790925246,3
St. 2 Innl. Gjærvollstadvatn ca 75 m,14.10.2020,0.911594203,2
St. 3 Innl. Gjærvollstadvatn ca. 150 m,30.10.2003,0.754512907,3
St. 3 Innl. Gjærvollstadvatn ca. 150 m,16.9.2004,0.719111075,4
St. 3 Innl. Gjærvollstadvatn ca. 150 m,28.9.2005,0.658214694,5
St. 3 Innl. Gjærvollstadvatn ca. 150 m,16.10.2006,0.87583632,2
St. 3 Innl. Gjærvollstadvatn ca. 150 m,30.10.2007,0.937681159,2
St. 3 Innl. Gjærvollstadvatn ca. 150 m,14.10.2008,0.953623188,2
St. 3 Innl. Gjærvollstadvatn ca. 150 m,25.9.2009,0.933333333,2
