Site ID,Sampling date,eqr,eqc
1O,1.4.1993,0.725,2
1O,1.4.1994,0.943,2
1O,1.4.1995,0.777,2
1O,1.4.1996,0.863,2
1O,1.4.1997,0.995,1
1O,1.4.1998,0.678,3
1O,1.4.1999,0.906,2
1O,1.4.2000,0.744,2
1O,1.4.2001,0.928,2
1O,1.4.2002,0.877,2
1O,1.4.2003,0.963,2
1O,1.4.2004,0.931,2
1O,1.4.2005,0.803,2
1O,1.4.2006,0.822,2
1O,1.4.2007,0.942,2
1O,1.4.2008,0.803,2
1O,1.4.2009,0.553,3
1O,1.4.2010,0.406,4
1O,1.4.2011,0.974,1
1O,1.4.2012,0.728,2
1O,1.4.2013,0.286,4
1O,1.4.2014,0.837,2
1O,1.4.2015,0.695,3
1O,1.4.2016,0.453,4
1O,1.4.2017,0.435,4
1O,1.4.2018,0.754,2
1O,1.4.2019,0.669,3
2O,1.4.1993,0.645,3
2O,1.4.1994,0.843,2
2O,1.4.1995,0.69,3
2O,1.4.1996,0.875,2
2O,1.4.1997,0.84,2
2O,1.4.1998,0.846,2
2O,1.4.1999,0.686,3
2O,1.4.2000,0.854,2
2O,1.4.2001,0.898,2
2O,1.4.2002,0.812,2
2O,1.4.2003,0.915,2
2O,1.4.2004,0.875,2
2O,1.4.2005,0.825,2
2O,1.4.2006,0.97,2
2O,1.4.2007,0.859,2
2O,1.4.2008,0.825,2
2O,1.4.2009,0.733,2
2O,1.4.2010,0.661,3
2O,1.4.2011,0.593,3
2O,1.4.2012,0.844,2
2O,1.4.2013,0.445,4
2O,1.4.2014,0.732,2
2O,1.4.2015,0.532,3
2O,1.4.2016,0.637,3
2O,1.4.2017,0.622,3
2O,1.4.2018,0.767,2
2O,1.4.2019,0.629,3
