Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
1;1_37140;06.09.2001;Chironomidae;;19;;;
1;1_37140;06.09.2001;Prosimulium;;1;;;
1;1_37140;06.09.2001;Nemoura;;1;;;
1;1_37140;06.09.2001;Dicranota;;1;;;
1;1_37140;06.09.2001;Acrophylax zerberus;;1;;;
1;1_37140;06.09.2001;Oligochaeta: Enchytraeidae;;2;;;
1;1_37454;17.07.2002;Chironomidae;;12;;;
1;1_37454;17.07.2002;Prosimulium;;131;;;
1;1_37454;17.07.2002;Acrophylax zerberus;;5;;;
1;1_37454;17.07.2002;Limnius perrisi;;1;;;
1;1_37481;13.08.2002;Chironomidae;;8;;;
1;1_37481;13.08.2002;Prosimulium;;6;;;
1;1_37515;16.09.2002;Chironomidae;;3;;;
1;1_37515;16.09.2002;Nemoura;;3;;;
1;1_37515;16.09.2002;Acrophylax zerberus;;10;;;
1;1_37802;30.06.2003;Chironomidae;;10;;;
1;1_37802;30.06.2003;Prosimulium;;92;;;
1;1_37824;22.07.2003;Chironomidae;;45;;;
1;1_37824;22.07.2003;Prosimulium;;13;;;
1;1_37824;22.07.2003;Nemoura;;2;;;
1;1_37824;22.07.2003;Hydracarina;;10;;;
1;1_37852;19.08.2003;Chironomidae;;55;;;
1;1_37852;19.08.2003;Nemoura;;9;;;
1;1_37852;19.08.2003;Rhithrogena loyolaea;;1;;;
1;1_37852;19.08.2003;Dicranota;;1;;;
1;1_37852;19.08.2003;Acrophylax zerberus;;1;;;
1;1_37852;19.08.2003;Hydracarina;;3;;;
1;1_37880;16.09.2003;Chironomidae;;26;;;
1;1_37880;16.09.2003;Nemoura;;7;;;
1;1_37880;16.09.2003;Perlodes;;1;;;
1;1_37880;16.09.2003;Rhithrogena loyolaea;;1;;;
1;1_37880;16.09.2003;Dicranota;;1;;;
1;1_37880;16.09.2003;Hydracarina;;3;;;
1;1_38201;02.08.2004;Chironomidae;;32;;;
1;1_38201;02.08.2004;Prosimulium;;64;;;
1;1_38201;02.08.2004;Nemoura;;1;;;
1;1_38201;02.08.2004;Perlodes;;2;;;
1;1_38201;02.08.2004;Crenobia alpina;;1;;;
1;1_38201;02.08.2004;Hydracarina;;1;;;
1;1_38560;27.07.2005;Chironomidae;;445;;;
1;1_38560;27.07.2005;Prosimulium;;6;;;
1;1_38560;27.07.2005;Limnephilus coenosus;;1;;;
1;1_38560;27.07.2005;Crenobia alpina;;1;;;
1;1_38925;27.07.2006;Chironomidae;;1;;;
1;1_38925;27.07.2006;Prosimulium;;2;;;
1;1_38925;27.07.2006;Nemoura;;2;;;
1;1_38925;27.07.2006;Acrophylax zerberus;;1;;;
1;1_38925;27.07.2006;Crenobia alpina;;2;;;
1;1_39289;26.07.2007;Chironomidae;;10;;;
1;1_39289;26.07.2007;Prosimulium;;26;;;
1;1_39289;26.07.2007;Nemoura;;2;;;
1;1_39289;26.07.2007;Acrophylax zerberus;;10;;;
1;1_39658;29.07.2008;Chironomidae;;40;;;
1;1_39658;29.07.2008;Prosimulium;;106;;;
1;1_39658;29.07.2008;Nemoura;;1;;;
1;1_39658;29.07.2008;Acrophylax zerberus;;1;;;
1;1_39658;29.07.2008;Crenobia alpina;;6;;;
1;1_39658;29.07.2008;Oligochaeta: Enchytraeidae;;9;;;
1;1_40031;06.08.2009;Chironomidae;;15;;;
1;1_40031;06.08.2009;Prosimulium;;11;;;
1;1_40031;06.08.2009;Simulium;;2;;;
1;1_40031;06.08.2009;Nemoura;;1;;;
1;1_40031;06.08.2009;Dicranota;;2;;;
1;1_40031;06.08.2009;Limnephilus coenosus;;14;;;
1;1_40388;29.07.2010;Chironomidae;;7;;;
1;1_40388;29.07.2010;Prosimulium;;250;;;
1;1_40388;29.07.2010;Nemoura;;4;;;
1;1_40388;29.07.2010;Crenobia alpina;;4;;;
1;1_40388;29.07.2010;Oligochaeta: Enchytraeidae;;8;;;
1;1_40388;29.07.2010;Divers;;3;;;
1;1_40751;27.07.2011;Chironomidae;;33;;;
1;1_40751;27.07.2011;Prosimulium;;33;;;
1;1_40751;27.07.2011;Nemoura;;1;;;
1;1_40751;27.07.2011;Perlodes;;4;;;
1;1_40751;27.07.2011;Acrophylax zerberus;;3;;;
1;1_40751;27.07.2011;Oligochaeta: Enchytraeidae;;6;;;
1;1_41120;30.07.2012;Chironomidae;;91;;;
1;1_41120;30.07.2012;Prosimulium;;30;;;
1;1_41120;30.07.2012;Simulium;;100;;;
1;1_41120;30.07.2012;Nemoura;;1;;;
1;1_41120;30.07.2012;Dictyogenus;;4;;;
1;1_41120;30.07.2012;Dicranota;;2;;;
1;1_41120;30.07.2012;Acrophylax zerberus;;6;;;
1;1_41120;30.07.2012;Crenobia alpina;;1;;;
1;1_41485;30.07.2013;Chironomidae;;9;;;
1;1_41485;30.07.2013;Prosimulium;;555;;;
1;1_41485;30.07.2013;Nemoura;;1;;;
1;1_41485;30.07.2013;Acrophylax zerberus;;8;;;
1;1_41485;30.07.2013;Hydracarina;;1;;;
1;1_41879;28.08.2014;Chironomidae;;36;;;
1;1_41879;28.08.2014;Prosimulium;;325;;;
1;1_41879;28.08.2014;Nemoura;;1;;;
1;1_41879;28.08.2014;Oligochaeta: Enchytraeidae;;22;;;
1;1_41879;28.08.2014;Divers;;9;;;
1;1_42215;30.07.2015;Chironomidae;;20;;;
1;1_42215;30.07.2015;Prosimulium;;8;;;
1;1_42215;30.07.2015;Dictyogenus;;1;;;
1;1_42215;30.07.2015;Acrophylax zerberus;;5;;;
1;1_42215;30.07.2015;Crenobia alpina;;1;;;
1;1_42215;30.07.2015;Oligochaeta: Enchytraeidae;;7;;;
1;1_42215;30.07.2015;Divers;;2;;;
1;1_42581;30.07.2016;Chironomidae;;57;;;
1;1_42581;30.07.2016;Prosimulium;;85;;;
1;1_42581;30.07.2016;Nemoura;;3;;;
1;1_42581;30.07.2016;Perlodes;;4;;;
1;1_42581;30.07.2016;Baetis alpinus;;1;;;
1;1_42944;28.07.2017;Chironomidae;;2;;;
1;1_42944;28.07.2017;Prosimulium;;150;;;
1;1_42944;28.07.2017;Crenobia alpina;;2;;;
1;1_43309;28.07.2018;Chironomidae;;7;;;
1;1_43309;28.07.2018;Prosimulium;;34;;;
1;1_43309;28.07.2018;Nemoura;;11;;;
1;1_43309;28.07.2018;Baetis alpinus;;1;;;
1;1_43309;28.07.2018;Rhypholophus;;1;;;
1;1_43309;28.07.2018;Limnephilus coenosus;;1;;;
1;1_43309;28.07.2018;Crenobia alpina;;2;;;
1;1_43309;28.07.2018;Oligochaeta: Enchytraeidae;;2;;;
1;1_43309;28.07.2018;Divers;;7;;;
1;1_43674;28.07.2019;Chironomidae;;80;;;
1;1_43674;28.07.2019;Prosimulium;;460;;;
1;1_43674;28.07.2019;Nemoura;;5;;;
1;1_43674;28.07.2019;Empedidae;;2;;;
1;1_43674;28.07.2019;Limnephilus coenosus;;1;;;
1;1_43674;28.07.2019;Crenobia alpina;;15;;;
1;1_44071;28.08.2020;Chironomidae;;17;;;
1;1_44071;28.08.2020;Prosimulium;;7;;;
1;1_44071;28.08.2020;Nemoura;;13;;;
1;1_44071;28.08.2020;Dicranota;;2;;;
1;1_44071;28.08.2020;Limnephilus coenosus;;3;;;
1;1_44071;28.08.2020;Oligochaeta: Enchytraeidae;;4;;;
1;1_44071;28.08.2020;Divers;;1;;;
1;1_44405;28.07.2021;Chironomidae;;10;;;
1;1_44405;28.07.2021;Prosimulium;;350;;;
1;1_44405;28.07.2021;Nemoura;;5;;;
1;1_44405;28.07.2021;Perlodes;;2;;;
1;1_44405;28.07.2021;Limnephilus coenosus;;3;;;
1;1_44405;28.07.2021;Crenobia alpina;;3;;;
1;1_44405;28.07.2021;Oligochaeta: Enchytraeidae;;4;;;
1;1_44771;29.07.2022;Chironomidae;;150;;;
1;1_44771;29.07.2022;Nemoura;;13;;;
1;1_44771;29.07.2022;Perlodes;;4;;;
1;1_44771;29.07.2022;Limnephilus coenosus;;12;;;
1;1_44771;29.07.2022;Divers;;2;;;
2;2_37140;06.09.2001;Chironomidae;;56;;;
2;2_37140;06.09.2001;Prosimulium;;122;;;
2;2_37140;06.09.2001;Nemoura;;3;;;
2;2_37140;06.09.2001;Perlodes;;3;;;
2;2_37140;06.09.2001;Dicranota;;7;;;
2;2_37140;06.09.2001;Rhypholophus;;1;;;
2;2_37140;06.09.2001;Acrophylax zerberus;;7;;;
2;2_37140;06.09.2001;Oligochaeta: Enchytraeidae;;1;;;
2;2_37454;17.07.2002;Chironomidae;;38;;;
2;2_37454;17.07.2002;Prosimulium;;187;;;
2;2_37454;17.07.2002;Perlodes;;1;;;
2;2_37454;17.07.2002;Dicranota;;4;;;
2;2_37454;17.07.2002;Rhypholophus;;2;;;
2;2_37454;17.07.2002;Pseudopsilopteryx zimmeri;;4;;;
2;2_37454;17.07.2002;Crenobia alpina;;3;;;
2;2_37481;13.08.2002;Chironomidae;;8;;;
2;2_37481;13.08.2002;Prosimulium;;120;;;
2;2_37481;13.08.2002;Nemoura;;1;;;
2;2_37481;13.08.2002;Perlodes;;2;;;
2;2_37481;13.08.2002;Baetis alpinus;;3;;;
2;2_37481;13.08.2002;Dicranota;;8;;;
2;2_37481;13.08.2002;Pseudopsilopteryx zimmeri;;5;;;
2;2_37481;13.08.2002;Crenobia alpina;;22;;;
2;2_37515;16.09.2002;Chironomidae;;19;;;
2;2_37515;16.09.2002;Nemoura;;1;;;
2;2_37515;16.09.2002;Rhithrogena loyolaea;;1;;;
2;2_37515;16.09.2002;Baetis alpinus;;1;;;
2;2_37515;16.09.2002;Dicranota;;10;;;
2;2_37515;16.09.2002;Pseudopsilopteryx zimmeri;;1;;;
2;2_37802;30.06.2003;Chironomidae;;60;;;
2;2_37802;30.06.2003;Prosimulium;;49;;;
2;2_37802;30.06.2003;Perlodes;;1;;;
