Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
6;Deva_principal_2023;10.08.2023;Agapetus fuscipes;4254;138;;;
3;Sella_principal_2019;16.08.2019;Agapetus fuscipes;4254;162;;;
5;Argoza_principal_2015;07.08.2015;Ancylus fluvitilis;4310;4;;;
5;Argoza_principal_2016;02.08.2016;Ancylus fluvitilis;4310;17;;;
5;Argoza_principal_2017;16.08.2017;Ancylus fluvitilis;4310;5;;;
5;Argoza_principal_2018;23.08.2018;Ancylus fluvitilis;4310;9;;;
5;Argoza_principal_2020;28.08.2020;Ancylus fluvitilis;4310;2;;;
5;Argoza_principal_2021;27.08.2021;Ancylus fluvitilis;4310;4;;;
5;Argoza_principal_2023;10.08.2023;Ancylus fluvitilis;4310;9;;;
5;Argoza_principal_2024;14.08.2024;Ancylus fluvitilis;4310;24;;;
2;Ason_principal_2015;12.08.2015;Ancylus fluvitilis;4310;19;;;
2;Ason_principal_2016;02.08.2016;Ancylus fluvitilis;4310;66;;;
2;Ason_principal_2017;16.08.2017;Ancylus fluvitilis;4310;29;;;
2;Ason_principal_2018;24.08.2018;Ancylus fluvitilis;4310;19;;;
2;Ason_principal_2019;21.08.2019;Ancylus fluvitilis;4310;28;;;
2;Ason_principal_2020;27.08.2020;Ancylus fluvitilis;4310;17;;;
2;Ason_principal_2021;31.08.2021;Ancylus fluvitilis;4310;64;;;
2;Ason_principal_2022;10.08.2022;Ancylus fluvitilis;4310;37;;;
2;Ason_principal_2023;14.08.2023;Ancylus fluvitilis;4310;12;;;
2;Ason_principal_2024;12.08.2024;Ancylus fluvitilis;4310;80;;;
6;Deva_principal_2015;06.08.2015;Ancylus fluvitilis;4310;21;;;
6;Deva_principal_2016;29.07.2016;Ancylus fluvitilis;4310;2;;;
6;Deva_principal_2017;14.08.2017;Ancylus fluvitilis;4310;7;;;
6;Deva_principal_2018;28.08.2018;Ancylus fluvitilis;4310;6;;;
6;Deva_principal_2019;12.08.2019;Ancylus fluvitilis;4310;21;;;
6;Deva_principal_2020;21.08.2020;Ancylus fluvitilis;4310;5;;;
6;Deva_principal_2021;23.08.2021;Ancylus fluvitilis;4310;28;;;
6;Deva_principal_2022;12.08.2022;Ancylus fluvitilis;4310;6;;;
6;Deva_principal_2023;10.08.2023;Ancylus fluvitilis;4310;48;;;
6;Deva_principal_2024;14.08.2024;Ancylus fluvitilis;4310;138;;;
1;Miera_principal_2015;28.08.2015;Ancylus fluvitilis;4310;44;;;
1;Miera_principal_2016;02.08.2016;Ancylus fluvitilis;4310;25;;;
1;Miera_principal_2017;16.08.2017;Ancylus fluvitilis;4310;108;;;
1;Miera_principal_2018;24.08.2018;Ancylus fluvitilis;4310;26;;;
1;Miera_principal_2019;21.08.2019;Ancylus fluvitilis;4310;158;;;
1;Miera_principal_2020;27.08.2020;Ancylus fluvitilis;4310;152;;;
1;Miera_principal_2021;31.08.2021;Ancylus fluvitilis;4310;48;;;
1;Miera_principal_2022;11.08.2022;Ancylus fluvitilis;4310;92;;;
1;Miera_principal_2023;10.08.2023;Ancylus fluvitilis;4310;204;;;
1;Miera_principal_2024;16.08.2024;Ancylus fluvitilis;4310;160;;;
4;Pas_principal_2015;12.08.2015;Ancylus fluvitilis;4310;11;;;
4;Pas_principal_2016;02.08.2016;Ancylus fluvitilis;4310;15;;;
4;Pas_principal_2017;16.08.2017;Ancylus fluvitilis;4310;38;;;
4;Pas_principal_2018;23.08.2018;Ancylus fluvitilis;4310;17;;;
4;Pas_principal_2019;19.08.2019;Ancylus fluvitilis;4310;21;;;
4;Pas_principal_2020;27.08.2020;Ancylus fluvitilis;4310;10;;;
4;Pas_principal_2021;31.08.2021;Ancylus fluvitilis;4310;40;;;
4;Pas_principal_2023;14.08.2023;Ancylus fluvitilis;4310;134;;;
4;Pas_principal_2024;12.08.2024;Ancylus fluvitilis;4310;38;;;
3;Sella_principal_2015;10.08.2015;Ancylus fluvitilis;4310;10;;;
3;Sella_principal_2016;03.08.2016;Ancylus fluvitilis;4310;57;;;
3;Sella_principal_2017;17.08.2017;Ancylus fluvitilis;4310;131;;;
3;Sella_principal_2019;16.08.2019;Ancylus fluvitilis;4310;37;;;
3;Sella_principal_2020;26.08.2020;Ancylus fluvitilis;4310;29;;;
3;Sella_principal_2021;27.08.2021;Ancylus fluvitilis;4310;44;;;
3;Sella_principal_2022;16.08.2022;Ancylus fluvitilis;4310;32;;;
3;Sella_principal_2023;15.08.2023;Ancylus fluvitilis;4310;48;;;
3;Sella_principal_2024;13.08.2024;Ancylus fluvitilis;4310;56;;;
6;Deva_principal_2023;10.08.2023;Anomalopterygella chauviniana;4327;2;;;
3;Sella_principal_2016;03.08.2016;Anomalopterygella chauviniana;4327;1;;;
3;Sella_principal_2023;15.08.2023;Anomalopterygella chauviniana;4327;8;;;
3;Sella_principal_2024;13.08.2024;Anomalopterygella chauviniana;4327;24;;;
5;Argoza_principal_2015;07.08.2015;Antocha;4330;21;;;
5;Argoza_principal_2017;16.08.2017;Antocha;4330;2;;;
5;Argoza_principal_2018;23.08.2018;Antocha;4330;8;;;
5;Argoza_principal_2019;19.08.2019;Antocha;4330;4;;;
5;Argoza_principal_2020;28.08.2020;Antocha;4330;2;;;
5;Argoza_principal_2021;27.08.2021;Antocha;4330;10;;;
5;Argoza_principal_2022;11.08.2022;Antocha;4330;8;;;
5;Argoza_principal_2023;10.08.2023;Antocha;4330;1;;;
5;Argoza_principal_2024;14.08.2024;Antocha;4330;1;;;
2;Ason_principal_2016;02.08.2016;Antocha;4330;1;;;
2;Ason_principal_2017;16.08.2017;Antocha;4330;1;;;
2;Ason_principal_2018;24.08.2018;Antocha;4330;4;;;
