"Site.ID";"Sample.ID";"Sampling.date";"Taxon.name";"Taxon.ID";"Abundance";"Definition.of.abundance.class";"Abundance.class";"Site_ID_Ellen"
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Ametropus sp.";14415;4;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Anabolia sp.";4301;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Aphelocheirus aestivalis";4335;3;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Asellus aquaticus";8691;22;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Baetis sp.";4419;33;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Brachycentrus subnubilus";4481;40;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Calopteryx splendens";4530;8;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Chironomidae Gen. sp.";4642;59;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Corophiidae Gen. sp.";9280;31;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Ephemera danica";5124;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Erpobdella octoculata";5159;25;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Gammarus pulex";5291;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Gammarus sp.";5293;65;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Gomphus sp.";5331;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Gomphus vulgatissimus";5332;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Gyrinus sp. Ad.";12412;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Heptagenia sp.";5456;10;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Heptagenia sulphurea";5457;19;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Hydropsyche contubernalis ssp.";5592;40;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Hydropsyche siltalai";5604;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Hydropsychidae Gen. sp.";8474;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Limnephilidae Gen. sp.";5809;3;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Limnius sp. Ad.";12093;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Lymnaea sp.";5919;5;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Nemoura sp.";6108;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Oligochaeta Gen. sp.";8736;17;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Onychogomphus forcipatus";6194;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Piscicola geometra";6408;1;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Platambus maculatus Ad.";11746;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Platycnemis pennipes";6438;8;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Potamanthus luteus";6510;5;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Simuliidae Gen. sp.";6842;11;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Sphaerium sp.";6886;2;NA;NA;NA
"LTR1";"LTR1_4.10.2010";"04.10.2010";"Tipula sp.";7077;4;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Aphelocheirus aestivalis";4335;9;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Asellus aquaticus";8691;169;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Baetis rhodani";4415;140;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Brachycentrus subnubilus";4481;72;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Calopteryx splendens";4530;36;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Calopteryx virgo";4532;153;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Chelicorophium curvispinum";22441;16;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Chironomidae Gen. sp.";4642;217;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Cordulia aenea";4741;49;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Dixa sp.";4989;88;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Erpobdella octoculata";5159;69;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Gammarus lacustris";5290;157;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Gomphus vulgatissimus";5332;56;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Halesus radiatus";5376;20;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Heptagenia sp.";5456;24;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Hydropsyche angustipennis ssp.";21230;84;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Hydropsyche contubernalis ssp.";5592;92;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Hydropsyche pellucidula";5601;132;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Hydropsyche siltalai";5604;76;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Hydropsyche sp.";5605;76;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Limnephilus fuscicornis";5828;44;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Limnius volckmari Ad.";12094;60;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Limnophora sp.";5872;64;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Lithoglyphus naticoides";5896;72;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Lumbriculus sp.";5906;24;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Lymnaea sp.";5919;76;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Nepa cinerea";6118;1;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Oligochaeta Gen. sp.";8736;32;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Oulimnius sp. Ad.";12104;32;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Platycnemis pennipes";6438;69;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Rhyacophila sp.";23044;36;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Sphaerium corneum";6882;208;NA;NA;NA
"LTR1";"LTR1_3.10.2011";"03.10.2011";"Tipula sp.";7077;85;NA;NA;NA
