Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Hirudinea;8719;8;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Micrasema setiferum;7192;208;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Hirudinea;8719;16;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Protonemura meyeri;6610;640;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Elmis aena;5087;59;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Helobdella stagnalis;5413;4;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Leuctra hippopus;5768;24;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Wormaldia;7168;8;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Lepidostoma hirtum;5723;8;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Ithytrichia lamellaris;5677;80;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Siphonoperla burmeisteri;11139;24;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Plectrocnemia conspersa;6444;2;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Leuctra hippopus;5768;64;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Gastropoda;9338;1520;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Trichoptera;8670;16;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Polycentropus flavomaculatus;6468;8;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Hydropsyche;5605;1376;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Coleoptera;10626;284;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Coleoptera;10626;276;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Isoperla;5673;24;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Hydropsyche siltalai;5604;1328;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Coleoptera;10626;208;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Planorbidae;8748;224;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Coleoptera;10626;256;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Simuliidae;6842;16;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Isoperla;5673;16;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Diptera;9353;96;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Ithytrichia lamellaris;5677;64;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Coleoptera Ad.;10625;8;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Athripsodes;4371;8;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Polycentropodidae;8478;8;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Sericostoma personatum;6817;4;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Chironomidae Pupae.;4642;64;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Heptagenia sulphurea;5457;16;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Coleoptera Ad.;10625;24;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Hydropsyche;5605;4224;;;
OPPEHUN7;OPPEHUN7_03.12.2006;03.12.2006;Lepidostoma hirtum;5723;12;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Trichoptera;8670;8;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Elmis aena;5087;112;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Coleoptera Ad.;10625;32;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Baetis;4419;232;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Hydropsyche siltalai;5604;1280;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Hydropsyche pellucidula;5601;64;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Elmis aena;5087;160;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Wormaldia;7168;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Ithytrichia lamellaris;5677;16;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Hydropsyche;5605;8574;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Isoperla;5673;16;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Amphinemura;4293;32;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Leuctra hippopus;5768;16;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Rhyacophila nubila;6772;240;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Ithytrichia lamellaris;5677;32;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Alainites muticus;4409;192;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Hydropsyche siltalai;5604;128;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Baetis;4419;112;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Micrasema setiferum;7192;2304;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Sericostoma personatum;6817;32;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Elmis aena;5087;576;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Limnius volckmari;12094;192;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Planorbidae;8748;1344;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Hydropsyche pellucidula;5601;384;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Isoperla;5673;80;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Radix labiata;16982;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Gastropoda;9338;592;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Heptagenia;5456;64;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Lepidostoma hirtum;5723;32;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Heptagenia sulphurea;5457;224;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Limnephilidae;5809;16;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Trichoptera;8670;16;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Serratella ignita;5131;224;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Planorbidae;8748;160;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Heptagenia sulphurea;5457;64;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Micrasema setiferum;7192;1472;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Hydropsyche pellucidula;5601;144;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Alainites muticus;4409;112;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Nigrobaetis niger;4410;48;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Baetis rhodani;4415;624;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Baetis rhodani;4415;896;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Elmis aena;5087;176;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Nigrobaetis digitatus;4394;128;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Leuctra digitata;5760;8;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Hydrachnidia Ad.;8825;12;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Chironomidae Pupae.;4642;16;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Coleoptera;10626;112;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Rhyacophila nubila;6772;240;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Erpobdella octoculata;5159;32;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Oligochaeta;8736;16;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Heptagenia;5456;4;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Ithytrichia lamellaris;5677;40;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Polycentropus flavomaculatus;6468;72;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Coleoptera Ad.;10625;8;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Simuliidae;6842;24;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Hydropsyche;5605;5872;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Hydropsyche pellucidula;5601;240;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Baetis;4419;816;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Baetis rhodani;4415;960;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Baetis;4419;160;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Polycentropus flavomaculatus;6468;128;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Planorbidae;8748;256;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Diptera;9353;16;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Planorbidae;8748;60;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Erpobdella octoculata;5159;4;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Leuctra;5790;8;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Nigrobaetis niger;4410;254;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Silo pallipes;6834;40;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Gastropoda;9338;256;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Hirudinea;8719;4;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Gastropoda;9338;60;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Sphaeriidae;8429;24;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Elmis aena;5087;448;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Hydropsyche siltalai;5604;512;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Alainites muticus;4409;496;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Chironomidae;4642;4896;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Chironomidae;4642;288;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Simuliidae;6842;8;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Coleoptera Ad.;10625;56;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Coleoptera;10626;272;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Simuliidae;6842;6;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Micrasema setiferum;7192;320;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Sphaeriidae;8429;960;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Sericostoma personatum;6817;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Chironomidae;4642;5888;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Chironomidae;4642;1088;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Chironomidae;4642;832;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Coleoptera Ad.;10625;24;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Heptagenia sulphurea;5457;128;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Hydropsyche;5605;4672;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Hydrachnidia Ad.;8825;16;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Rhyacophila nubila;6772;96;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Coleoptera Ad.;10625;24;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Protonemura meyeri;6610;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Protonemura meyeri;6610;8;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Protonemura meyeri;6610;48;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Protonemura meyeri;6610;8;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Radix labiata;16982;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Rhyacophila nubila;6772;64;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Radix labiata;16982;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Serratella ignita;5131;80;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Simuliidae;6842;48;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Rhyacophila nubila;6772;136;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Simuliidae;6842;16;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Sericostoma personatum;6817;8;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Sericostoma personatum;6817;16;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Sphaeriidae;8429;192;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Radix labiata;16982;48;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Amphinemura;4293;768;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Elmis aena;5087;256;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Trichoptera;8670;12;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Erpobdella octoculata;5159;16;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Heptagenia sulphurea;5457;96;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Elmis aena;5087;224;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Helobdella stagnalis;5413;8;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Sericostoma personatum;6817;80;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Gastropoda;9338;240;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Protonemura meyeri;6610;320;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Leuctra hippopus;5768;80;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Rhyacophila nubila;6772;576;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Ithytrichia lamellaris;5677;192;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Polycentropus flavomaculatus;6468;64;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Polycentropodidae;8478;16;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Gastropoda;9338;320;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Elmis aena;5087;256;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Simuliidae;6842;32;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Oligochaeta;8736;8;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Chironomidae;4642;864;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Micrasema setiferum;7192;256;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Chironomidae;4642;1064;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Athripsodes;4371;8;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Limnephilidae;5809;2;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Sericostoma personatum;6817;8;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Micrasema setiferum;7192;68;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Rhyacophila nubila;6772;80;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Protonemura meyeri;6610;64;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Hydropsyche siltalai;5604;320;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Hydropsyche pellucidula;5601;20;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Hydropsyche;5605;504;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Rhyacophila nubila;6772;96;;;
OPPEHUN7;OPPEHUN7_29.10.2002;29.10.2002;Lepidostoma hirtum;5723;16;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Coleoptera Ad.;10625;64;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Alainites muticus;4409;20;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Micrasema setiferum;7192;224;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Serratella ignita;5131;3;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Polycentropodidae;8478;12;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Heptagenia sulphurea;5457;8;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Sphaeriidae;8429;32;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Diptera;9353;8;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Chironomidae Pupae.;4642;96;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Leptoceridae;5726;3;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Oligochaeta;8736;6;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Baetis rhodani;4415;240;;;
OPPEHUN7;OPPEHUN7_01.11.2001;01.11.2001;Nigrobaetis digitatus;4394;14;;;
OPPEHUN7;OPPEHUN7_17.11.2003;17.11.2003;Gastropoda;9338;176;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Radix labiata;16982;2;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Coleoptera;10626;768;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Hydrachnidia Ad.;8825;256;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Sphaeriidae;8429;2240;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Gastropoda;9338;1344;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Hydrachnidia Ad.;8825;8;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Hirudinea;8719;32;;;
OPPEHUN7;OPPEHUN7_02.08.2003;02.08.2003;Chironomidae;4642;4800;;;
OPPEHUN7;OPPEHUN7_06.08.2002;06.08.2002;Diptera;9353;64;;;
OPPEHUN7;OPPEHUN7_12.10.2004;12.10.2004;Polycentropus flavomaculatus;6468;64;;;
OPPEHUN7;OPPEHUN7_03.08.2005;03.08.2005;Polycentropus flavomaculatus;6468;24;;;
OPPEHUN7;OPPEHUN7_21.10.2005;21.10.2005;Polycentropus flavomaculatus;6468;16;;;
OPPEHUN7;OPPEHUN7_03.08.2004;03.08.2004;Baetis rhodani;4415;672;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Nigrobaetis niger;4410;28;;;
OPPEHUN7;OPPEHUN7_22.08.2001;22.08.2001;Trichoptera;8670;24;;;
