Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
Halbeath;Halbeath_04101999;04.10.1999;Agabus nebulosus Ad.;11654;1;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Arctocorisa germari;11190;4;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Chaoborus crystallinus;4632;99;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Chironomidae;NA;62;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Cloeon dipterum;4705;26;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Hygrotus confluens Ad.;11960;12;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Coleoptera larvae;NA;5;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Haliplus lineatocollis Ad.;12442;1;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Hydroporus palustris Ad.;11937;1;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Ischnura elegans;5658;3;0-4;1;
Halbeath;Halbeath_04101999;04.10.1999;Radix balthica;16959;245;0-4;3;
Halbeath;Halbeath_04101999;04.10.1999;Lymnaea stagnalis;5916;41;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Paracorixa concinna concinna;8209;11;0-4;2;
Halbeath;Halbeath_04101999;04.10.1999;Sigara lateralis;6826;6;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Agabus nebulosus Ad.;11654;5;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Chaoborus crystallinus;4632;53;0-4;2;
Halbeath;Halbeath_02102000;02.10.2000;Chironomidae;NA;28;0-4;2;
Halbeath;Halbeath_02102000;02.10.2000;Cloeon dipterum;4705;109;0-4;3;
Halbeath;Halbeath_02102000;02.10.2000;Coleoptera larvae;NA;6;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Holocentropus picicornis;5488;2;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Ischnura elegans;5658;41;0-4;2;
Halbeath;Halbeath_02102000;02.10.2000;Radix balthica;16959;44;0-4;2;
Halbeath;Halbeath_02102000;02.10.2000;Lymnaea stagnalis;5916;140;0-4;3;
Halbeath;Halbeath_02102000;02.10.2000;Notonecta maculata;6138;1;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Oligochaetae;NA;1;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Phryganea bipunctata;6391;2;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Gyraulus albus;5354;4;0-4;1;
Halbeath;Halbeath_02102000;02.10.2000;Pyrrhosoma nymphula;6667;2;0-4;1;
