Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
44436;44436_18.09.1995;18.09.1995;Ancylus group;;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Oligochaeta Gen. sp.;8736;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Erpobdellidae Gen. sp.;5162;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Hydracarina Gen. sp.;;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Baetidae Gen. sp.;4380;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Heptageniidae Gen. sp.;5458;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Ephemerellidae Gen. sp.;8408;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Nemouridae Gen. sp.;8422;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Leuctridae Gen. sp.;8437;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Perlodidae Gen. sp.;8432;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Gerridae Gen. sp.;8654;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Dytiscidae Gen. sp.;17756;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Gyrinidae Gen. sp.;17861;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Hydrophilidae Gen. sp.;18186;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Elmidae Gen. sp.;17767;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Rhyacophilidae Gen. sp.;6788;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Hydropsychidae Gen. sp.;8474;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Lepidostomatidae Gen. sp.;5725;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Limnephilidae Gen. sp.;5809;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Sericostomatidae Gen. sp.;9311;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Leptoceridae Gen. sp.;5726;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Tipulidae Gen. sp.;8487;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Simuliidae Gen. sp.;6842;3;;;109000001
44436;44436_18.09.1995;18.09.1995;Chironomidae Gen. sp.;4642;33;;;109000001
44436;44436_18.09.1995;18.09.1995;Empididae Gen. sp.;5097;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Planariidae Gen. sp.;9370;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Ancylus group;;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Oligochaeta Gen. sp.;8736;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Taeniopterygidae Gen. sp.;6964;33;;;109000001
44436;44436_13.04.1995;13.04.1995;Nemouridae Gen. sp.;8422;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Leuctridae Gen. sp.;8437;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Perlodidae Gen. sp.;8432;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Chloroperlidae Gen. sp.;4674;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Hydrophilidae Gen. sp.;18186;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Elmidae Gen. sp.;17767;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Rhyacophilidae Gen. sp.;6788;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Hydropsychidae Gen. sp.;8474;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Lepidostomatidae Gen. sp.;5725;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Sericostomatidae Gen. sp.;9311;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Leptoceridae Gen. sp.;5726;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Tipulidae Gen. sp.;8487;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Simuliidae Gen. sp.;6842;33;;;109000001
44436;44436_13.04.1995;13.04.1995;Chironomidae Gen. sp.;4642;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Rhagionidae Gen. sp.;9321;3;;;109000001
44436;44436_13.04.1995;13.04.1995;Empididae Gen. sp.;5097;3;;;109000001
44436;44436_16.05.2000;16.05.2000;Planariidae Gen. sp.;9370;1;;;109000001
44436;44436_16.05.2000;16.05.2000;Ancylus group;;1;;;109000001
44436;44436_16.05.2000;16.05.2000;Erpobdellidae Gen. sp.;5162;1;;;109000001
44436;44436_16.05.2000;16.05.2000;Nemouridae Gen. sp.;8422;8;;;109000001
44436;44436_16.05.2000;16.05.2000;Perlodidae Gen. sp.;8432;7;;;109000001
44436;44436_16.05.2000;16.05.2000;Chloroperlidae Gen. sp.;4674;6;;;109000001
44436;44436_16.05.2000;16.05.2000;Hydrophilidae Gen. sp.;18186;8;;;109000001
44436;44436_16.05.2000;16.05.2000;Elmidae Gen. sp.;17767;2;;;109000001
44436;44436_16.05.2000;16.05.2000;Rhyacophilidae Gen. sp.;6788;1;;;109000001
44436;44436_16.05.2000;16.05.2000;Polycentropodidae Gen. sp.;8478;1;;;109000001
44436;44436_16.05.2000;16.05.2000;Limnephilidae Gen. sp.;5809;4;;;109000001
44436;44436_16.05.2000;16.05.2000;Goeridae Gen. sp.;9981;2;;;109000001
44436;44436_16.05.2000;16.05.2000;Sericostomatidae Gen. sp.;9311;6;;;109000001
44436;44436_16.05.2000;16.05.2000;Chironomidae Gen. sp.;4642;8;;;109000001
44436;44436_20.09.2000;20.09.2000;Ancylus group;;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Sphaeriidae Gen. sp.;8429;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Hydrophilidae Gen. sp.;18186;6;;;109000001
44436;44436_20.09.2000;20.09.2000;Elmidae Gen. sp.;17767;8;;;109000001
44436;44436_20.09.2000;20.09.2000;Philopotamidae Gen. sp.;6385;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Hydropsychidae Gen. sp.;8474;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Goeridae Gen. sp.;9981;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Sericostomatidae Gen. sp.;9311;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Odontoceridae Gen. sp.;8444;3;;;109000001
44436;44436_20.09.2000;20.09.2000;Leptoceridae Gen. sp.;5726;1;;;109000001
44436;44436_20.09.2000;20.09.2000;Rhagionidae Gen. sp.;9321;4;;;109000001
44436;44436_20.09.2000;20.09.2000;Empididae Gen. sp.;5097;6;;;109000001
44436;44436_28.07.2000;28.07.2000;Erpobdellidae Gen. sp.;5162;3;;;109000001
44436;44436_28.07.2000;28.07.2000;Heptageniidae Gen. sp.;5458;1;;;109000001
44436;44436_28.07.2000;28.07.2000;Chloroperlidae Gen. sp.;4674;3;;;109000001
44436;44436_28.07.2000;28.07.2000;Rhyacophilidae Gen. sp.;6788;7;;;109000001
44436;44436_28.07.2000;28.07.2000;Philopotamidae Gen. sp.;6385;1;;;109000001
44436;44436_28.07.2000;28.07.2000;Lepidostomatidae Gen. sp.;5725;2;;;109000001
44436;44436_28.07.2000;28.07.2000;Limnephilidae Gen. sp.;5809;2;;;109000001
44436;44436_28.07.2000;28.07.2000;Odontoceridae Gen. sp.;8444;1;;;109000001
44436;44436_28.07.2000;28.07.2000;Rhagionidae Gen. sp.;9321;1;;;109000001
44436;44436_28.07.2000;28.07.2000;Empididae Gen. sp.;5097;1;;;109000001
44436;44436_17.09.2001;17.09.2001;Phagocata vitta;13665;2;;;109000001
44436;44436_17.09.2001;17.09.2001;Ancylus fluviatilis;4310;1;;;109000001
