"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"1","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",892.276078485303,"within_100m_to_1000m","BEL_005_MZB_LO_12__BEL_005_MZB_LO_15","i","merge of Ellen's data and second data call","BEVL_VMM_122050","BEL_005_MZB_LO_12","MAAS I+II+III",51.1292048,5.8238817,1989,2013,25,19
"2","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",892.276078485303,"within_100m_to_1000m","BEL_005_MZB_LO_12__BEL_005_MZB_LO_15","j","merge of Ellen's data and second data call","BEVL_VMM_125000","BEL_005_MZB_LO_15","ABEEK",51.125738,5.811887,1989,2023,35,21
"3","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",877.189589415486,"within_100m_to_1000m","BEL_005_MZB_LO_13__BEL_005_MZB_LO_22","i","merge of Ellen's data and second data call","BEVL_VMM_122100","BEL_005_MZB_LO_13","MAAS I+II+III",51.0945091,5.8027274,1995,2010,16,11
"4","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",877.189589415486,"within_100m_to_1000m","BEL_005_MZB_LO_13__BEL_005_MZB_LO_22","j","merge of Ellen's data and second data call","BEVL_VMM_134000","BEL_005_MZB_LO_22","BOSBEEK",51.10264,5.8039194,1989,2009,21,15
"5","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",273.751703724779,"within_100m_to_1000m","BEL_005_MZB_LO_21__BEL_005_MZB_LO_22","i","merge of Ellen's data and second data call","BEVL_VMM_133900","BEL_005_MZB_LO_21","BOSBEEK",51.1036103,5.807662,1991,2009,19,16
"6","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",273.751703724779,"within_100m_to_1000m","BEL_005_MZB_LO_21__BEL_005_MZB_LO_22","j","merge of Ellen's data and second data call","BEVL_VMM_134000","BEL_005_MZB_LO_22","BOSBEEK",51.10264,5.8039194,1989,2009,21,15
"7","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",968.683316234101,"within_100m_to_1000m","BEL_005_MZB_LO_71__BEL_005_MZB_LO_72","i","merge of Ellen's data and second data call","BEVL_VMM_277000","BEL_005_MZB_LO_71","KLEINE NETE L1",51.2396181,5.069241,1989,2022,34,20
"8","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",968.683316234101,"within_100m_to_1000m","BEL_005_MZB_LO_71__BEL_005_MZB_LO_72","j","merge of Ellen's data and second data call","BEVL_VMM_277500","BEL_005_MZB_LO_72","KLEINE NETE L1",51.2368038,5.0828874,1994,2017,24,12
"9","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",698.545983613895,"within_100m_to_1000m","BEL_005_MZB_LO_74__BEL_005_MZB_LO_79","i","merge of Ellen's data and second data call","BEVL_VMM_278990","BEL_005_MZB_LO_74","MOLENBEEK - BOLLAAK",51.1712784,4.6298545,2001,2020,20,10
"10","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",698.545983613895,"within_100m_to_1000m","BEL_005_MZB_LO_74__BEL_005_MZB_LO_79","j","merge of Ellen's data and second data call","BEVL_VMM_282000","BEL_005_MZB_LO_79","KLEINE BEEK (ZANDHOVEN)",51.1762521,4.6365175,1990,2022,33,14
