country,study_id,site_id,year,code,season,sample_id,site_id_wMissing,day,month,year_wMissing,Date,day_of_year,code_wMissing,country_wMissing,sampling_method_long,unit,TaxonomicRes,spp_richness,spp_rich_rare,shannonsH,E10,abundance,turnover,F_to,FRic,FEve,FDiv,FDis,RaoQ,FRed,alien_SppRich,alien_Abund,abundProportion_alienSpp,SppRichProportion_alienSpp,abund_nativeSpp,SppRich_nativeSpp,EPT_SppRich,EPT_Abund,insect_SppRich,insect_Abund,ppt_mm_12moPrior,tmax_C_12moPrior,crop_perc_upstr,urban_perc_upstr
France,France_1,100000001,1980,100000001_1980,summer,100000001_28.6.1980,100000001,28,6,1980,28.06.1980,180,100000001_1980,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,18,10.33540162,0.152048464,0.008447137,20478,NA,NA,102.6814031,0.449555622,0.994231423,0.415707791,2.272064475,0.248654643,1,2,9.77E-05,0.055555556,20476,17,11,226,15,316,1006,15.55,NA,NA
France,France_1,100000001,1981,100000001_1981,summer,100000001_23.6.1981,100000001,23,6,1981,23.06.1981,174,100000001_1981,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,19,15.57810889,0.753084129,0.039636007,6235,0.576923077,0.125,343.1938059,0.476713458,0.826150925,3.080631733,17.06603202,0.235665112,0,0,0,0,6235,19,10,272,15,930,1050,15.1,NA,NA
France,France_1,100000001,1982,100000001_1982,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,16.05,NA,NA
France,France_1,100000001,1983,100000001_1983,summer,100000001_25.7.1983,100000001,25,7,1983,25.07.1983,206,100000001_1983,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,26,12.15386631,0.308029148,0.011847275,21941,0.548387097,0.09375,969.5837436,0.590211212,0.712010714,1.118797366,5.85620368,0.270668592,0,0,0,0,21941,26,10,1116,19,1356,1501,16.04166667,NA,NA
France,France_1,100000001,1984,100000001_1984,summer,100000001_9.5.1984,100000001,9,5,1984,09.05.1984,130,100000001_1984,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,19,12.73107637,1.024469473,0.053919446,9235,0.636363636,0.151515152,267.4507886,0.415177972,0.516991643,4.966498661,26.47049315,0.264027306,1,3,0.000324851,0.052631579,9232,18,7,247,12,910,859,16.01666667,NA,NA
France,France_1,100000001,1985,100000001_1985,summer,100000001_2.7.1985,100000001,2,7,1985,02.07.1985,183,100000001_1985,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,18,9.837264273,0.090267663,0.00501487,28878,0.678571429,0.15625,490.306263,0.432811948,0.669427108,0.21448065,1.166838519,0.252169004,0,0,0,0,28878,18,9,193,14,249,1040,15.18333333,NA,NA
France,France_1,100000001,1986,100000001_1986,summer,100000001_19.6.1986,100000001,19,6,1986,19.06.1986,170,100000001_1986,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,20,11.39376692,0.447143177,0.022357159,14739,0.48,0.032258065,272.0476216,0.551255638,0.837284999,1.70939854,9.273521397,0.23940882,0,0,0,0,14739,20,9,164,18,808,897,15.39166667,NA,NA
France,France_1,100000001,1987,100000001_1987,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,15.49166667,NA,NA
France,France_1,100000001,1988,100000001_1988,summer,100000001_11.7.1988,100000001,11,7,1988,11.07.1988,193,100000001_1988,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,24,12.55368428,0.537659475,0.022402478,13309,0.580645161,0.090909091,778.9230674,0.611272964,0.545125214,2.211317043,12.04329925,0.230672402,1,1,7.51E-05,0.041666667,13308,23,8,170,14,1196,1319,16.28333333,NA,NA
France,France_1,100000001,1989,100000001_1989,summer,100000001_11.5.1989,100000001,11,5,1989,11.05.1989,131,100000001_1989,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,15,13.29067378,0.652132193,0.04347548,4360,0.555555556,0.03125,129.4986679,0.548014575,0.679303831,2.648310056,14.49778256,0.24895119,0,0,0,0,4360,15,6,98,9,346,963,16.54166667,NA,NA
France,France_1,100000001,1990,100000001_1990,summer,100000001_25.6.1990,100000001,25,6,1990,25.06.1990,176,100000001_1990,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,18,9.984030586,0.18261905,0.010145503,19666,0.5,0.15625,270.4013759,0.522498229,0.628167983,0.547928395,2.900056636,0.260353729,0,0,0,0,19666,18,7,384,11,528,760,17.35833333,NA,NA
France,France_1,100000001,1991,100000001_1991,summer,100000001_9.7.1991,100000001,9,7,1991,09.07.1991,190,100000001_1991,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,31,15.97714665,0.244882785,0.007899445,14709,0.743589744,0.151515152,1435.533737,0.575510245,0.50577611,0.714077807,3.835251064,0.242329972,2,10,0.000679856,0.064516129,14699,29,9,161,20,545,906,15.93333333,NA,NA
France,France_1,100000001,1992,100000001_1992,summer,100000001_16.7.1992,100000001,16,7,1992,16.07.1992,198,100000001_1992,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,27,13.74668935,0.102601199,0.003800044,16756,0.585365854,0.117647059,595.4620549,0.609653114,0.433845908,0.234053907,1.296007114,0.270123795,3,6,0.000358081,0.111111111,16750,24,8,142,14,197,894,16.34166667,0.2548483,0.0180937
France,France_1,100000001,1993,100000001_1993,summer,100000001_22.7.1993,100000001,22,7,1993,22.07.1993,203,100000001_1993,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,36,17.43705949,0.174069179,0.004835255,17305,0.534883721,0.088235294,1566.441759,0.59077848,0.460095829,0.445457006,2.469228644,0.264152952,3,5,0.000288934,0.083333333,17300,33,9,222,20,288,1002,16.1,0.2545734,0.0184712
France,France_1,100000001,1994,100000001_1994,summer,100000001_20.7.1994,100000001,20,7,1994,20.07.1994,201,100000001_1994,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,25,15.14578706,0.301369487,0.012054779,19467,0.475,0.058823529,513.2285807,0.417676007,0.441763963,1.02530819,5.541042698,0.268874922,3,50,0.002568449,0.12,19417,22,6,95,13,266,1353,15.825,0.2542431,0.0189346
France,France_1,100000001,1995,100000001_1995,summer,100000001_12.7.1995,100000001,12,7,1995,12.07.1995,193,100000001_1995,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,41,15.47761427,0.193654266,0.004723275,23053,0.5,0.058823529,2279.967707,0.566639508,0.404329304,0.56140043,3.216663075,0.288233928,4,72,0.003123238,0.097560976,22981,37,11,124,25,185,1183,16.89166667,0.2562764,0.0194063
France,France_1,100000001,1996,100000001_1996,summer,100000001_17.7.1996,100000001,17,7,1996,17.07.1996,199,100000001_1996,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,30,16.34822094,0.225238863,0.007507962,20952,0.607843137,0,1207.795562,0.50309392,0.489884772,0.598943276,3.947275554,0.313787021,3,228,0.010882016,0.1,20724,27,7,39,16,129,844,16.00833333,0.256244,0.0199762
France,France_1,100000001,1997,100000001_1997,summer,100000001_23.5.1997,100000001,23,5,1997,23.05.1997,143,100000001_1997,France,multiplate_artificial_substratum,Ind/0.12 m^2,genus,22,22,0.96377442,0.043807928,3056,0.555555556,0.117647059,196.7985938,0.38371596,0.676434079,3.367395637,19.27559611,0.263363212,2,54,0.017670157,0.090909091,3002,20,7,57,13,478,933,16.25833333,0.2560639,0.0204392
France,France_1,100000001,1998,100000001_1998,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946,16.925,0.257945,0.0210657
