"Site.ID";"Sample.ID";"Sampling.date";"Taxon.name";"Taxon.ID";"Abundance";"Definition.of.abundance.class";"Abundance.class";"Site_ID_Ellen"
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Ancylus sp.";NA;"29,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Anthomyiidae Gen. sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Aquarius najas";8184;"41";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Atherix sp.";NA;"140,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Atrichops sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Baetis sp.";NA;"515";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Boyeria irene";7429;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Bythinella sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Caenis sp.";NA;"281";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Calopteryx virgo";4532;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Ceraclea sp.";NA;"281";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Chironomini Gen. sp.";NA;"655,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Clinocerinae Gen. sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Corynoneura sp.";NA;"93,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Dugesia polychroa";5020;"88";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Ecdyonurus sp.";NA;"175,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Echinogammarus sp.";NA;"257,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Elmis sp.";NA;"843";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Epeorus sylvicola";5120;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Ephemera sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Esolus sp.";NA;"421,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Habroleptoides sp.";NA;"93,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Haliplus sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Hydrachna sp.";NA;"843";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"HYDROPSYCHIDAE";NA;"58,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Hydroptila sp.";NA;"29,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Lepidostoma hirtum";5723;"374,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Leuctra geniculata";5237;"70";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Leuctra sp.";NA;"655,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Limnius sp.";NA;"328";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Lymnaea peregra";NA;"11,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Micrasema longulum";5983;"70";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Mystacides sp.";NA;"64,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Oligochaeta";NA;"164";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Onychogomphus uncatus";7435;"11,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Orectochilus sp.";NA;"29,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Orthocladiinae Gen. sp.";NA;"47";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Oulimnius sp.";NA;"117";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Pisidium sp.";NA;"64,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Polycentropus flavomaculatus";NA;"257,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Potamopyrgus sp.";NA;"5057,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"PSYCHODIDAE";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"PSYCHOMYIIDAE";NA;"17,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Rhyacophila relicta";19068;"11,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Sericostoma sp.";NA;"6";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Simuliidae Gen. sp.";NA;"93,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Stenelmis sp.";NA;"11,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Tanypodinae Gen. sp.";NA;"23,5";NA;NA;NA
"AGU126";"AGU126_30.09.2003";"30.09.2003";"Tanytarsini Gen. sp.";NA;"140,5";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Ancylus sp.";NA;"702,5";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Aquarius najas";8184;"5";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Atherix sp.";NA;"10";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Atrichops sp.";NA;"19,5";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Baetis sp.";NA;"9834";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Boyeria irene";7429;"10";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Caenis sp.";NA;"3278";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Calopteryx virgo";4532;"7,5";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Ceratopogonidae Vermiforme-Gr.";NA;"39";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Dasyhelea sp.";NA;"10";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Dugesia polychroa";5020;"78";NA;NA;NA
"AGU126";"AGU126_18.05.2004";"18.05.2004";"Dupophilus brevis";NA;"39";NA;NA;NA
