Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
1;1 Endla 2005;20.05.2005;Chironomidae;;22;;;
1;1 Endla 2006;17.05.2006;Chironomidae;;33;;;
1;1 Endla 2011;20.05.2011;Chironomidae;;155;;;
1;1 Endla 2013;22.05.2013;Chironomidae;;127;;;
1;1 Endla 2015;12.05.2015;Chironomidae;;42;;;
1;1 Endla 2016;05.05.2016;Chironomidae;;27;;;
1;1 Endla 2018;15.05.2018;Chironomidae;;116;;;
1;1 Endla 2019;14.05.2019;Chironomidae;;137;;;
1;1 Endla 2020;13.05.2020;Chironomidae;;33;;;
2;2 Kooru 2002;28.05.2002;Chironomidae;;18;;;
2;2 Kooru 2010;24.05.2010;Chironomidae;;3;;;
2;2 Kooru 2011;21.05.2011;Chironomidae;;17;;;
2;2 Kooru 2012;22.05.2012;Chironomidae;;16;;;
2;2 Kooru 2013;27.05.2013;Chironomidae;;16;;;
2;2 Kooru 2014;22.05.2014;Chironomidae;;21;;;
2;2 Kooru 2015;18.05.2015;Chironomidae;;248;;;
2;2 Kooru 2016;18.05.2016;Chironomidae;;12;;;
2;2 Kooru 2018;09.05.2018;Chironomidae;;668;;;
2;2 Kooru 2019;06.05.2019;Chironomidae;;23;;;
2;2 Kooru 2021;19.05.2021;Chironomidae;;11;;;
3;3 Kurtna Valgejärv 2001;30.05.2001;Chironomidae;;88;;;
3;3 Kurtna Valgejärv 2006;22.05.2006;Chironomidae;;233;;;
3;3 Kurtna Valgejärv 2010;12.05.2010;Chironomidae;;4;;;
3;3 Kurtna Valgejärv 2013;14.05.2013;Chironomidae;;133;;;
3;3 Kurtna Valgejärv 2019;14.05.2019;Chironomidae;;361;;;
4;4 Loosalu 2004;19.05.2004;Chironomidae;;54;;;
4;4 Loosalu 2010;19.05.2010;Chironomidae;;1;;;
4;4 Loosalu 2013;21.05.2013;Chironomidae;;44;;;
4;4 Loosalu 2017;17.05.2017;Chironomidae;;83;;;
4;4 Loosalu 2018;17.05.2018;Chironomidae;;218;;;
5;5 Maardu 2008;19.05.2008;Chironomidae;;53;;;
5;5 Maardu 2012;25.05.2012;Chironomidae;;18;;;
5;5 Maardu 2014;17.05.2015;Chironomidae;;7;;;
5;5 Maardu 2019;15.05.2019;Chironomidae;;67;;;
5;5 Maardu 2021;10.05.2021;Chironomidae;;11;;;
6;6 Nohipalo Mustjärv 2000;02.05.2000;Chironomidae;;18;;;
6;6 Nohipalo Mustjärv 2005;02.05.2005;Chironomidae;;14;;;
6;6 Nohipalo Mustjärv 2010;06.05.2010;Chironomidae;;127;;;
6;6 Nohipalo Mustjärv 2012;05.05.2012;Chironomidae;;107;;;
6;6 Nohipalo Mustjärv 2013;08.05.2013;Chironomidae;;45;;;
6;6 Nohipalo Mustjärv 2014;23.04.2014;Chironomidae;;96;;;
6;7 Nohipalo Mustjärv 2015;04.05.2015;Chironomidae;;40;;;
6;7 Nohipalo Mustjärv 2016;03.05.2016;Chironomidae;;315;;;
6;8 Nohipalo Mustjärv 2017;03.05.2017;Chironomidae;;219;;;
6;8 Nohipalo Mustjärv 2018;25.04.2018;Chironomidae;;87;;;
6;9 Nohipalo Mustjärv 2019;01.05.2019;Chironomidae;;331;;;
6;9 Nohipalo Mustjärv 2020;03.05.2020;Chironomidae;;65;;;
6;10 Nohipalo Mustjärv 2021;27.04.2021;Chironomidae;;112;;;
7;7 Nohipalo Valgõjärv 2000;02.05.2000;Chironomidae;;276;;;
7;7 Nohipalo Valgõjärv 2005;09.05.2005;Chironomidae;;6;;;
7;7 Nohipalo Valgõjärv 2006;02.05.2006;Chironomidae;;60;;;
7;7 Nohipalo Valgõjärv 2010;06.05.2010;Chironomidae;;41;;;
7;7 Nohipalo Valgõjärv 2012;05.05.2012;Chironomidae;;183;;;
7;7 Nohipalo Valgõjärv 2013;08.05.2013;Chironomidae;;16;;;
7;7 Nohipalo Valgõjärv 2014;23.04.2014;Chironomidae;;72;;;
7;7 Nohipalo Valgõjärv 2015;04.05.2015;Chironomidae;;53;;;
7;7 Nohipalo Valgõjärv 2016;03.05.2016;Chironomidae;;115;;;
7;7 Nohipalo Valgõjärv 2017;03.05.2017;Chironomidae;;45;;;
7;7 Nohipalo Valgõjärv 2018;25.04.2018;Chironomidae;;167;;;
7;7 Nohipalo Valgõjärv 2019;01.05.2019;Chironomidae;;110;;;
7;7 Nohipalo Valgõjärv 2020;03.05.2020;Chironomidae;;68;;;
7;7 Nohipalo Valgõjärv 2021;27.04.2021;Chironomidae;;42;;;
8;8 Peipsi 2004;07.10.2004;Chironomidae;;27;;;
8;8 Peipsi 2005;05.10.2005;Chironomidae;;57;;;
8;8 Peipsi 2016;24.09.2016;Chironomidae;;104;;;
8;8 Peipsi 2017;17.10.2017;Chironomidae;;5;;;
8;8 Peipsi 2018;30.09.2018;Chironomidae;;128;;;
8;8 Peipsi 2019;27.09.2019;Chironomidae;;11;;;
8;8 Peipsi 2020;24.09.2020;Chironomidae;;56;;;
8;8 Peipsi 2021;27.09.2021;Chironomidae;;151;;;
9;9 Peipsi 2004;07.10.2004;Chironomidae;;168;;;
9;9 Peipsi 2016;24.09.2016;Chironomidae;;199;;;
9;9 Peipsi 2018;30.09.2018;Chironomidae;;196;;;
9;9 Peipsi 2019;27.09.2019;Chironomidae;;1;;;
9;9 Peipsi 2020;24.09.2020;Chironomidae;;20;;;
9;9 Peipsi 2021;27.09.2021;Chironomidae;;9;;;
10;10 Pühajärv 2009;02.05.2009;Chironomidae;;18;;;
10;10 Pühajärv 2012;10.05.2012;Chironomidae;;43;;;
10;10 Pühajärv 2013;07.05.2013;Chironomidae;;17;;;
10;10 Pühajärv 2014;23.04.2014;Chironomidae;;109;;;
