Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
1;1 Separa 2011;10.09.2011;Chironomidae;4642;35;;;101000001
1;1 Separa 2012;16.05.2012;Chironomidae;4642;42;;;101000001
1;1 Separa 2013;14.05.2013;Chironomidae;4642;32;;;101000001
1;1 Separa 2014;05.05.2014;Chironomidae;4642;276;;;101000001
1;1 Separa 2015;06.05.2015;Chironomidae;4642;29;;;101000001
1;1 Separa 2016;17.05.2016;Chironomidae;4642;7;;;101000001
1;1 Separa 2017;17.05.2017;Chironomidae;4642;134;;;101000001
1;1 Separa 2018;02.05.2018;Chironomidae;4642;6;;;101000001
1;1 Separa 2019;14.05.2019;Chironomidae;4642;209;;;101000001
2;2 Sae 2012;16.05.2012;Chironomidae;4642;7;;;101000002
2;2 Sae 2013;15.05.2013;Chironomidae;4642;15;;;101000002
2;2 Sae 2014;27.04.2014;Chironomidae;4642;34;;;101000002
2;2 Sae 2015;07.05.2015;Chironomidae;4642;82;;;101000002
2;2 Sae 2016;17.05.2016;Chironomidae;4642;10;;;101000002
2;2 Sae 2017;17.05.2017;Chironomidae;4642;295;;;101000002
2;2 Sae 2018;15.05.2018;Chironomidae;4642;160;;;101000002
2;2 Sae 2019;15.05.2019;Chironomidae;4642;107;;;101000002
3;3 Pajusi 2011;07.05.2011;Chironomidae;4642;64;;;101000003
3;3 Pajusi 2013;22.05.2013;Chironomidae;4642;38;;;101000003
3;3 Pajusi 2014;02.05.2014;Chironomidae;4642;651;;;101000003
3;3 Pajusi 2015;12.05.2015;Chironomidae;4642;99;;;101000003
3;3 Pajusi 2016;04.05.2016;Chironomidae;4642;20;;;101000003
3;3 Pajusi 2017;11.05.2017;Chironomidae;4642;458;;;101000003
3;3 Pajusi 2018;17.05.2018;Chironomidae;4642;14;;;101000003
3;3 Pajusi 2019;14.05.2019;Chironomidae;4642;242;;;101000003
4;4 Laadi 2012;15.05.2012;Chironomidae;4642;88;;;101000004
4;4 Laadi 2013;09.05.2013;Chironomidae;4642;2;;;101000004
4;4 Laadi 2014;24.05.2014;Chironomidae;4642;136;;;101000004
4;4 Laadi 2015;18.05.2015;Chironomidae;4642;140;;;101000004
4;4 Laadi 2016;18.05.2016;Chironomidae;4642;55;;;101000004
4;4 Laadi 2017;19.05.2017;Chironomidae;4642;38;;;101000004
4;4 Laadi 2018;08.05.2018;Chironomidae;4642;36;;;101000004
4;4 Laadi 2019;02.05.2019;Chironomidae;4642;160;;;101000004
5;5 downstream 2012;19.05.2012;Chironomidae;4642;14;;;101000005
