Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
S179;S179_21.10.2009;21.10.2009;Chironomidae Gen. sp.;4642;33;;;
S179;S179_21.10.2009;21.10.2009;Hydroptila sp.;5616;1;;;
S179;S179_21.10.2009;21.10.2009;NEMATODA;;1;;;
S179;S179_21.10.2009;21.10.2009;Oligochaeta Gen. sp.;8736;48;;;
S179;S179_21.10.2009;21.10.2009;Ceratopogonidae Gen. sp.;4585;1;;;
S179;S179_21.10.2009;21.10.2009;Kageronia fuscogrisea;5452;18;;;
S179;S179_21.10.2009;21.10.2009;Oulimnius tuberculatus;12105_and_6261;1;;;
S179;S179_21.10.2009;21.10.2009;Hydrachnidia Gen. sp.;8825;3;;;
S179;S179_21.10.2009;21.10.2009;Leptophlebia sp.;5731;3;;;
S179;S179_12.10.2010;12.10.2010;Tinodes waeneri ssp.;7069;2;;;
S179;S179_12.10.2010;12.10.2010;Leptophlebia sp.;5731;4;;;
S179;S179_12.10.2010;12.10.2010;Asellus aquaticus;8691;20;;;
S179;S179_12.10.2010;12.10.2010;Kageronia fuscogrisea;5452;25;;;
S179;S179_12.10.2010;12.10.2010;Hydrozoa Gen. sp.;9247;14;;;
S179;S179_12.10.2010;12.10.2010;Caenis horaria;4519;2;;;
S179;S179_12.10.2010;12.10.2010;Helobdella stagnalis;5413;1;;;
S179;S179_12.10.2010;12.10.2010;Orthotrichia sp.;8651;1;;;
S179;S179_12.10.2010;12.10.2010;Chironomidae Gen. sp.;4642;63;;;
S179;S179_12.10.2010;12.10.2010;Ceratopogonidae Gen. sp.;4585;4;;;
S179;S179_12.10.2010;12.10.2010;Oligochaeta Gen. sp.;8736;54;;;
S179;S179_12.10.2010;12.10.2010;NEMATODA;;3;;;
S179;S179_11.10.2011;11.10.2011;Kageronia fuscogrisea;5452;5;;;
S179;S179_11.10.2011;11.10.2011;Pisidium sp.;6425;1;;;
S179;S179_11.10.2011;11.10.2011;Caenis horaria;4519;98;;;
S179;S179_11.10.2011;11.10.2011;Hydrachnidia Gen. sp.;8825;15;;;
S179;S179_11.10.2011;11.10.2011;Cyrnus trimaculatus;4877;2;;;
S179;S179_11.10.2011;11.10.2011;Asellus aquaticus;8691;27;;;
