Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
NI_48212401;108000006_20.05.1986;20.05.1986;Acroloxus lacustris;4205;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Anabolia nervosa;4300;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Athripsodes cinereus;4369;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Baetis fuscatus;4397;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Baetis rhodani;4415;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Baetis vernus;4427;65;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Calopteryx splendens;4530;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Chironomidae Gen. sp.;4642;65;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Dicranota sp.;4955;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Gammarus pulex;5291;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Gerris sp.;5303;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Heptagenia flava;5450;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Isoperla grammatica;5667;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Limnodrilus sp.;5866;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Lype phaeopa;5920;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Mystacides nigra;6064;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Orconectes limosus;6199;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Pisidium sp.;6425;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Polycentropus irroratus;6469;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Psammoryctides barbatus;6621;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Sialis lutaria;6822;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Sigara striata;6830;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Simulium reptans;6852;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Simulium ornatum;7843;20;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Potamopyrgus antipodarum;8251;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Centroptilum luteolum;8850;65;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Radix balthica;16959;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Laccobius sp.;18346;6;;;108000006
NI_48212401;108000006_20.05.1986;20.05.1986;Orectochilus villosus;18613;6;;;108000006
