"Site.ID";"Sample.ID";"Sampling.date";"Taxon.name";"Taxon.ID";"Abundance";"Definition.of.abundance.class";"Abundance.class";"Site_ID_Ellen"
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Ameletus inopinatus";4288;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Amphinemura sp.";4293;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Amphinemura sulcicollis";4295;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Anomalopterygella chauviniana";4327;65;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Apatania fimbriata";4332;65;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Brachyptera seticornis";4488;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Chaetopterygini Gen. sp.";10544;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Chaetopterygopsis maclachlani";4622;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Chironomidae Gen. sp.";4642;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Dicranota sp.";4955;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Diura bicaudata";4988;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Drusus annulatus";5001;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Ecclisopteryx madida";5035;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Elmis rioloides";17778;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Halesus sp.";5378;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Isoperla sp.";5673;65;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Leuctra hippopus";5768;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Leuctra inermis";5769;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Leuctra nigra";5779;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Leuctra rauscheri";5785;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Leuctra sp.";5790;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Limnius perrisi";18418;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Odontocerum albicorne";6168;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Oligochaeta Gen. sp.";8736;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Philopotamus ludificatus";6386;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Polycelis felina";6463;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Potamophylax sp.";6527;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Protonemura auberti";6596;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Protonemura intricata  ";21381;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Protonemura meyeri";6610;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Protonemura sp.";6616;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Rhyacophila praemorsa";6776;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Rhyacophila sp.";6780;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Sericostoma personatum";6817;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Sialis fuliginosa";6821;65;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Silo pallipes";6834;20;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Siphonoperla sp.";6867;1;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Tipulidae Gen. sp.";8487;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_07.06.1995";"07.06.1995";"Velia caprai ssp.";19445;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_09.06.1983";"09.06.1983";"Agabus sturmii";17494;6;NA;NA;108000156
108000156;"Taferlruck Measuring Station_09.06.1983";"09.06.1983";"Amphinemura sp.";4293;6;NA;NA;108000156
