Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
BC2;BC2_02.05.2002;02.05.2002;Chironominae Gen. sp.;;39;;;
BC2;BC2_02.05.2002;02.05.2002;Hydraena sp.;;19,5;;;
BC2;BC2_05.05.2004;05.05.2004;Lymnaea peregra;;19,5;;;
BC2;BC2_16.05.2012;16.05.2012;Rhyacophila relicta;;7,5;;;
BC2;BC2_09.05.2017;09.05.2017;Oligochaeta;;20;;;
BC2;BC2_08.05.2006;08.05.2006;Pisidium sp.;;19,5;;;
BC2;BC2_02.05.2002;02.05.2002;Copepoda;;19,5;;;
BC2;BC2_18.05.2009;18.05.2009;Orthocladiinae Gen. sp.;;400;;;
BC2;BC2_02.06.2010;02.06.2010;Physella acuta;;39;;;
BC2;BC2_09.05.2017;09.05.2017;HYDROPSYCHIDAE;;6;;;
BC2;BC2_12.05.2015;12.05.2015;Rhyacophila sp.;;4;;;
BC2;BC2_26.06.2013;26.06.2013;Oligochaeta;;331,5;;;
BC2;BC2_28.05.2003;28.05.2003;TIPULIDAE;;6;;;
BC2;BC2_26.06.2013;26.06.2013;Boyeria irene;;5;;;
BC2;BC2_26.06.2013;26.06.2013;Polycentropus sp.;;2,5;;;
BC2;BC2_08.05.2006;08.05.2006;Tanypodinae Gen. sp.;;58,5;;;
BC2;BC2_26.06.2013;26.06.2013;Diamesinae Gen. sp.;;5;;;
BC2;BC2_02.06.2010;02.06.2010;Hydropsyche sp.;;127;;;
BC2;BC2_20.05.1994;20.05.1994;Prodiamesa olivacea;;39;;;
BC2;BC2_26.05.2008;26.05.2008;Boyeria irene;;5;;;
BC2;BC2_12.05.2011;12.05.2011;Serratella ignita;;29,5;;;
BC2;BC2_26.05.2008;26.05.2008;Caenis luctuosa;;117;;;
BC2;BC2_10.05.1995;10.05.1995;Tanypodinae Gen. sp.;;31;;;
BC2;BC2_04.05.2016;04.05.2016;Sphaeriidae;;2;;;
BC2;BC2_05.05.2004;05.05.2004;Orthocladiinae Gen. sp.;;1873;;;
BC2;BC2_04.05.2016;04.05.2016;HEPTAGENIIDAE;;16;;;
BC2;BC2_18.05.2009;18.05.2009;Pisidium sp.;;10;;;
BC2;BC2_02.05.2002;02.05.2002;Baetis sp.;;10302,5;;;
BC2;BC2_02.05.2002;02.05.2002;TIPULIDAE;;19,5;;;
BC2;BC2_20.05.1993;20.05.1993;Oligochaeta;;2653,5;;;
BC2;BC2_02.06.2010;02.06.2010;Oligochaeta;;624,5;;;
BC2;BC2_09.05.2017;09.05.2017;MERMITHIDAE;;20;;;
BC2;BC2_20.05.1993;20.05.1993;Chironomini Gen. sp.;;29,5;;;
BC2;BC2_12.05.2014;12.05.2014;Eiseniella tetraedra;;2,5;;;
BC2;BC2_12.05.2014;12.05.2014;Potamopyrgus antipodarum;;14,5;;;
BC2;BC2_10.05.1995;10.05.1995;Ecdyonurus sp.;;15,5;;;
BC2;BC2_16.05.2012;16.05.2012;Lymnaea peregra;;2,5;;;
BC2;BC2_05.05.2004;05.05.2004;DYTISCIDAE;;19,5;;;
BC2;BC2_08.05.2006;08.05.2006;Potamopyrgus antipodarum;;10;;;
BC2;BC2_28.05.2003;28.05.2003;HYDROPSYCHIDAE;;6;;;
BC2;BC2_28.05.2003;28.05.2003;Echinogammarus sp.;;17,5;;;
BC2;BC2_05.05.2004;05.05.2004;Echinogammarus sp.;;5;;;
BC2;BC2_28.05.2003;28.05.2003;Oligochaeta;;421,5;;;
BC2;BC2_26.06.2013;26.06.2013;Baetis sp.;;585,5;;;
BC2;BC2_18.05.2009;18.05.2009;Baetis sp.;;2966;;;
BC2;BC2_04.05.2016;04.05.2016;LYMNAEIDAE;;4;;;
BC2;BC2_12.05.2015;12.05.2015;Ancylus sp.;;24;;;
BC2;BC2_12.05.2015;12.05.2015;Baetis sp.;;5376;;;
BC2;BC2_23.06.2007;23.06.2007;Hydrachna sp.;;29,5;;;
BC2;BC2_14.05.1996;14.05.1996;Oulimnius sp.;;8;;;
BC2;BC2_23.06.2007;23.06.2007;Chaetogaster sp.;;780,5;;;
BC2;BC2_08.05.2006;08.05.2006;Ephemerella sp.;;10;;;
BC2;BC2_02.06.2010;02.06.2010;Eiseniella tetraedra;;2,5;;;
BC2;BC2_02.05.2002;02.05.2002;Oligochaeta;;14673;;;
BC2;BC2_04.05.2016;04.05.2016;Baetidae Gen. sp.;;8704;;;
BC2;BC2_26.05.2008;26.05.2008;Tanypodinae Gen. sp.;;2,5;;;
BC2;BC2_26.06.2013;26.06.2013;Tanypodinae Gen. sp.;;10;;;
BC2;BC2_02.06.2010;02.06.2010;Diamesinae Gen. sp.;;5;;;
BC2;BC2_16.05.2012;16.05.2012;Ceraclea sp.;;10;;;
BC2;BC2_16.05.2012;16.05.2012;Hydroptila sp.;;19,5;;;
BC2;BC2_12.05.2014;12.05.2014;Ceratopogonidae Vermiforme-Gr.;;73;;;
BC2;BC2_16.05.2012;16.05.2012;MERMITHIDAE;;14,5;;;
BC2;BC2_26.05.2008;26.05.2008;Baetis sp.;;1444;;;
BC2;BC2_08.05.2006;08.05.2006;TIPULIDAE;;2,5;;;
BC2;BC2_20.05.1993;20.05.1993;Orthocladiinae Gen. sp.;;97,5;;;
BC2;BC2_20.05.1993;20.05.1993;Prodiamesa olivacea;;146,5;;;
BC2;BC2_28.05.2003;28.05.2003;Ephemerella sp.;;23,5;;;
BC2;BC2_08.05.2006;08.05.2006;Esolus sp.;;10;;;
BC2;BC2_26.05.2008;26.05.2008;Glossiphonia complanata;;10;;;
BC2;BC2_26.06.2013;26.06.2013;Potamopyrgus antipodarum;;83;;;
BC2;BC2_20.05.1994;20.05.1994;Chironomini Gen. sp.;;58,5;;;
BC2;BC2_02.05.2002;02.05.2002;Orthocladiinae Gen. sp.;;292,5;;;
BC2;BC2_12.05.2011;12.05.2011;Ancylus fluviatilis;;29,5;;;
BC2;BC2_09.05.2005;09.05.2005;Baetis sp.;;3317;;;
BC2;BC2_12.05.2015;12.05.2015;Ceratopogoninae;;24;;;
BC2;BC2_26.05.2008;26.05.2008;DOLICHOPODIDAE;;10;;;
BC2;BC2_02.06.2010;02.06.2010;DOLICHOPODIDAE;;10;;;
BC2;BC2_10.05.1995;10.05.1995;Baetis rhodani;;125;;;
BC2;BC2_05.05.2004;05.05.2004;Limnephilinae Gen. sp.;;2,5;;;
