Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
svd;svd_18.03.1980;18.03.1980;Ancylus fluviatilis;4310;3;;;100000002
svd;svd_18.03.1980;18.03.1980;Athripsodes sp.;4371;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Baetis rhodani;4415;3;;;100000002
svd;svd_18.03.1980;18.03.1980;Baetis sp.;4419;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Chironomidae Gen. sp.;4642;232;;;100000002
svd;svd_18.03.1980;18.03.1980;Chloroperla sp.;4671;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Dugesia sp.;5021;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Ecdyonurus sp.;5053;15;;;100000002
svd;svd_18.03.1980;18.03.1980;Empididae Gen. sp.;5097;2;;;100000002
svd;svd_18.03.1980;18.03.1980;Gammarus sp.;5293;590;;;100000002
svd;svd_18.03.1980;18.03.1980;Heptagenia sp.;5456;180;;;100000002
svd;svd_18.03.1980;18.03.1980;Hydropsyche sp.;5605;48;;;100000002
svd;svd_18.03.1980;18.03.1980;Isoperla sp.;5673;3;;;100000002
svd;svd_18.03.1980;18.03.1980;Leuctra sp.;5790;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Nemoura sp.;6108;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Oligochaeta Gen. sp.;8736;115;;;100000002
svd;svd_18.03.1980;18.03.1980;Potamanthus luteus;6510;2;;;100000002
svd;svd_18.03.1980;18.03.1980;Plectrocnemia geniculata;19393;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Polycelis sp.;7744;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Psychomyia pusilla;6661;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Psychodidae Gen. sp.;8753;1;;;100000002
svd;svd_18.03.1980;18.03.1980;Sphaerium corneum;6882;1;;;100000002
svd;svd_28.06.1980;28.06.1980;Athripsodes sp.;4371;2;;;100000002
svd;svd_28.06.1980;28.06.1980;Baetis fuscatus;4397;10;;;100000002
svd;svd_28.06.1980;28.06.1980;Chironomidae Gen. sp.;4642;80;;;100000002
