Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
HE_10902;HE_1034778;05.05.2013;Baetis alpinus/lutheri/melanonyx/vardarensis;;6;;;
HE_10902;HE_1034778;05.05.2013;Baetis rhodani;;696;;;
HE_10902;HE_1034778;05.05.2013;Baetis sp.;;126;;;
HE_10902;HE_1034778;05.05.2013;Chaetopterygini/Stenophylacini Gen. sp.;;24;;;
HE_10902;HE_1034778;05.05.2013;Chironomidae Gen. sp.;;60;;;
HE_10902;HE_1034778;05.05.2013;Chironomini Gen. sp.;;420;;;
HE_10902;HE_1034778;05.05.2013;Dicranota sp.;;12;;;
HE_10902;HE_1034778;05.05.2013;Dugesia gonocephala;;6;;;
HE_10902;HE_1034778;05.05.2013;Eiseniella tetraedra;;54;;;
HE_10902;HE_1034778;05.05.2013;Elmis aenea/maugetii/rietscheli/rioloides Ad.;;30;;;
HE_10902;HE_1034778;05.05.2013;Elmis sp. Lv.;;6;;;
HE_10902;HE_1034778;05.05.2013;Epeorus assimilis;;6;;;
HE_10902;HE_1034778;05.05.2013;Erpobdella sp.;;12;;;
HE_10902;HE_1034778;05.05.2013;Gammarus roeselii;;108;;;
HE_10902;HE_1034778;05.05.2013;Gammarus sp.;;24;;;
HE_10902;HE_1034778;05.05.2013;Glossiphonia complanata;;6;;;
HE_10902;HE_1034778;05.05.2013;Haplotaxis gordioides;;12;;;
HE_10902;HE_1034778;05.05.2013;Hydropsyche dinarica;;6;;;
HE_10902;HE_1034778;05.05.2013;Hydropsyche incognita/pellucidula;;6;;;
HE_10902;HE_1034778;05.05.2013;Hydropsyche instabilis;;48;;;
HE_10902;HE_1034778;05.05.2013;Hydropsyche siltalai;;60;;;
HE_10902;HE_1034778;05.05.2013;Hydropsyche sp.;;150;;;
HE_10902;HE_1034778;05.05.2013;Lepidostoma hirtum;;6;;;
HE_10902;HE_1034778;05.05.2013;Limnius sp. Lv.;;18;;;
HE_10902;HE_1034778;05.05.2013;Limnius volckmari Ad.;;6;;;
HE_10902;HE_1034778;05.05.2013;Lispe sp.;;6;;;
HE_10902;HE_1034778;05.05.2013;Lumbriculidae Gen. sp.;;90;;;
HE_10902;HE_1034778;05.05.2013;Naididae/Tubificidae Gen. sp.;;24;;;
HE_10902;HE_1034778;05.05.2013;Oligochaeta Gen. sp.;;102;;;
HE_10902;HE_1034778;05.05.2013;Prodiamesa olivacea;;12;;;
HE_10902;HE_1034778;05.05.2013;Rhyacophila (Rhyacophila) sp.;;30;;;
HE_10902;HE_1034778;05.05.2013;Sericostoma sp.;;6;;;
HE_10902;HE_1034778;05.05.2013;Silo pallipes;;12;;;
HE_10902;HE_1034778;05.05.2013;Tanypodinae Gen. sp.;;12;;;
HE_10902;HE_1034778;05.05.2013;Torleya major;;6;;;
HE_10373;HE_1034782;05.05.2013;Ancylus fluviatilis;;12;;;
HE_10373;HE_1034782;05.05.2013;Asellus aquaticus;;18;;;
HE_10373;HE_1034782;05.05.2013;Baetis rhodani;;2058;;;
HE_10373;HE_1034782;05.05.2013;Baetis sp.;;90;;;
HE_10373;HE_1034782;05.05.2013;Chaetopterygini/Stenophylacini Gen. sp.;;6;;;
HE_10373;HE_1034782;05.05.2013;Chironomidae Gen. sp.;;78;;;
HE_10373;HE_1034782;05.05.2013;Chironomini Gen. sp.;;12;;;
HE_10373;HE_1034782;05.05.2013;Dina lineata;;96;;;
HE_10373;HE_1034782;05.05.2013;Dina punctata;;66;;;
HE_10373;HE_1034782;05.05.2013;Dina sp.;;36;;;
HE_10373;HE_1034782;05.05.2013;Drusus annulatus/biguttatus;;24;;;
HE_10373;HE_1034782;05.05.2013;Elmis aenea/maugetii/rietscheli/rioloides Ad.;;330;;;
HE_10373;HE_1034782;05.05.2013;Elmis sp. Lv.;;18;;;
HE_10373;HE_1034782;05.05.2013;Erpobdella vilnensis;;18;;;
HE_10373;HE_1034782;05.05.2013;Gammarus sp.;;18;;;
HE_10373;HE_1034782;05.05.2013;Hydropsyche instabilis;;108;;;
HE_10373;HE_1034782;05.05.2013;Hydropsyche siltalai;;12;;;
HE_10373;HE_1034782;05.05.2013;Hydropsyche sp.;;30;;;
HE_10373;HE_1034782;05.05.2013;Lepidostoma hirtum;;12;;;
HE_10373;HE_1034782;05.05.2013;Limnius sp. Lv.;;18;;;
HE_10373;HE_1034782;05.05.2013;Limnius volckmari Ad.;;12;;;
HE_10373;HE_1034782;05.05.2013;Lumbriculidae Gen. sp.;;60;;;
HE_10373;HE_1034782;05.05.2013;Naididae/Tubificidae Gen. sp.;;510;;;
HE_10373;HE_1034782;05.05.2013;Protonemura sp.;;6;;;
HE_10373;HE_1034782;05.05.2013;Tanypodinae Gen. sp.;;78;;;
HE_10373;HE_1034782;05.05.2013;Tanytarsini Gen. sp.;;6;;;
HE_10373;HE_1034782;05.05.2013;Torleya major;;12;;;
HE_10200;HE_1052220;25.04.2014;Anabolia nervosa;;1;;;
