Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
1;Altahoney Bottom_04.06.2003;04.06.2003;Leuctra hippopus;5768;14;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Orthocladiinae Gen. sp.;6208;4;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Dicranota sp.;4955;3;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Limnius volckmari;18421;3;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Baetis rhodani;4415;1;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Hydropsyche siltalai;5604;1;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Oulimnius tuberculatus;18629;1;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Polycentropus flavomaculatus ssp.;21659;1;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Simuliidae Gen. sp.;6842;1;;;110000001
1;Altahoney Bottom_04.06.2003;04.06.2003;Siphonoperla torrentium ssp.;21307;1;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Orthocladiinae Gen. sp.;6208;24;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Leuctra hippopus;5768;14;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Leuctra fusca ssp.;21323;8;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Tanypodinae Gen. sp.;6972;7;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Dytiscidae Gen. sp.;17756;6;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Glossosoma sp.;5316;5;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Hydropsyche siltalai;5604;5;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Chironominae Gen. sp.;4643;4;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Chironomidae Gen. sp.;4642;2;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Esolus parallelepipedus;17820;2;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Hydrachnidae Gen. sp.;15453;2;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Limnius volckmari;18421;2;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Oulimnius tuberculatus;18629;2;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Hydroptila sp.;5616;1;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Lype phaeopa;5920;1;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Polycentropus flavomaculatus ssp.;21659;1;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Rhyacophila dorsalis ssp.;19398;1;;;110000001
1;Altahoney Bottom_25.05.2004;25.05.2004;Serratella ignita;5131;1;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Leuctra hippopus;5768;24;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Limnius volckmari;18421;8;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Leuctra fusca ssp.;21323;6;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Tanypodinae Gen. sp.;6972;5;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Polycentropodidae Gen. sp.;8478;3;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Anisoptera Gen. sp.;9342;1;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Chironominae Gen. sp.;4643;1;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Isoperla grammatica;5667;1;;;110000001
1;Altahoney Bottom_30.05.2005;30.05.2005;Psychomyiidae Gen. sp.;6663;1;;;110000001
1;Altahoney Bottom_29.05.2006;29.05.2006;Siphonoperla torrentium ssp.;21307;13;;;110000001
1;Altahoney Bottom_29.05.2006;29.05.2006;Limnius volckmari;18421;11;;;110000001
1;Altahoney Bottom_29.05.2006;29.05.2006;Baetis rhodani;4415;9;;;110000001
