"Site.ID";"Sample.ID";"Sampling.date";"Taxon.name";"Taxon.ID";"Abundance";"Definition.of.abundance.class";"Abundance.class";"Site_ID_Ellen"
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Ancylidae Gen. sp.";13667;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Baetis sp.";4419;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Chironomidae Gen. sp.";4642;1000;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Dicranota sp.";4955;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Eiseniella sp.";8156;10;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Elmis aenea Ad.";12066;10;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Gammarus sp.";5293;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Glossiphonia sp.";5310;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Limnephilidae Gen. sp.";5809;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Potamopyrgus antipodarum";8251;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Rhyacophila sp.";6780;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Sericostomatidae Gen. sp.";9311;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Serratella ignita";5131;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Simuliidae Gen. sp.";6842;1;NA;NA;NA
"IR0001";"IR0001_28.07.2011";"28.07.2011";"Tubificidae Gen. sp.";7117;1000;NA;NA;NA
"IR0001";"IR0001_02.08.2013";"02.08.2013";"Ancylidae Gen. sp.";13667;10;NA;NA;NA
"IR0001";"IR0001_02.08.2013";"02.08.2013";"Baetis sp.";4419;1;NA;NA;NA
