Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
OW001-000;OW001-000_19.06.1996;19.06.1996;Alboglossiphonia heteroclita;4261;3;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Asellidae;;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Asellus aquaticus;8691;3;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Bithynia leachi;;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Bithynia tentaculata;4462;5;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Bryozoa;;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Chironomus;;7;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Cladopelma viridulum gr.;;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Dicrotendipes nervosus;4958;13;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Dreissena polymorpha;4999;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Girardia tigrina;22444;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Glossiphonia complanata;5304;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Glyptotendipes;;7;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Helobdella stagnalis;5413;14;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Limnodrilus hoffmeisteri;5863;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Metriocnemus;;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Mideopsis orbicularis;15722;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Musculium lacustre;7966;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Orchestia cavimana;14241;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Pisidium;;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Polypedilum nubeculosum;6492;4;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Polypedilum sordens;6500;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Potamopyrgus antipodarum;8251;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Potamothrix moldaviensis;6533;10;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Procladius;;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Psammoryctides barbatus;6621;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Sphaerium corneum;6882;1;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Stylaria lacustris;6934;17;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Tubifex tubifex;7116;9;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Tubificidae;;13;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Uncinais uncinata;7131;2;n;;
OW001-000;OW001-000_19.06.1996;19.06.1996;Valvata piscinalis;;10;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Anodonta anatina;7381;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Asellus aquaticus;8691;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Bithynia tentaculata;4462;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Chironomus;;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Cladopelma viridulum gr.;;7;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Cricotopus intersectus agg.;;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Cricotopus sylvestris agg.;;11;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Dicrotendipes nervosus;4958;16;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Dreissena polymorpha;4999;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Endochironomus albipennis;5103;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Ferrissia fragilis;22447;5;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Forelia liliacea;15397;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Gammarus tigrinus;5294;179;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Glyptotendipes;;16;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Harnischia;;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Hygrobates longipalpis [2];;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Limnodrilus hoffmeisteri;5863;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Microchironomus tener;5989;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Nematomorpha;;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Nepa cinerea;6118;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Piona imminuta;15893;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Polypedilum nubeculosum;6492;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Polypedilum sordens;6500;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Porifera;;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Potamothrix moldaviensis;6533;3;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Procladius;;8;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Psammoryctides barbatus;6621;1;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Sphaerium corneum;6882;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Spirosperma ferox;16107;2;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Tanypus punctipennis;6974;5;n;;
OW001-000;OW001-000_29.06.2000;29.06.2000;Tubificidae;;4;n;;
