Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
BH1;BH1_09102006;09.10.2006;Ibisia marginata;4364;12;;;
BH1;BH1_09102006;09.10.2006;Baetis fuscatus;4397;6;;;
BH1;BH1_09102006;09.10.2006;Baetis rhodani;4415;45;;;
BH1;BH1_09102006;09.10.2006;Baetis vernus;4427;21;;;
BH1;BH1_09102006;09.10.2006;Brachycentrus subnubilus;4481;3;;;
BH1;BH1_09102006;09.10.2006;Calopteryx splendens;4530;3;;;
BH1;BH1_09102006;09.10.2006;Ecdyonurus insignis;5046;42;;;
BH1;BH1_09102006;09.10.2006;Gammarus fossarum;5288;1068;;;
BH1;BH1_09102006;09.10.2006;Gammarus roeselii;5292;3;;;
BH1;BH1_09102006;09.10.2006;Heptagenia sulphurea;5457;36;;;
BH1;BH1_09102006;09.10.2006;Hydropsyche pellucidula;5601;123;;;
BH1;BH1_09102006;09.10.2006;Simuliidae Gen. sp.;6842;153;;;
BH1;BH1_09102006;09.10.2006;Rhyacophila dorsalis-Gr.;NA;3;;;
BH1;BH1_23042007;23.04.2007;Ancylus fluviatilis;4310;20;;;
BH1;BH1_23042007;23.04.2007;Antocha vitripennis;4331;28;;;
BH1;BH1_23042007;23.04.2007;Atherix ibis;4363;2;;;
BH1;BH1_23042007;23.04.2007;Baetis buceratus;4388;6;;;
BH1;BH1_23042007;23.04.2007;Baetis fuscatus;4397;4;;;
BH1;BH1_23042007;23.04.2007;Baetis rhodani;4415;200;;;
BH1;BH1_23042007;23.04.2007;Baetis scambus;4416;14;;;
BH1;BH1_23042007;23.04.2007;Baetis vardarensis;4425;4;;;
BH1;BH1_23042007;23.04.2007;Clinocera sp.;4700;10;;;
BH1;BH1_23042007;23.04.2007;Cricotopus tremulus-Gr.;4808;10;;;
BH1;BH1_23042007;23.04.2007;Dicranota sp.;4955;2;;;
BH1;BH1_23042007;23.04.2007;Dugesia sp.;5021;16;;;
BH1;BH1_23042007;23.04.2007;Dugesia sp.;5021;54;;;
BH1;BH1_23042007;23.04.2007;Dugesia polychroa;5020;14;;;
BH1;BH1_23042007;23.04.2007;Ecdyonurus sp.;5053;4;;;
BH1;BH1_23042007;23.04.2007;Ecdyonurus venosus;5058;14;;;
BH1;BH1_23042007;23.04.2007;Eiseniella tetraedra;5075;6;;;
BH1;BH1_23042007;23.04.2007;Eukiefferiella spp.;NA;10;;;
BH1;BH1_23042007;23.04.2007;Gammarus fossarum;5288;310;;;
BH1;BH1_23042007;23.04.2007;Heptagenia sulphurea;5457;2;;;
BH1;BH1_23042007;23.04.2007;Hydropsyche pellucidula;5601;30;;;
BH1;BH1_23042007;23.04.2007;Limnodrilus udekemianus;5867;6;;;
BH1;BH1_23042007;23.04.2007;Micronecta sp.;6002;2;;;
BH1;BH1_23042007;23.04.2007;Nais elinguis;6073;34;;;
BH1;BH1_23042007;23.04.2007;Orthocladius rubicundus;6241;12;;;
BH1;BH1_23042007;23.04.2007;Orthocladius spp.;NA;16;;;
BH1;BH1_23042007;23.04.2007;Polypedilum convictum;6487;40;;;
BH1;BH1_23042007;23.04.2007;Psychomyia pusilla;6661;4;;;
BH1;BH1_23042007;23.04.2007;Rheocricotopus fuscipes;6700;2;;;
BH1;BH1_23042007;23.04.2007;Stylodrilus heringianus;6935;84;;;
BH1;BH1_23042007;23.04.2007;Thienemannimyia sp.;7056;2;;;
BH1;BH1_23042007;23.04.2007;Simulium ornatum;7843;36;;;
BH1;BH1_23042007;23.04.2007;Simulium equinum;7851;12;;;
BH1;BH1_23042007;23.04.2007;Cricotopus bicinctus;4777;14;;;
BH1;BH1_23042007;23.04.2007;Elmis aenea;17768;4;;;
BH1;BH1_23042007;23.04.2007;Orectochilus villosus;18613;4;;;
BH1;BH1_23042007;23.04.2007;Rhyacophila dorsalis-Gr.;NA;6;;;
BH1;BH1_23042007;23.04.2007;Brillia bifida;4496;2;;;
BH1;BH1_22102007;22.10.2007;Ancylus fluviatilis;4310;72;;;
BH1;BH1_22102007;22.10.2007;Antocha vitripennis;4331;30;;;
BH1;BH1_22102007;22.10.2007;Aphelocheirus aestivalis;4335;6;;;
BH1;BH1_22102007;22.10.2007;Atherix ibis;4363;6;;;
BH1;BH1_22102007;22.10.2007;Baetis buceratus;4388;6;;;
BH1;BH1_22102007;22.10.2007;Baetis fuscatus;4397;24;;;
BH1;BH1_22102007;22.10.2007;Baetis rhodani;4415;90;;;
BH1;BH1_22102007;22.10.2007;Baetis scambus;4416;12;;;
BH1;BH1_22102007;22.10.2007;Baetis vardarensis;4425;6;;;
BH1;BH1_22102007;22.10.2007;Baetis vernus;4427;6;;;
BH1;BH1_22102007;22.10.2007;Caenis luctuosa;4521;12;;;
BH1;BH1_22102007;22.10.2007;Ceratopogonidae Gen. sp.;4585;6;;;
BH1;BH1_22102007;22.10.2007;Chironomus plumosus Agg.;NA;126;;;
BH1;BH1_22102007;22.10.2007;Diamesa spp.;NA;6;;;
BH1;BH1_22102007;22.10.2007;Dicranota sp.;4955;6;;;
BH1;BH1_22102007;22.10.2007;Dugesia sp.;5021;186;;;
BH1;BH1_22102007;22.10.2007;Ecdyonurus sp.;5053;6;;;
BH1;BH1_22102007;22.10.2007;Ecdyonurus sp.;5053;6;;;
BH1;BH1_22102007;22.10.2007;Ephemera danica;5124;36;;;
BH1;BH1_22102007;22.10.2007;Serratella ignita;5131;6;;;
BH1;BH1_22102007;22.10.2007;Gammarus fossarum;5288;1860;;;
BH1;BH1_22102007;22.10.2007;Gammarus roeselii;5292;138;;;
BH1;BH1_22102007;22.10.2007;Hemerodromia sp.;5442;24;;;
BH1;BH1_22102007;22.10.2007;Heptagenia sulphurea;5457;54;;;
BH1;BH1_22102007;22.10.2007;Hydropsyche pellucidula;5601;108;;;
BH1;BH1_22102007;22.10.2007;Hydropsyche saxonica;5602;6;;;
BH1;BH1_22102007;22.10.2007;Hydroptila sp.;5616;12;;;
BH1;BH1_22102007;22.10.2007;Isoperla sp.;5673;6;;;
BH1;BH1_22102007;22.10.2007;Limnodrilus hoffmeisteri;5863;78;;;
BH1;BH1_22102007;22.10.2007;Limnophora riparia;5871;6;;;
BH1;BH1_22102007;22.10.2007;Micropsectra spp.;NA;6;;;
BH1;BH1_22102007;22.10.2007;Microtendipes pedellus Agg.;NA;6;;;
BH1;BH1_22102007;22.10.2007;Orthocladius rubicundus;6241;12;;;
BH1;BH1_22102007;22.10.2007;Orthocladius spp.;NA;66;;;
BH1;BH1_22102007;22.10.2007;Perlodes microcephalus;6376;6;;;
BH1;BH1_22102007;22.10.2007;Piscicola geometra;6408;18;;;
BH1;BH1_22102007;22.10.2007;Potamanthus luteus;6510;6;;;
BH1;BH1_22102007;22.10.2007;Psychomyia pusilla;6661;36;;;
BH1;BH1_22102007;22.10.2007;Rheocricotopus fuscipes;6700;12;;;
BH1;BH1_22102007;22.10.2007;Rheotanytarsus spp.;NA;18;;;
BH1;BH1_22102007;22.10.2007;Silo piceus;6835;6;;;
BH1;BH1_22102007;22.10.2007;Sphaerium rivicola;6884;6;;;
BH1;BH1_22102007;22.10.2007;Stylodrilus heringianus;6935;300;;;
BH1;BH1_22102007;22.10.2007;Tanytarsus spp.;NA;6;;;
BH1;BH1_22102007;22.10.2007;Simulium ornatum;7843;102;;;
BH1;BH1_22102007;22.10.2007;Simulium equinum;7851;30;;;
BH1;BH1_22102007;22.10.2007;Pilaria sp.;6403;12;;;
BH1;BH1_22102007;22.10.2007;Elmis sp.;17779;132;;;
BH1;BH1_22102007;22.10.2007;Limnius sp.;18419;24;;;
BH1;BH1_22102007;22.10.2007;Orectochilus villosus;18613;30;;;
BH1;BH1_22102007;22.10.2007;Platambus maculatus;18649;6;;;
BH1;BH1_22102007;22.10.2007;Rhyacophila dorsalis-Gr.;NA;12;;;
BH1;BH1_31032008;31.03.2008;Eukiefferiella devonica-Gr.;9605;2;;;
BH1;BH1_31032008;31.03.2008;Ancylus fluviatilis;4310;11;;;
BH1;BH1_31032008;31.03.2008;Antocha vitripennis;4331;11;;;
BH1;BH1_31032008;31.03.2008;Baetis rhodani;4415;75;;;
BH1;BH1_31032008;31.03.2008;Baetis vardarensis;4425;22;;;
BH1;BH1_31032008;31.03.2008;Chelifera sp.;4638;2;;;
BH1;BH1_31032008;31.03.2008;Dugesia sp.;5021;69;;;
BH1;BH1_31032008;31.03.2008;Ecdyonurus venosus;5058;11;;;
BH1;BH1_31032008;31.03.2008;Ephemera danica;5124;19;;;
BH1;BH1_31032008;31.03.2008;Gammarus fossarum;5288;197;;;
BH1;BH1_31032008;31.03.2008;Gammarus roeselii;5292;68;;;
BH1;BH1_31032008;31.03.2008;Gomphus vulgatissimus;5332;2;;;
BH1;BH1_31032008;31.03.2008;Heptagenia sulphurea;5457;6;;;
BH1;BH1_31032008;31.03.2008;Hydropsyche pellucidula;5601;6;;;
BH1;BH1_31032008;31.03.2008;Limnodrilus hoffmeisteri;5863;94;;;
BH1;BH1_31032008;31.03.2008;Limnophila sp.;5870;2;;;
BH1;BH1_31032008;31.03.2008;Lumbriculus variegatus;5907;9;;;
BH1;BH1_31032008;31.03.2008;Orthocladius rubicundus;6241;24;;;
BH1;BH1_31032008;31.03.2008;Paraleptophlebia submarginata;6309;2;;;
BH1;BH1_31032008;31.03.2008;Perlodes microcephalus;6376;2;;;
BH1;BH1_31032008;31.03.2008;Pisidium sp.;6425;28;;;
BH1;BH1_31032008;31.03.2008;Prodiamesa olivacea;6583;4;;;
BH1;BH1_31032008;31.03.2008;Psammoryctides albicola;6620;19;;;
BH1;BH1_31032008;31.03.2008;Simulium noelleri;6850;6;;;
BH1;BH1_31032008;31.03.2008;Simulium reptans;6852;21;;;
BH1;BH1_31032008;31.03.2008;Simulium ornatum;7843;56;;;
BH1;BH1_31032008;31.03.2008;Simulium equinum;7851;60;;;
BH1;BH1_31032008;31.03.2008;Stylodrilus parvus;8004;197;;;
BH1;BH1_31032008;31.03.2008;Tabanidae Gen. sp.;8485;4;;;
BH1;BH1_31032008;31.03.2008;Eukiefferiella devonica-Gr.;9605;2;;;
BH1;BH1_31032008;31.03.2008;Microtendipes pedellus Agg.;NA;6;;;
BH1;BH1_31032008;31.03.2008;Elmis aenea;17768;13;;;
BH1;BH1_31032008;31.03.2008;Limnius sp.;18419;4;;;
BH1;BH1_29092008;29.09.2008;Eukiefferiella devonica-Gr.;9605;18;;;
BH1;BH1_29092008;29.09.2008;Orthocladius rhyacobius/oblidens;NA;78;;;
BH1;BH1_29092008;29.09.2008;Agapetus ochripes;4253;6;;;
BH1;BH1_29092008;29.09.2008;Ancylus fluviatilis;4310;72;;;
BH1;BH1_29092008;29.09.2008;Baetis fuscatus;4397;108;;;
BH1;BH1_29092008;29.09.2008;Baetis lutheri;4406;6;;;
BH1;BH1_29092008;29.09.2008;Baetis rhodani;4415;306;;;
BH1;BH1_29092008;29.09.2008;Baetis scambus;4416;378;;;
BH1;BH1_29092008;29.09.2008;Baetis vardarensis;4425;36;;;
BH1;BH1_29092008;29.09.2008;Criodrilus lacuum;4813;12;;;
BH1;BH1_29092008;29.09.2008;Dicranota sp.;4955;12;;;
BH1;BH1_29092008;29.09.2008;Dugesia sp.;5021;30;;;
BH1;BH1_29092008;29.09.2008;Ephemera vulgata;5129;6;;;
BH1;BH1_29092008;29.09.2008;Ephemerella mucronata;5135;6;;;
BH1;BH1_29092008;29.09.2008;Gammarus fossarum;5288;3054;;;
BH1;BH1_29092008;29.09.2008;Limnodrilus udekemianus;5867;24;;;
BH1;BH1_29092008;29.09.2008;Micropsectra spp.;NA;18;;;
BH1;BH1_29092008;29.09.2008;Cricotopus (Paratrichocladius) rufiventris;6347;48;;;
BH1;BH1_29092008;29.09.2008;Pisidium sp.;6425;48;;;
BH1;BH1_29092008;29.09.2008;Polypedilum laetum;6489;42;;;
BH1;BH1_29092008;29.09.2008;Prosimulium hirtipes;6588;42;;;
BH1;BH1_29092008;29.09.2008;Psychomyia pusilla;6661;6;;;
BH1;BH1_29092008;29.09.2008;Radix sp.;6673;6;;;
BH1;BH1_29092008;29.09.2008;Stylodrilus heringianus;6935;102;;;
BH1;BH1_29092008;29.09.2008;Tubificidae Gen. sp.;7117;24;;;
BH1;BH1_29092008;29.09.2008;Simulium ornatum;7843;120;;;
BH1;BH1_29092008;29.09.2008;Eukiefferiella devonica-Gr.;9605;18;;;
BH1;BH1_29092008;29.09.2008;Microtendipes pedellus Agg.;NA;12;;;
BH1;BH1_29092008;29.09.2008;Limnius sp.;18419;6;;;
BH1;BH1_29092008;29.09.2008;Orectochilus villosus;18613;12;;;
BH1;BH1_30032009;16.08.2004;Caenis macrura;4522;1;;;
BH1;BH1_16082004;16.08.2004;Gammarus fossarum;5288;104;;;
BH1;BH1_16082004;16.08.2004;Gammarus roeselii;5292;42;;;
BH1;BH1_16082004;16.08.2004;Gomphus vulgatissimus;5332;5;;;
BH1;BH1_16082004;16.08.2004;Lithoglyphus naticoides;5896;2;;;
BH1;BH1_23042003;23.04.2003;Ancylus fluviatilis;4310;8;;;
BH1;BH1_23042003;23.04.2003;Aphelocheirus aestivalis;4335;4;;;
BH1;BH1_23042003;23.04.2003;Baetis rhodani;4415;160;;;
BH1;BH1_23042003;23.04.2003;Baetis vardarensis;4425;44;;;
BH1;BH1_23042003;23.04.2003;Baetis vernus;4427;4;;;
BH1;BH1_23042003;23.04.2003;Caenis luctuosa;4521;8;;;
BH1;BH1_23042003;23.04.2003;Cricotopus tremulus-Gr.;4808;40;;;
BH1;BH1_23042003;23.04.2003;Diamesa spp.;NA;24;;;
BH1;BH1_23042003;23.04.2003;Dugesia sp.;5021;4;;;
BH1;BH1_23042003;23.04.2003;Dugesia polychroa;5020;28;;;
BH1;BH1_23042003;23.04.2003;Ecdyonurus starmachi;5054;4;;;
BH1;BH1_23042003;23.04.2003;Ecdyonurus venosus;5058;4;;;
BH1;BH1_23042003;23.04.2003;Ephemera danica;5124;4;;;
BH1;BH1_23042003;23.04.2003;Ephemerella notata;5136;4;;;
BH1;BH1_23042003;23.04.2003;Eukiefferiella minor/fittkaui;5230;8;;;
BH1;BH1_23042003;23.04.2003;Gammarus fossarum;5288;800;;;
BH1;BH1_23042003;23.04.2003;Gammarus roeselii;5292;64;;;
BH1;BH1_23042003;23.04.2003;Heterotrissocladius marcidus;5478;8;;;
BH1;BH1_23042003;23.04.2003;Hydropsyche pellucidula;5601;24;;;
BH1;BH1_23042003;23.04.2003;Limnephilidae Gen. sp.;5809;4;;;
BH1;BH1_23042003;23.04.2003;Nais bretscheri;6071;20;;;
BH1;BH1_23042003;23.04.2003;Nais communis;6072;152;;;
BH1;BH1_23042003;23.04.2003;Nais elinguis;6073;712;;;
BH1;BH1_23042003;23.04.2003;Orthocladius rubicundus;6241;32;;;
BH1;BH1_23042003;23.04.2003;Orthocladius spp.;NA;8;;;
BH1;BH1_23042003;23.04.2003;Parametriocnemus cf. stylatus;NA;16;;;
BH1;BH1_23042003;23.04.2003;Paratendipes albimanus;6338;8;;;
BH1;BH1_23042003;23.04.2003;Cricotopus (Paratrichocladius) rufiventris;6347;32;;;
BH1;BH1_23042003;23.04.2003;Perlodes microcephalus;6376;4;;;
BH1;BH1_23042003;23.04.2003;Pisidium sp.;6425;12;;;
BH1;BH1_23042003;23.04.2003;Polypedilum spp.;NA;24;;;
BH1;BH1_23042003;23.04.2003;Psychomyia pusilla;6661;4;;;
BH1;BH1_23042003;23.04.2003;Rheocricotopus fuscipes;6700;16;;;
BH1;BH1_23042003;23.04.2003;Rheotanytarsus spp.;NA;24;;;
BH1;BH1_23042003;23.04.2003;Rhyacophila obliterata;6773;8;;;
BH1;BH1_23042003;23.04.2003;Simulium noelleri;6850;4;;;
