Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
SE100;SE100_4111995;04.11.1995;Oligochaeta;8736;24,06;;;
SE100;SE100_9101996;09.10.1996;Oligochaeta;8736;8,02;;;
SE100;SE100_15102013;15.10.2013;Oligochaeta;8736;8,33;;;
SE100;SE100_8102015;08.10.2015;Oligochaeta;8736;8,89;;;
SE100;SE100_10102018;10.10.2018;Oligochaeta;8736;30,77;;;
SE100;SE100_22102012;22.10.2012;Hydrachnidiae;8825;13;;;
SE100;SE100_22102012;22.10.2012;Hydrachnidiae;8825;13;;;
SE100;SE100_22102012;22.10.2012;Hydrachnidiae;8825;13;;;
SE100;SE100_22102012;22.10.2012;Hydrachnidiae;8825;13;;;
SE100;SE100_9101996;09.10.1996;Orthocladiinae;6208;8,02;;;
SE100;SE100_2992020;29.09.2020;Orthocladiinae;6208;10,26;;;
SE100;SE100_10102018;10.10.2018;Chironomini;4644;10,26;;;
SE100;SE100_9101996;09.10.1996;Chironomus;4663;8,02;;;
SE100;SE100_4111995;04.11.1995;Dicrotendipes;4962;8,02;;;
SE100;SE100_9101996;09.10.1996;Polypedilum;6501;136,34;;;
SE100;SE100_14101997;14.10.1997;Polypedilum;6501;40,1;;;
SE100;SE100_22102012;22.10.2012;Polypedilum;6501;13;;;
SE100;SE100_15102014;15.10.2014;Polypedilum;6501;8,33;;;
SE100;SE100_9101996;09.10.1996;Chironomus;4663;8,02;;;
SE100;SE100_9101996;09.10.1996;Chironomus anthracinus;4647;56,14;;;
SE100;SE100_4111995;04.11.1995;Chironomus tenuistylus;15180;96,24;;;
SE100;SE100_4111995;04.11.1995;Sergentia coracina;6814;96,24;;;
SE100;SE100_3111999;03.11.1999;Sergentia coracina;6814;72,18;;;
SE100;SE100_11102000;11.10.2000;Sergentia coracina;6814;32,08;;;
SE100;SE100_8102003;08.10.2003;Sergentia coracina;6814;8,02;;;
SE100;SE100_15102013;15.10.2013;Sergentia coracina;6814;8,33;;;
SE100;SE100_2992020;29.09.2020;Sergentia coracina;6814;20,51;;;
SE100;SE100_14102021;14.10.2021;Sergentia coracina;6814;10,26;;;
SE100;SE100_31122006;31.12.2006;Sergentia prima;20580;8,02;;;
SE100;SE100_5102004;05.10.2004;Stictochironomus rosenschoeldi;8087;13,37;;;
SE100;SE100_7102008;07.10.2008;Stictochironomus rosenschoeldi;8087;16,04;;;
SE100;SE100_10112009;10.11.2009;Stictochironomus rosenschoeldi;8087;8,02;;;
SE100;SE100_8112011;08.11.2011;Stictochironomus rosenschoeldi;8087;16;;;
SE100;SE100_15102013;15.10.2013;Stictochironomus rosenschoeldi;8087;25;;;
SE100;SE100_15102014;15.10.2014;Stictochironomus rosenschoeldi;8087;16,67;;;
SE100;SE100_6102016;06.10.2016;Stictochironomus rosenschoeldi;8087;10,26;;;
SE100;SE100_19102017;19.10.2017;Stictochironomus rosenschoeldi;8087;10,26;;;
SE100;SE100_10102018;10.10.2018;Stictochironomus rosenschoeldi;8087;61,54;;;
SE100;SE100_10102019;10.10.2019;Stictochironomus rosenschoeldi;8087;61,54;;;
SE100;SE100_14102021;14.10.2021;Stictochironomus rosenschoeldi;8087;123,08;;;
SE100;SE100_4111995;04.11.1995;Tanytarsus;7009;64,16;;;
SE100;SE100_9101996;09.10.1996;Tanytarsus;7009;8,02;;;
SE100;SE100_11102000;11.10.2000;Protanypus;8154;8,02;;;
SE100;SE100_8102003;08.10.2003;Protanypus;8154;8,02;;;
